Vaccine,Producer,Start,End,Value
MR,Serum_Institute,18,18,257727161.40678653
MR,Serum_Institute,6,6,317699068.65048504
MR,Biological_E,24,24,43881191.523274325
MR,Serum_Institute,1,1,356699776.0
MR,Biological_E,20,20,43881806.89800462
MR,Biological_E,26,26,43881160.75452248
MR,Serum_Institute,12,12,257137311.06195518
MR,Biological_E,10,10,51579436.15018723
MR,Serum_Institute,30,30,257685526.33568838
MR,Serum_Institute,13,13,300150000.0
MR,Serum_Institute,25,25,301566320.80078125
MR,Biological_E,2,2,27807206.385922007
MR,Biological_E,5,5,147500000.0
MR,Biological_E,14,14,43923158.740433246
MR,Serum_Institute,14,14,258351841.25956675
MR,Serum_Institute,28,28,257685556.83756804
MR,Biological_E,30,30,43881151.139287196
MR,Serum_Institute,32,32,257685518.71021837
MR,Serum_Institute,5,5,120300000.0
MR,Serum_Institute,24,24,257686166.87516317
MR,Serum_Institute,16,16,257852097.1858078
MR,Biological_E,1,1,20208124.0
MR,Serum_Institute,21,21,301561132.8125
MR,Biological_E,3,3,42263818.61407799
MR,Serum_Institute,4,4,107800000.0
MR,Biological_E,32,32,43881150.65852553
MR,Serum_Institute,9,9,278900000.0
MR,Serum_Institute,34,34,257685516.80385095
MR,Serum_Institute,3,3,236536181.385922
MR,Serum_Institute,8,8,376800000.0
MR,Serum_Institute,19,19,301544531.25
MR,Serum_Institute,10,10,261320563.84981278
MR,Serum_Institute,27,27,301566580.2001953
MR,Serum_Institute,33,33,301566665.31562805
MR,Serum_Institute,23,23,301565283.203125
MR,Biological_E,34,34,43881150.538335025
MR,Serum_Institute,26,26,257685678.8450869
MR,Biological_E,18,18,43883776.093213476
MR,Serum_Institute,7,7,101148437.39541388
MR,Serum_Institute,20,20,257695927.47699538
MR,Biological_E,6,6,52600931.34951493
MR,Biological_E,4,4,143800000.0
MR,Biological_E,12,12,47262688.938044816
MR,Serum_Institute,2,2,187004893.614078
MR,Biological_E,16,16,43891652.8141922
MR,Serum_Institute,29,29,301566645.0500488
MR,Serum_Institute,35,35,301566666.328907
MR,Biological_E,22,22,43881314.59826716
MR,Serum_Institute,17,17,301478125.0
MR,Serum_Institute,31,31,301566661.2625122
MR,Biological_E,7,7,139251562.60458612
MR,Serum_Institute,15,15,301212500.0
MR,Biological_E,28,28,43881153.0623343
MR,Serum_Institute,22,22,257688118.99548283
MR,Serum_Institute,11,11,295900000.0
