Vaccine,Producer,Start,End,Value
MMR,Serum_Institute,8,8,406500000.0
MMR,Serum_Institute,11,11,330150000.0
MMR,Serum_Institute,6,6,407500000.0
MMR,Serum_Institute,5,5,27451472.076946437
MMR,Merck_Sharp,1,1,3100000.0
MMR,Serum_Institute,1,1,13547121.0
MMR,Serum_Institute,4,4,584448527.9230535
MMR,GSK,3,3,4.172325134277346e-07
MMR,Serum_Institute,15,15,335978125.0
MMR,Serum_Institute,14,14,337143750.0
MMR,Serum_Institute,7,7,279000000.0
MMR,Serum_Institute,9,9,311500000.0
MMR,Serum_Institute,12,12,339475000.0
MMR,GSK,2,2,966205757.9999995
MMR,Merck_Sharp,3,3,3447121.0
MMR,Serum_Institute,13,13,334812500.0
MMR,Serum_Institute,10,10,348800000.0
