antigen,Year 1,vaccine,Average Coverage 2022,Unvaccinated percent,Unvaccinated Children
Diphtheria,636165395.2,DTP1,82.74509804,17.25%,1.10E+08
Hib,307622433.3,HIB3,75.1372549,24.86%,7.65E+07
Measles,411886233.3,MCV1,72.82352941,27.18%,1.12E+08
Mumps,24886242.86,MCV1,72.82352941,27.18%,6.76E+06
PCV,224793409.5,PCV3,77.72093023,22.28%,5.01E+07
Pertussis,342130923.8,DTP1,82.74509804,17.25%,5.90E+07
Polio,626612457.1,POL3,72.56862745,27.43%,1.72E+08
Rotavirus,189285447.6,ROTAC,72.075,27.93%,5.29E+07
Rubella,332502223.8,RCV1,80.78787879,19.21%,6.39E+07
Tetanus,617985790.5,DTP1,82.74509804,17.25%,1.07E+08
HPV,27307838.1,HPV,21,79.00%,2.16E+07
Hepatitis_B,362690181,HepB,59.133333,40.87%,1.48E+08
