antigen,demands,prob,demand_SID
Diphtheria,"[570550200, 619539900, 626455400, 594496900, 595980200, 587103300, 593084700, 587954100, 594707400, 600159000]",0.8,1
Diphtheria,"[569856800, 646664400, 809029200, 914943700, 895618800, 1155641400, 1153957700, 1536378500, 1321981500, 1823304700]",0.07240000000000002,2
Diphtheria,"[651022200, 658403200, 767320700, 991588200, 848923100, 899332200, 925931500, 907026400, 1774595800, 1307218400]",0.07160000000000002,3
Diphtheria,"[717247200, 738217000, 865505400, 996375000, 1069599800, 1100425400, 1022359300, 1132925600, 1363957000, 2640614300]",0.05600000000000001,4
HPV,"[18988200, 18779800, 27460000, 72849500, 92670600, 64703800, 42237000, 42368400, 33730500, 35038500]",0.8,1
HPV,"[31963300, 34917000, 41601600, 48100500, 51355000, 57781700, 67747000, 69075900, 80419700, 87019700]",0.08720000000000004,2
HPV,"[28410100, 36579200, 42934500, 43431400, 49902300, 59620200, 64286900, 79707400, 84090800, 92691700]",0.06480000000000001,3
HPV,"[27854000, 34195900, 41686100, 45414400, 56209800, 56700500, 61412900, 75076300, 78895000, 78688400]",0.04800000000000002,4
Hepatitis_B,"[312284600, 343008200, 351717800, 334973600, 334455600, 328430100, 332308900, 328200500, 332214900, 335525400]",0.8,1
Hepatitis_B,"[411262200, 406280000, 385905500, 471264200, 380102300, 454131700, 391929100, 444328300, 424205500, 409103000]",0.07360000000000003,2
Hepatitis_B,"[388183900, 368360200, 418142500, 421790000, 425080900, 374413000, 452367800, 301910100, 345844400, 437444700]",0.06520000000000002,3
Hepatitis_B,"[386887800, 407069800, 360173100, 435519000, 357569500, 352833100, 344662000, 497446700, 495329300, 509505900]",0.06120000000000001,4
Hib,"[259536200, 282777100, 287252900, 274027900, 274339400, 270041300, 273119600, 270415600, 273713400, 276715500]",0.8,1
Hib,"[295066600, 315635300, 324910100, 330348000, 336075600, 362701800, 360770400, 365271000, 397295500, 412039400]",0.08400000000000003,2
Hib,"[318850300, 317911400, 318790300, 343963700, 340235200, 345209200, 339436000, 429355800, 417902800, 455309400]",0.05160000000000001,3
Hib,"[291232600, 315700100, 318755000, 338949500, 334851500, 368526700, 365009900, 359897400, 363393000, 371593400]",0.06440000000000001,4
IPV,"[522182000, 582182300, 608631800, 590689600, 591743500, 572503000, 130824100, 128516200, 130807300, 132956000]",0.8,1
Measles,"[420097000, 358616900, 394831600, 346093200, 377569100, 407486200, 271512200, 386591100, 290515900, 326808200]",0.8,1
Measles,"[317009800, 504571900, 571540500, 641223700, 510950600, 642323000, 863851700, 963863700, 691555700, 902696600]",0.08960000000000004,2
Measles,"[478647900, 314099100, 607229400, 464597100, 921167300, 809034800, 791607400, 776965900, 1284069200, 990308600]",0.06400000000000002,3
Measles,"[544773600, 469735200, 477611400, 505059800, 621542400, 551907200, 709245000, 562115100, 1080679200, 1643358300]",0.046400000000000025,4
Mumps,"[26052200, 26626400, 25785400, 25268100, 23536200, 16205400, 18650400, 8909600, 10718500, 12977700]",0.8,1
Mumps,"[30379800, 24584100, 24313800, 41145600, 35723100, 41036600, 32664500, 53710900, 42901300, 66646700]",0.09600000000000004,2
Mumps,"[25091000, 37369500, 24533500, 24789500, 34326400, 57597300, 56720800, 66142500, 88002600, 48695800]",0.05680000000000001,3
Mumps,"[30550600, 44106200, 29552100, 21347900, 35646800, 39952400, 51264000, 26838300, 79447400, 87480600]",0.04720000000000002,4
PCV,"[160800200, 186996100, 209165500, 205938500, 220998700, 219106600, 222271100, 217335600, 218764600, 220234300]",0.8,1
PCV,"[245137600, 231500900, 319348700, 350793800, 320228900, 352356600, 452848900, 465995800, 505068400, 465037800]",0.07960000000000003,2
PCV,"[231004400, 287981300, 270636200, 237789800, 353465500, 399715300, 457754000, 420115100, 502053300, 764439400]",0.07400000000000002,3
PCV,"[236239700, 264568900, 276236000, 276237000, 373797600, 346773500, 317371300, 422311300, 366836600, 323518400]",0.046400000000000025,4
Pertussis,"[320662700, 347414000, 352464600, 335977000, 334855300, 328035800, 331237500, 328308900, 331462200, 334312000]",0.8,1
Pertussis,"[352704100, 352118300, 367173000, 371634400, 389324700, 329849300, 363570100, 417725900, 433480400, 392143200]",0.07120000000000003,2
Pertussis,"[366680400, 358818600, 390323800, 371539700, 364466700, 338223000, 401901900, 357253100, 341260700, 444159400]",0.06880000000000001,3
Pertussis,"[391543500, 355147900, 356955700, 349406100, 406844100, 395670000, 360991400, 401452900, 367465000, 327830900]",0.06000000000000001,4
Polio,"[569142000, 688792600, 659723800, 812544900, 739363400, 766031800, 784833500, 859975100, 865917500, 909783800]",0.07160000000000002,2
Polio,"[626542300, 666822900, 737834300, 677954700, 830922300, 671680100, 866319500, 885603800, 897150200, 1096304800]",0.07000000000000002,3
Polio,"[623562800, 700544700, 647753400, 666415300, 754335000, 706148700, 864413500, 752710000, 986801900, 793313100]",0.05840000000000001,4
Rotavirus,"[142479000, 166422100, 173751400, 186328400, 197668300, 205652300, 209552800, 207355600, 209606300, 211802800]",0.8,1
Rotavirus,"[215993100, 206385600, 296331000, 352527700, 321205100, 419472700, 358279700, 621405500, 521461800, 738568800]",0.09040000000000004,2
Rotavirus,"[183299800, 214242800, 234312900, 188647900, 343397400, 440242000, 432042200, 379149000, 910317900, 781212600]",0.060800000000000014,3
Rotavirus,"[193175100, 227603800, 292648700, 210870500, 220528500, 373486100, 585073500, 491622600, 631943700, 369201600]",0.048800000000000024,4
Rubella,"[357331300, 254011400, 304621400, 276893800, 291347300, 386542700, 259074600, 385691400, 289592400, 325856600]",0.8,1
Rubella,"[302938900, 298144400, 508616800, 541219400, 575748500, 657709200, 700421500, 691862800, 634120800, 842450100]",0.09000000000000004,2
Rubella,"[305691800, 370161200, 500619100, 603740400, 498985500, 449347800, 678600200, 736025300, 1036219800, 580069000]",0.049600000000000026,3
Rubella,"[414772600, 270376700, 448441300, 411192800, 462058600, 461372000, 436859100, 605039900, 654595200, 669058700]",0.06040000000000001,4
Tetanus,"[577730200, 626351000, 633278500, 601333100, 598872900, 590040100, 596064300, 590973100, 597764600, 603248400]",0.8,1
Tetanus,"[641981900, 661317900, 743589500, 661537000, 674650500, 653030300, 726442500, 729202900, 680393400, 698909900]",0.07520000000000003,2
Tetanus,"[664999000, 620685900, 647201500, 639526000, 631409200, 645011900, 730508800, 648142800, 797662000, 789986900]",0.06880000000000001,3
Tetanus,"[650925600, 606398600, 639724200, 612788200, 668447400, 683867200, 657387800, 791728000, 644704200, 588070700]",0.05600000000000001,4
