Manufacturer,1,2,3,4,5,6,7,8,9,10
AJ_Vaccines,7711003,7711003,7711003,7711003,7711003,7711003,7711003,7711003,7711003,7711003
BB_NCIPD,39223956,39223956,39223956,39223956,39223956,39223956,39223956,39223956,39223956,39223956
Bharat_Biotech,61029105,61029105,61029105,61029105,61029105,61029105,61029105,61029105,61029105,61029105
Bilthoven,12048153,12048153,12048153,12048153,12048153,12048153,12048153,12048153,12048153,12048153
Biological_E,164885690,164885690,164885690,164885690,164885690,164885690,164885690,164885690,164885690,164885690
China_National,12812242,12812242,12812242,12812242,12812242,12812242,12812242,12812242,12812242,12812242
GSK,226762686,226762686,226762686,226762686,226762686,226762686,226762686,226762686,226762686,226762686
Haffkine_Bio,80972855,80972855,80972855,80972855,80972855,80972855,80972855,80972855,80972855,80972855
LG_Chem,43702188,43702188,43702188,43702188,43702188,43702188,43702188,43702188,43702188,43702188
Merck_Sharp,56991052,56991052,56991052,56991052,56991052,56991052,56991052,56991052,56991052,56991052
PT_Bio,45911731,45911731,45911731,45911731,45911731,45911731,45911731,45911731,45911731,45911731
Panacea_Biotec,10874165,10874165,10874165,10874165,10874165,10874165,10874165,10874165,10874165,10874165
Pfizer,83916974,83916974,83916974,83916974,83916974,83916974,83916974,83916974,83916974,83916974
Sanofi,87429432,87429432,87429432,87429432,87429432,87429432,87429432,87429432,87429432,87429432
Serum_Institute,587114096,587114096,587114096,587114096,587114096,587114096,587114096,587114096,587114096,587114096
