antigen,Year 1,vaccine,Average Coverage 2022,unvaccinated percent,Unvaccinated Children
Diphtheria,636165395.2380953,DTP1,82.74509803921569,0.17254901960784308,109769715.25676934
Hib,307622433.3333333,HIB3,75.13725490196079,0.24862745098039207,76483381.46405226
Measles,411886233.3333333,MCV1,72.82352941176471,0.2717647058823529,111936141.05882351
Mumps,24886242.85714286,MCV1,72.82352941176471,0.2717647058823529,6763202.470588235
PCV,224793409.52380952,PCV3,77.72093023255815,0.2227906976744185,50081880.54042079
Pertussis,342130923.8095238,DTP1,82.74509803921569,0.17254901960784308,59034355.48085899
Polio,626612457.1428572,POL3,72.56862745098039,0.27431372549019617,171888397.55742306
Rotavirus,189285447.6190476,ROTAC,72.075,0.27925,52857961.24761905
Rubella,332502223.8095238,RCV1,80.78787878787878,0.19212121212121214,63880730.27128428
Tetanus,617985790.4761904,DTP1,82.74509803921569,0.17254901960784308,106632842.27824458
