manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,22.5,1200,16227000.0,13522.5
AJ_Vaccines,2,2.5,1200,21758100.0,18131.75
BB_NCIPD,1,24.88888888888889,3600,22394190.0,6220.608333333334
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,25.708333333333332,2400,27899560.0,11624.816666666668
Bharat_Biotech,2,3.75,2400,16246720.0,6769.466666666666
Bilthoven,1,22.5,1200,16227000.0,13522.5
Bilthoven,2,2.5,1200,1900500.0,1583.75
Biological_E,1,26.895833333333336,4800,27962160.0,5825.45
Biological_E,2,21.875,4800,212113950.0,44190.40625
China_National,1,44.083333333333336,2400,47016371.75441,19590.154897670833
China_National,2,2.625,2400,4912182.24559,2046.7426023291669
GSK,1,50.77083333333333,4800,95702640.0,19938.05
GSK,2,0.0,4800,0.0,0.0
Haffkine_Bio,1,25.0,1200,2436000.0,2030.0
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,5.027777777777778,3600,5409000.000000006,1502.5000000000016
LG_Chem,2,58.333333333333336,3600,1024632000.0,284620.0
Merck_Sharp,1,25.0,1200,12741960.0,10618.3
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,40.300000000000004,6000,75837120.0,12639.52
PT_Bio,2,17.0,6000,168719640.0,28119.94
Panacea_Biotec,1,17.5,2400,15498529.56229999,6457.720650958328
Panacea_Biotec,2,61.66666666666667,2400,429127120.43770003,178802.96684904167
Pfizer,1,25.0,1200,17892300.0,14910.25
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,42.80555555555556,3600,44543940.0,12373.316666666668
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,26.675925925925924,10800,22265481.0,2061.618611111111
Serum_Institute,2,0.0,10800,0.0,0.0
