vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,61.25000000000001,46734000.0,19472.5
DT,2,0.0,0.0,0.0
DTwP,1,36.25,25157640.0,10482.35
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,55.00000000000001,1778742.0,1482.285
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,45.69444444444444,78722923.53267,21867.478759075002
HPV,2,0.5833333333333334,1823502.2455900002,506.52840155277784
HepB,1,5.041666666666666,1803000.0000000056,751.2500000000023
HepB,2,0.0,0.0,0.0
Hexa,1,90.0,41021959.0,34184.965833333335
Hexa,2,0.0,0.0,0.0
IPV,1,21.479166666666664,37778981.0,7870.621041666666
IPV,2,23.125,410154600.0,85448.875
OPV,1,24.614583333333336,67339001.58956999,7014.479332246873
OPV,2,4.916666666666666,50770140.000000015,5288.5562500000015
PCV,1,45.80555555555556,45231874.50913,12564.409585869445
PCV,2,0.0,0.0,0.0
Penta,1,21.0,23826270.0,3971.045
Penta,2,69.5,1400415250.4377,233402.54173961666
Rotavirus,1,28.055555555555557,45462340.0,12628.427777777777
Rotavirus,2,2.5,16246720.0,4512.977777777778
TT,1,16.5,6505895.405900003,1355.3948762291673
TT,2,0.0,0.0,0.0
Td,1,25.604166666666668,28690625.27944,5977.213599883334
Td,2,0.0,0.0,0.0
