trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,83,0.3423735167327701,0.22613563692009053,0.4337349397590361,0.6576264832672298,8,10,10,9,10,9,10,10,7
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,83,0.33986283518111615,0.21686746987951833,0.433734939759036,0.6601371648188838,8,10,9,10,10,9,10,10,7
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,84,0.3678443299801594,0.2070867105453219,0.5059882399703229,0.6321556700198407,8,10,10,10,10,10,10,9,7
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,81,0.33408228797302536,0.18774451967713968,0.43557220006189556,0.6659177120269747,7,10,10,9,10,9,10,8,8
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,83,0.39100170182778116,0.2771084337349399,0.5301204819277107,0.6089982981722187,7,10,10,10,10,9,10,9,8
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,83,0.4041386128852219,0.28043429562314137,0.49397590361445765,0.595861387114778,7,10,10,9,10,10,10,9,8
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,83,0.38594184897044076,0.2335191923755141,0.542168674698795,0.6140581510295591,8,10,10,9,10,9,10,9,8
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,83,0.4051857636661581,0.2771084337349399,0.5301204819277107,0.5948142363338418,8,10,10,9,10,9,10,10,7
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,82,0.3442368105825632,0.2024389783483307,0.45453543673880215,0.6557631894174366,7,10,10,9,10,9,10,9,8
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,82,0.3960376223662132,0.2682926829268293,0.5059882399703229,0.6039623776337868,7,10,10,9,10,9,10,9,8
1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json,81,0.3574668795831836,0.21199095192558337,0.5121588444902649,0.6425331204168164,8,10,10,9,10,8,10,9,7
20,MVP_DE_results_T_10_delta_5_scen_1_trial_20_inv_1_cap._1_cap.inc._1.json,81,0.3985863735314342,0.24384620895991127,0.5121588444902649,0.6014136264685658,8,10,9,10,10,9,10,8,7
21,MVP_DE_results_T_10_delta_5_scen_1_trial_21_inv_1_cap._1_cap.inc._1.json,85,0.37237252099067236,0.2693431739746053,0.5058806238575053,0.6276274790093277,7,10,10,10,10,10,10,10,8
22,MVP_DE_results_T_10_delta_5_scen_1_trial_22_inv_1_cap._1_cap.inc._1.json,85,0.3329669650026117,0.17851321457671154,0.4166253262936065,0.6670330349973884,8,10,10,10,10,10,10,9,8
23,MVP_DE_results_T_10_delta_5_scen_1_trial_23_inv_1_cap._1_cap.inc._1.json,81,0.3308125594321635,0.21945415118442457,0.47557075782703495,0.6691874405678366,8,10,9,9,10,10,10,8,7
24,MVP_DE_results_T_10_delta_5_scen_1_trial_24_inv_1_cap._1_cap.inc._1.json,81,0.33531501168550326,0.2024389783483307,0.42678664227606156,0.6646849883144968,7,10,10,9,10,9,10,8,8
25,MVP_DE_results_T_10_delta_5_scen_1_trial_25_inv_1_cap._1_cap.inc._1.json,84,0.32052752080401026,0.1785714285714285,0.44574290338133804,0.6794724791959899,8,10,10,10,10,10,10,9,7
26,MVP_DE_results_T_10_delta_5_scen_1_trial_26_inv_1_cap._1_cap.inc._1.json,81,0.35517615331354163,0.26823826673539797,0.47557075782703495,0.6448238466864583,7,10,10,9,10,9,10,8,8
27,MVP_DE_results_T_10_delta_5_scen_1_trial_27_inv_1_cap._1_cap.inc._1.json,83,0.4329632727650068,0.3090782198691493,0.542168674698795,0.5670367272349932,8,10,10,10,10,9,10,9,7
28,MVP_DE_results_T_10_delta_5_scen_1_trial_28_inv_1_cap._1_cap.inc._1.json,82,0.4028131618975886,0.2682926829268293,0.49089974095621536,0.5971868381024115,7,10,9,10,10,10,10,8,8
29,MVP_DE_results_T_10_delta_5_scen_1_trial_29_inv_1_cap._1_cap.inc._1.json,84,0.34080287485413074,0.2335191923755141,0.43711565690076815,0.6591971251458694,8,10,10,10,10,10,10,9,7
2,MVP_DE_results_T_10_delta_5_scen_1_trial_2_inv_1_cap._1_cap.inc._1.json,85,0.3526929772366205,0.2070867105453219,0.48494682755586926,0.6473070227633795,8,10,10,10,10,10,10,10,7
30,MVP_DE_results_T_10_delta_5_scen_1_trial_30_inv_1_cap._1_cap.inc._1.json,84,0.3527936250261175,0.21199095192558337,0.481890105334729,0.6472063749738826,8,10,10,10,10,9,10,10,7
3,MVP_DE_results_T_10_delta_5_scen_1_trial_3_inv_1_cap._1_cap.inc._1.json,84,0.3862362435284682,0.2738095238095233,0.49699696999643117,0.6137637564715319,7,10,10,10,10,10,10,9,8
4,MVP_DE_results_T_10_delta_5_scen_1_trial_4_inv_1_cap._1_cap.inc._1.json,83,0.3557379775874861,0.21945415118442457,0.506024096385542,0.6442620224125138,7,10,10,10,10,10,10,9,7
5,MVP_DE_results_T_10_delta_5_scen_1_trial_5_inv_1_cap._1_cap.inc._1.json,83,0.4051316336942021,0.24384620895991127,0.5121588444902649,0.5948683663057979,8,10,10,10,10,9,10,9,7
6,MVP_DE_results_T_10_delta_5_scen_1_trial_6_inv_1_cap._1_cap.inc._1.json,84,0.341493290126804,0.24549545499464664,0.4850207073772985,0.658506709873196,7,10,10,10,10,10,10,9,8
7,MVP_DE_results_T_10_delta_5_scen_1_trial_7_inv_1_cap._1_cap.inc._1.json,83,0.33190279136062445,0.17851321457671154,0.41316313166250307,0.6680972086393757,7,10,9,10,10,10,10,9,8
8,MVP_DE_results_T_10_delta_5_scen_1_trial_8_inv_1_cap._1_cap.inc._1.json,82,0.3885515383720129,0.2693431739746053,0.49692304788125474,0.611448461627987,8,10,10,9,10,9,10,9,7
9,MVP_DE_results_T_10_delta_5_scen_1_trial_9_inv_1_cap._1_cap.inc._1.json,84,0.3276881700986878,0.1785714285714285,0.4180856260373538,0.6723118299013122,8,10,10,10,10,10,10,9,7
