manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,22.5,16227000.0
AJ_Vaccines,IPV,2,2.5,21758100.0
BB_NCIPD,DT,1,32.5,12410251.0
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,10.416666666666668,778876.0000000001
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,32.5,9182586.0
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,33.416666666666664,14977000.0
Bharat_Biotech,OPV,2,0.0,0.0
Bharat_Biotech,Rotavirus,1,26.416666666666664,19051700.0
Bharat_Biotech,Rotavirus,2,7.5,16247840.0
Bilthoven,IPV,1,22.5,16227000.0
Bilthoven,IPV,2,2.5,1900500.0
Biological_E,DTwP,1,72.5,25769640.0
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,2.5,1628100.0
Biological_E,Penta,2,87.5,214288950.0
Biological_E,TT,1,8.75,1.1459633242338896e-09
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,25.0,2982420.0
Biological_E,Td,2,0.0,0.0
China_National,HPV,1,42.25,26987313.85795
China_National,HPV,2,5.25,5699238.0
China_National,OPV,1,40.91666666666667,19202460.14205
China_National,OPV,2,0.8333333333333334,735400.0
GSK,HPV,1,51.416666666666664,30701301.71643
GSK,HPV,2,22.5,34609840.0
GSK,OPV,1,37.333333333333336,18451014.85071
GSK,OPV,2,0.0,0.0
GSK,PCV,1,34.166666666666664,22521790.63727
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,58.416666666666664,28480692.79559
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,25.0,2525320.0
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,11.666666666666666,1803000.0000000093
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,2.5,1803000.0
LG_Chem,IPV,2,87.5,388416663.2721
LG_Chem,Penta,1,2.5,1803000.0
LG_Chem,Penta,2,87.5,636215336.7279
Merck_Sharp,HPV,1,25.0,13644840.0
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,87.5,37210500.0
PT_Bio,DT,2,0.0,0.0
PT_Bio,OPV,1,15.0,4175300.0198199996
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,2.5,1803000.0
PT_Bio,Penta,2,87.5,206195427.98017997
PT_Bio,TT,1,41.91666666666667,13317084.000000032
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,67.16666666666666,27762288.0
PT_Bio,Td,2,0.0,0.0
Panacea_Biotec,OPV,1,29.333333333333332,11371855.852449788
Panacea_Biotec,OPV,2,26.666666666666668,38876470.0
Panacea_Biotec,Penta,1,2.5,1803000.0
Panacea_Biotec,Penta,2,87.5,483858824.1475502
Pfizer,PCV,1,25.0,17892300.0
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,90.0,41108556.0
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,36.0,3421762.0
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,0.0,0.0
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,0.0,0.0
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,64.16666666666667,2555251.3000000003
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,66.0,4821327.0
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,90.33333333333333,14799445.5
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,2.083333333333333,89457.2
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,20.0,3.2650859793648124e-10
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,0.0,0.0
Serum_Institute,Td,2,0.0,0.0
