manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,22.5,1200,16227000.0,13522.5
AJ_Vaccines,2,2.5,1200,21758100.0,18131.75
BB_NCIPD,1,25.13888888888889,3600,22371713.0,6214.364722222223
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,29.916666666666668,2400,34028700.0,14178.625
Bharat_Biotech,2,3.75,2400,16247840.0,6769.933333333333
Bilthoven,1,22.5,1200,16227000.0,13522.5
Bilthoven,2,2.5,1200,1900500.0,1583.75
Biological_E,1,27.187499999999996,4800,30380160.0,6329.2
Biological_E,2,21.875,4800,214288950.0,44643.53125
China_National,1,41.583333333333336,2400,46189774.0,19245.739166666666
China_National,2,3.041666666666667,2400,6434638.0,2681.099166666667
GSK,1,45.33333333333333,4800,100154800.0,20865.583333333332
GSK,2,5.625,4800,34609840.0,7210.383333333333
Haffkine_Bio,1,25.0,1200,2525320.0,2104.4333333333334
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,5.555555555555555,3600,5409000.000000009,1502.5000000000025
LG_Chem,2,58.333333333333336,3600,1024632000.0,284620.0
Merck_Sharp,1,25.0,1200,13644840.0,11370.7
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,42.81666666666666,6000,84268172.01982003,14044.695336636672
PT_Bio,2,17.5,6000,206195427.98017997,34365.904663363326
Panacea_Biotec,1,15.916666666666668,2400,13174855.852449788,5489.523271854078
Panacea_Biotec,2,57.08333333333333,2400,522735294.1475502,217806.37256147925
Pfizer,1,25.0,1200,17892300.0,14910.25
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,42.0,3600,44530318.0,12369.532777777778
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,26.953703703703702,10800,22265481.0,2061.618611111111
Serum_Institute,2,0.0,10800,0.0,0.0
