vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,60.0,49620751.0,20675.312916666666
DT,2,0.0,0.0,0.0
DTwP,1,36.25,25769640.0,10737.35
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,64.16666666666667,2555251.3000000003,2129.3760833333336
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,39.55555555555556,71333455.57438,19814.84877066111
HPV,2,9.25,40309078.0,11196.96611111111
HepB,1,5.833333333333333,1803000.0000000093,751.2500000000039
HepB,2,0.0,0.0,0.0
Hexa,1,90.0,41108556.0,34257.13
Hexa,2,0.0,0.0,0.0
IPV,1,20.875,37678762.0,7849.7420833333335
IPV,2,23.125,412075263.2721,85849.0131816875
OPV,1,22.625,70702950.8650298,7364.890715107271
OPV,2,3.4375000000000004,39611870.0,4126.236458333334
PCV,1,41.72222222222222,45235417.637269996,12565.393788130554
PCV,2,0.0,0.0,0.0
Penta,1,20.066666666666666,21836545.5,3639.42425
Penta,2,70.0,1540558538.8556302,256759.75647593837
Rotavirus,1,28.97222222222222,47621849.99559,13228.291665441668
Rotavirus,2,2.5,16247840.0,4513.288888888889
TT,1,20.270833333333332,14095960.000000034,2936.65833333334
TT,2,0.0,0.0,0.0
Td,1,31.166666666666664,39927294.0,8318.18625
Td,2,0.0,0.0,0.0
