manufacturer,discount_level,quantity,market_share_pct
AJ_Vaccines,1,16192359.58441,4.4463069948514375
AJ_Vaccines,2,9293086.46376,0.52294947812513
BB_NCIPD,1,19866903.0,5.455310531763592
BB_NCIPD,2,0.0,0.0
Bharat_Biotech,1,23476902.718854453,6.44659082773777
Bharat_Biotech,2,4426800.0,0.24910913707647514
Bilthoven,1,16747388.954409955,4.598714119786757
Bilthoven,2,506800.0,0.028519135870235295
Biological_E,1,56871111.36841589,15.616403462644346
Biological_E,2,129352125.31892459,7.279026908196751
China_National,1,13513380.435,3.7106783380773325
China_National,2,414160.0,0.02330600890295314
GSK,1,23617065.6,6.485078559905973
GSK,2,591200.0,0.03326857365130842
Haffkine_Bio,1,2423820.0,0.6655637656810037
Haffkine_Bio,2,0.0,0.0
LG_Chem,1,6145433.897931097,1.6874925228980326
LG_Chem,2,1008687230.0,56.76181563327008
Merck_Sharp,1,1570474.06,0.43124102832633393
Merck_Sharp,2,0.0,0.0
PT_Bio,1,106884166.30866,29.34963331438243
PT_Bio,2,180680159.99999997,10.16740732457745
Panacea_Biotec,1,16272365.306549415,4.468275998202816
Panacea_Biotec,2,443100878.7470246,24.934597800329616
Pfizer,1,1969530.0000000002,0.5408189566146444
Pfizer,2,0.0,0.0
Sanofi,1,34174672.0,9.384122330549776
Sanofi,2,0.0,0.0
Serum_Institute,1,24449901.0,6.713769248577757
Serum_Institute,2,0.0,0.0
