manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,22.5,1200,16192359.58441,13493.632987008334
AJ_Vaccines,2,1.7500000000000002,1200,9293086.46376,7744.2387198
BB_NCIPD,1,25.055555555555554,3600,19866903.0,5518.5841666666665
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,22.208333333333332,2400,23476902.718854453,9782.04279952269
Bharat_Biotech,2,2.166666666666667,2400,4426800.0,1844.5
Bilthoven,1,23.25,1200,16747388.954409955,13956.157462008296
Bilthoven,2,0.6666666666666667,1200,506800.0,422.3333333333333
Biological_E,1,36.0,4800,56871111.36841589,11848.14820175331
Biological_E,2,19.708333333333332,4800,129352125.31892459,26948.359441442622
China_National,1,14.124999999999998,2400,13513380.435,5630.57518125
China_National,2,0.25,2400,414160.0,172.56666666666666
GSK,1,15.020833333333334,4800,23617065.6,4920.222000000001
GSK,2,0.1875,4800,591200.0,123.16666666666667
Haffkine_Bio,1,24.583333333333332,1200,2423820.0,2019.85
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,2.888888888888889,3600,6145433.897931097,1707.064971647527
LG_Chem,2,57.80555555555556,3600,1008687230.0,280190.89722222224
Merck_Sharp,1,8.75,1200,1570474.06,1308.7283833333333
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,50.74999999999999,6000,106884166.30866,17814.02771811
PT_Bio,2,17.483333333333334,6000,180680159.99999997,30113.359999999993
Panacea_Biotec,1,15.625,2400,16272365.306549415,6780.152211062256
Panacea_Biotec,2,74.5,2400,443100878.7470246,184625.36614459357
Pfizer,1,2.833333333333333,1200,1969530.0000000002,1641.275
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,63.33333333333333,3600,34174672.0,9492.964444444444
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,23.666666666666668,10800,24449901.0,2263.8797222222224
Serum_Institute,2,0.0,10800,0.0,0.0
