trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,80,0.38318246310374454,0.2531047167757957,0.48097107436962094,0.6168175368962555,9,8,10,9,7,10,10,10,7
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,77,0.38754982320868275,0.2597402597402596,0.48713926793328177,0.6124501767913174,7,6,8,10,9,9,10,10,8
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,77,0.36763157701954796,0.22077922077922063,0.4903528085623745,0.632368422980452,8,6,10,9,9,8,10,10,7
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,77,0.41291376634896215,0.2857142857142856,0.4903528085623745,0.5870862336510378,7,8,9,9,8,9,10,10,7
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,74,0.44955933670625775,0.3866121408779355,0.5061185173354654,0.5504406632937422,7,8,8,9,8,8,9,10,7
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,76,0.3655226799503792,0.251472687266483,0.47995377161390174,0.6344773200496208,7,6,9,9,8,9,10,10,8
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,80,0.41214842319623946,0.3037416851299791,0.5061185173354654,0.5878515768037605,9,9,8,8,8,9,10,10,9
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,79,0.42397611100959287,0.3461001046378025,0.5095855537263162,0.5760238889904071,7,6,10,10,8,10,10,10,8
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,77,0.41338850492089985,0.31168831168831157,0.49676372025980364,0.5866114950791002,8,7,9,9,8,8,10,10,8
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,83,0.390495454379838,0.26198089775764966,0.4819277108433735,0.609504545620162,8,10,9,10,8,10,10,10,8
1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json,78,0.37128842984123234,0.21288684450892326,0.46153846153846134,0.6287115701587678,8,6,10,9,8,10,10,10,7
20,MVP_DE_results_T_10_delta_5_scen_1_trial_20_inv_1_cap._1_cap.inc._1.json,76,0.40239165815743844,0.31163025815737644,0.47995377161390185,0.5976083418425615,7,6,9,8,8,10,10,10,8
21,MVP_DE_results_T_10_delta_5_scen_1_trial_21_inv_1_cap._1_cap.inc._1.json,83,0.4439954748564251,0.36185509822403905,0.49636703483412103,0.5560045251435748,8,9,9,10,9,10,10,10,8
