manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,14.75,10637700.0
AJ_Vaccines,IPV,2,2.25,12611094.600938318
BB_NCIPD,DT,1,20.75,3852548.0
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,9.666666666666666,1507023.0
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,21.166666666666668,6319243.0
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,17.25,7085965.814409999
Bharat_Biotech,OPV,2,0.5,571200.0
Bharat_Biotech,Rotavirus,1,14.833333333333334,10187614.18559
Bharat_Biotech,Rotavirus,2,2.833333333333333,2641800.0
Bilthoven,IPV,1,15.0,10637700.59232168
Bilthoven,IPV,2,2.0,1486900.0
Biological_E,DTwP,1,31.333333333333336,10753273.78799
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,5.833333333333333,3157824.97374
Biological_E,Penta,2,44.75,76190381.84756
Biological_E,TT,1,1.7500000000000002,408386.0
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,45.58333333333333,19358853.39071
Biological_E,Td,2,0.0,0.0
China_National,HPV,1,5.166666666666667,1308465.0480487258
China_National,HPV,2,0.0,0.0
China_National,OPV,1,17.75,9008120.326238502
China_National,OPV,2,1.5,1323720.0
GSK,HPV,1,0.0,0.0
GSK,HPV,2,0.0,0.0
GSK,OPV,1,23.0,10142324.10441
GSK,OPV,2,0.0,0.0
GSK,PCV,1,0.0,0.0
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,22.666666666666664,10992515.89559
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,17.0,2436000.0
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,0.0,0.0
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,3.0833333333333335,2071676.6308699995
LG_Chem,IPV,2,52.25,200694135.76553
LG_Chem,Penta,1,2.5,1803000.0
LG_Chem,Penta,2,53.91666666666667,389168400.0
Merck_Sharp,HPV,1,11.333333333333332,788706.2263221928
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,33.0,17906350.78215
PT_Bio,DT,2,1.0833333333333335,781200.0
PT_Bio,OPV,1,15.583333333333332,5873394.220350001
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,2.5833333333333335,1849779.4862600002
PT_Bio,Penta,2,53.833333333333336,110403625.32
PT_Bio,TT,1,33.666666666666664,11908355.75244
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,49.75,23197509.417460002
PT_Bio,Td,2,0.0,0.0
Panacea_Biotec,OPV,1,10.0,5626740.0
Panacea_Biotec,OPV,2,46.416666666666664,95268672.92882
Panacea_Biotec,Penta,1,2.5,1803000.0
Panacea_Biotec,Penta,2,53.91666666666667,193246130.0
Pfizer,PCV,1,12.166666666666668,102.57107150729075
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,56.41666666666667,16709470.88
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,0.0,0.0
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,46.666666666666664,4710095.12
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,14.166666666666666,1162147.4686999996
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,54.333333333333336,8680224.931300001
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,0.0,0.0
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,52.916666666666664,3899235.7313
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,0.0,0.0
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,0.0,0.0
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,14.416666666666666,1142093.5686999997
Serum_Institute,Td,2,0.0,0.0
