manufacturer,discount_level,quantity,market_share_pct
AJ_Vaccines,1,10637700.0,4.687751165109677
AJ_Vaccines,2,12611094.600938318,1.1629696383149626
BB_NCIPD,1,11678814.0,5.146542385628397
BB_NCIPD,2,0.0,0.0
Bharat_Biotech,1,17273580.0,7.6120068032201695
Bharat_Biotech,2,3213000.0,0.29629636174705676
Bilthoven,1,10637700.59232168,4.68775142613007
Bilthoven,2,1486900.0,0.13711891076305593
Biological_E,1,33678338.15244,14.841146950286083
Biological_E,2,76190381.84756,7.026122919872712
China_National,1,10316585.374287229,4.54624449911808
China_National,2,1323720.0,0.12207078119259696
GSK,1,21134840.0,9.313561280578188
GSK,2,0.0,0.0
Haffkine_Bio,1,2436000.0,1.073480342386716
Haffkine_Bio,2,0.0,0.0
LG_Chem,1,3874676.6308699995,1.7074668293695134
LG_Chem,2,589862535.76553,54.39593005858067
Merck_Sharp,1,788706.2263221928,0.34756183492400755
Merck_Sharp,2,0.0,0.0
PT_Bio,1,60735389.65866,26.76446916492979
PT_Bio,2,111184825.32,10.253239721070038
Panacea_Biotec,1,7429740.0,3.2740886038769625
Panacea_Biotec,2,288514802.92882,26.6062516084589
Pfizer,1,102.57107150729075,4.5200340295820535e-05
Pfizer,2,0.0,0.0
Sanofi,1,21419566.0,9.439032448052078
Sanofi,2,0.0,0.0
Serum_Institute,1,14883701.7,6.5588510660499795
Serum_Institute,2,0.0,0.0
