manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,14.75,1200,10637700.0,8864.75
AJ_Vaccines,2,2.25,1200,12611094.600938318,10509.245500781932
BB_NCIPD,1,17.194444444444446,3600,11678814.0,3244.115
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,16.041666666666668,2400,17273580.0,7197.325
Bharat_Biotech,2,1.6666666666666667,2400,3213000.0,1338.75
Bilthoven,1,15.0,1200,10637700.59232168,8864.750493601401
Bilthoven,2,2.0,1200,1486900.0,1239.0833333333333
Biological_E,1,21.125,4800,33678338.15244,7016.320448424999
Biological_E,2,11.1875,4800,76190381.84756,15872.996218241668
China_National,1,11.458333333333332,2400,10316585.374287229,4298.5772392863455
China_National,2,0.75,2400,1323720.0,551.55
GSK,1,11.416666666666666,4800,21134840.0,4403.091666666666
GSK,2,0.0,4800,0.0,0.0
Haffkine_Bio,1,17.0,1200,2436000.0,2030.0
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,1.861111111111111,3600,3874676.6308699995,1076.2990641305555
LG_Chem,2,35.388888888888886,3600,589862535.76553,163850.7043793139
Merck_Sharp,1,11.333333333333332,1200,788706.2263221928,657.2551886018274
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,26.916666666666668,6000,60735389.65866,10122.564943110001
PT_Bio,2,10.983333333333334,6000,111184825.32,18530.804219999998
Panacea_Biotec,1,6.25,2400,7429740.0,3095.725
Panacea_Biotec,2,50.16666666666667,2400,288514802.92882,120214.50122034167
Pfizer,1,12.166666666666668,1200,102.57107150729075,0.0854758929227423
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,34.36111111111111,3600,21419566.0,5949.879444444445
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,15.092592592592593,10800,14883701.7,1378.1205277777776
Serum_Institute,2,0.0,10800,0.0,0.0
