trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,46,0.6507894426776017,0.26877493084712156,0.7497827031315103,0.3492105573223983,5,4,5,5,5,6,6,6,4
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,50,0.44836619015632845,0.07999999999999985,0.690573626122362,0.5516338098436716,5,4,6,6,4,6,7,7,5
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,52,0.45395547011810816,0.22326436261938276,0.6728556719561878,0.5460445298818919,6,5,5,5,6,6,7,7,5
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,50,0.48928533802708246,0.21999999999999986,0.7080798203200953,0.5107146619729176,5,4,6,6,4,6,7,7,5
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,50,0.47749565790315157,0.24748786733772754,0.7497827031315103,0.5225043420968485,6,4,6,6,4,6,6,7,5
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,48,0.5104965365597544,0.28556549168823975,0.7263006256533813,0.48950346344024565,5,4,6,5,4,6,7,6,5
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,53,0.4372068264768802,0.12376978457662191,0.6794224401196556,0.5627931735231197,6,5,6,5,6,6,7,7,5
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,50,0.504438792532821,0.21999999999999986,0.7524589008978896,0.495561207467179,5,4,6,6,4,6,6,7,6
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,47,0.6248902671942193,0.44082788829485764,0.6994585376121771,0.37510973280578075,5,4,5,5,5,6,7,6,4
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,52,0.41516705764123785,0.17307692307692268,0.6763546423749061,0.5848329423587623,5,5,6,6,5,5,7,7,6
