vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,26.875,21758898.78215,9066.207825895834
DT,2,0.5416666666666667,781200.0,325.5
DTwP,1,22.75,11915421.25669,4964.758856954167
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,54.333333333333336,8680224.931300001,7233.520776083335
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,5.5,2097171.2743709185,582.547576214144
HPV,2,0.0,0.0,0.0
HepB,1,0.0,0.0,0.0
HepB,2,0.0,0.0,0.0
Hexa,1,56.41666666666667,16709470.88,13924.559066666667
Hexa,2,0.0,0.0,0.0
IPV,1,8.208333333333332,23347077.22319168,4863.974421498267
IPV,2,14.124999999999998,214792130.3664683,44748.36049301423
OPV,1,18.40625,44882639.5854085,4675.274956813386
OPV,2,6.052083333333334,97163592.92882,10121.207596752083
PCV,1,4.055555555555555,102.57107150729075,0.028491964307580765
PCV,2,0.0,0.0,0.0
Penta,1,13.266666666666666,12512840.1913,2085.4733652166665
Penta,2,41.28333333333333,769008537.16756,128168.08952792667
Rotavirus,1,12.5,21180130.08118,5883.369466994444
Rotavirus,2,0.9444444444444444,2641800.0,733.8333333333334
TT,1,11.270833333333332,13823764.75244,2879.950990091667
TT,2,0.0,0.0,0.0
Td,1,32.729166666666664,50017699.37687,10420.354036847917
Td,2,0.0,0.0,0.0
