model,dimension,category,mean,std,variance,min,max,n
MP,total,total,83936400.79999998,588243.9055302558,346030892393.4884,83453215.7,85100656.7,30
MP,vaccine,DT,1654025.0333333334,14373.291176074537,206591499.23222214,1647008.0,1724239.0,30
MP,vaccine,DTwP,858988.0,0.0,0.0,858988.0,858988.0,30
MP,vaccine,DTwP-Hib,85175.04333333335,20068.799830810076,402756726.64912254,1040.2,90497.40000000004,30
MP,vaccine,HPV,3721417.785812667,282694.91627992556,79916415690.51411,3247050.0,4150732.0,30
MP,vaccine,HepB,60100.00000000031,5.084535803924023e-10,2.585250434138531e-19,60100.0,60100.000000002794,30
MP,vaccine,Hexa,1370285.2,3722.91721100537,13860112.560000002,1365031.0,1373788.0,30
MP,vaccine,IPV,14991800.842403332,254602.1755144744,64822267776.70323,14924730.0,16230901.961049972,30
MP,vaccine,OPV,3677160.6955009927,1428847.8386200564,2041606145929.2068,1978251.7720499951,5918426.0,30
MP,vaccine,PCV,1507847.254575666,147438.82057062065,21738205811.255672,1405916.2999999998,2078962.3,30
MP,vaccine,Penta,52079836.14518767,1344249.0676225096,1807005555803.986,50192714.0,53875468.0,30
MP,vaccine,Rotavirus,2128989.6665196666,197026.45790955043,38819425116.38384,1978320.0,2497792.7,30
MP,vaccine,TT,469865.3333333343,11685.937498644947,136561135.22223613,442704.0000000001,477138.00000003044,30
MP,vaccine,Td,1330909.8,6544.799779977995,42834404.16000001,1318344.0,1336089.0,30
MP,manufacturer,AJ_Vaccines,1266170.0,0.0,0.0,1266170.0,1266170.0,30
MP,manufacturer,BB_NCIPD,745723.7666666667,8802.470447487392,77483485.97888888,729911.0,786695.0,30
MP,manufacturer,Bharat_Biotech,1675884.6666666667,257771.628419852,66446212418.222244,1481580.0,2123060.0,30
MP,manufacturer,Bilthoven,604250.0,0.0,0.0,604250.0,604250.0,30
MP,manufacturer,Biological_E,8155637.0,0.0,0.0,8155637.0,8155637.0,30
MP,manufacturer,China_National,1754147.0666666667,46832.63999885361,2193296169.262223,1697426.0,1902994.0,30
MP,manufacturer,GSK,4492154.666666667,306943.0350160904,94214026744.88889,4255960.0,5064200.0,30
MP,manufacturer,Haffkine_Bio,84177.33333333333,9488.78739472132,90037086.2222222,81200.0,121800.0,30
MP,manufacturer,LG_Chem,34334700.0,4.904572580787415e-09,2.4054832200211726e-17,34334699.999999985,34334700.00000002,30
MP,manufacturer,Merck_Sharp,454828.0,21728.188511700646,472114176.0,398860.0,478540.0,30
MP,manufacturer,PT_Bio,9682120.0,10779.327251734672,116193895.99998976,9677891.999999998,9709602.000000006,30
MP,manufacturer,Panacea_Biotec,17863671.666666668,28964.057276025396,838916613.8888797,17830549.999999993,17889000.00000002,30
MP,manufacturer,Pfizer,596410.0,0.0,0.0,596410.0,596410.0,30
MP,manufacturer,Sanofi,1484343.9333333333,2445.223833426207,5979119.595555554,1471176.0,1484798.0,30
MP,manufacturer,Serum_Institute,742182.6999999997,2.3379875861406433e-10,5.466185952947751e-20,742182.6999999997,742182.7000000001,30
SB,total,total,71374263.82546465,1557471.8512349045,2425718567389.0806,68095306.50942375,74551372.18499991,30
SB,vaccine,DT,1427639.7352639996,79080.57893099311,6253737964.061032,1275892.25198,1598957.25198,30
SB,vaccine,DTwP,931624.1678833278,217979.22394692386,47514942072.50318,486141.89366001135,1274386.0,30
SB,vaccine,DTwP-Hib,370138.048503993,66955.91720254986,4483094848.434711,244447.00000000003,497735.70000000007,30
SB,vaccine,HPV,176938.42350000003,61922.84308907681,3834438496.234427,69900.0,364264.0,30
SB,vaccine,HepB,72627.7965977032,33404.04943001678,1115830518.323004,60100.0,180300.0,30
SB,vaccine,Hexa,897395.3333333334,2427.088424887363,5890758.222222221,888314.0,898044.0,30
SB,vaccine,IPV,14005270.033419333,507309.44327784056,257362871238.87253,13083581.0,14846457.0,30
SB,vaccine,OPV,6097092.730245734,1738785.7891625818,3023376020593.7427,3330335.0,8804641.999999994,30
SB,vaccine,PCV,76571.0,44992.02339304157,2024282168.9999998,60100.0,278500.0,30
SB,vaccine,Penta,43129647.51808782,394367.5896699436,155525795782.081,42505643.6,43892202.3,30
SB,vaccine,Rotavirus,1105799.689853,145169.14156074927,21074079661.48486,906200.0,1342720.0,30
SB,vaccine,TT,794540.8878539997,115379.90701030217,13312522941.705976,516980.0,1048734.6800000006,30
SB,vaccine,Td,2288978.460922429,220032.1883173641,48414163895.72799,1713007.0999999952,2748094.7299999995,30
SB,manufacturer,AJ_Vaccines,849514.8682723333,237177.21300651948,56253030369.53991,480800.0,1098800.0,30
SB,manufacturer,BB_NCIPD,662230.1,60362.11733107115,3643585208.69,527877.0,774858.0,30
SB,manufacturer,Bharat_Biotech,930123.4239618151,86868.719101597,7546174358.352163,843360.0,1117185.269999999,30
SB,manufacturer,Bilthoven,575139.6318136653,30220.618628795444,913285790.3070983,540900.0,604250.0,30
SB,manufacturer,Biological_E,6207441.2229113495,204367.3291803046,41766005236.290985,5727097.0,6546649.999999998,30
SB,manufacturer,China_National,464251.3478333334,76648.76301028261,5875032871.006467,354460.0,662665.2100000001,30
SB,manufacturer,GSK,806942.1866666668,164119.16848427878,26935101463.97108,578810.0,1168349.6300000001,30
SB,manufacturer,Haffkine_Bio,80794.0,2955.7246150478904,8736308.0,73080.0,89320.0,30
SB,manufacturer,LG_Chem,33827755.46326437,476260.78099951014,226824331518.26334,33046600.0,34334700.0,30
SB,manufacturer,Merck_Sharp,52349.13533333333,27698.351828487375,767198694.01467,9800.0,127065.0,30
SB,manufacturer,PT_Bio,9585477.543622,71186.8137500641,5067562451.886315,9273572.61,9673041.999999998,30
SB,manufacturer,Panacea_Biotec,15312441.468452467,1532688.3428230137,2349133556225.5557,12564420.0,17595870.0,30
SB,manufacturer,Pfizer,65651.0,16653.0,277322408.99999994,60100.0,115610.0,30
SB,manufacturer,Sanofi,1139155.7333333334,3051.625216539905,9312416.462222222,1131368.0,1142022.0,30
SB,manufacturer,Serum_Institute,814996.6999999998,4.2667975672220995e-10,1.820556147965243e-19,814996.6999999996,814996.7000000009,30
UG,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
UG,manufacturer,PT_Bio,5730673.832622,220834.8698098696,48768039723.94205,5118156.0,5881718.000000001,30
