trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,84,0.2861697410089365,0.18561414189898373,0.3975466341101501,0.7138302589910634,7,10,10,9,10,10,10,10,8
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,81,0.31184648821444677,0.1728395061728396,0.46657849053424094,0.6881535117855533,8,10,9,10,10,9,10,9,6
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,84,0.3377156275740109,0.1904761904761899,0.43369383606354117,0.6622843724259891,6,10,10,10,10,10,10,10,8
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,83,0.307315303310122,0.17574243773863418,0.43711565690076815,0.6926846966898781,7,10,10,9,10,9,10,10,8
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,84,0.337280652668941,0.2241141680498051,0.43711565690076815,0.662719347331059,7,10,10,10,10,10,10,10,7
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,83,0.3098918476022304,0.18286606452119458,0.47557075782703495,0.6901081523977697,8,10,10,10,10,9,10,9,7
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,81,0.32936173111649264,0.15335830009284335,0.47557075782703495,0.6706382688835075,8,10,8,9,10,10,10,9,7
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,82,0.3403714570316072,0.25295782629658614,0.41817113252138893,0.6596285429683928,8,10,10,9,10,9,10,9,7
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,82,0.3225994787669873,0.15853658536585324,0.4478423696257674,0.6774005212330126,7,10,9,9,10,10,10,9,8
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,84,0.29112831026317815,0.14968535404158612,0.4095957014279471,0.7088716897368218,8,10,10,10,10,10,10,9,7
