manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,22.5,16227000.0
AJ_Vaccines,IPV,2,2.5,21758100.0
BB_NCIPD,DT,1,32.5,12258540.0
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,9.666666666666666,859320.0000000001
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,32.5,9276330.0
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,29.333333333333332,11973060.0
Bharat_Biotech,OPV,2,0.0,0.0
Bharat_Biotech,Rotavirus,1,22.083333333333332,15926500.0
Bharat_Biotech,Rotavirus,2,7.5,16246720.0
Bilthoven,IPV,1,22.5,16227000.0
Bilthoven,IPV,2,2.5,1900500.0
Biological_E,DTwP,1,72.5,25157640.0
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,2.5,1568100.0
Biological_E,Penta,2,87.5,212113950.0
Biological_E,TT,1,7.583333333333334,9.931682143360376e-10
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,25.0,1236420.0
Biological_E,Td,2,0.0,0.0
China_National,HPV,1,45.75,27651191.36795
China_National,HPV,2,1.7500000000000002,1823502.2455900002
China_National,OPV,1,42.41666666666667,19365180.38646
China_National,OPV,2,3.5000000000000004,3088680.0
GSK,HPV,1,66.33333333333333,38329772.16472001
GSK,HPV,2,0.0,0.0
GSK,OPV,1,34.75,5537222.326149993
GSK,OPV,2,0.0,0.0
GSK,PCV,1,39.916666666666664,22299805.509130005
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,62.083333333333336,29535840.0
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,25.0,2436000.0
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,10.083333333333332,1803000.0000000056
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,2.5,1803000.0
LG_Chem,IPV,2,87.5,386496000.0
LG_Chem,Penta,1,2.5,1803000.0
LG_Chem,Penta,2,87.5,638136000.0
Merck_Sharp,HPV,1,25.0,12741960.0
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,90.0,34475460.0
PT_Bio,DT,2,0.0,0.0
PT_Bio,OPV,1,32.916666666666664,14332009.31466
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,5.0,3205200.0
PT_Bio,Penta,2,85.0,168719640.0
PT_Bio,TT,1,28.666666666666668,5646575.4059000015
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,44.916666666666664,18177875.27944
PT_Bio,Td,2,0.0,0.0
Panacea_Biotec,OPV,1,32.5,13695529.56229999
Panacea_Biotec,OPV,2,35.833333333333336,47681460.000000015
Panacea_Biotec,Penta,1,2.5,1803000.0
Panacea_Biotec,Penta,2,87.5,381445660.4377
Pfizer,PCV,1,25.0,17892300.0
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,90.0,41021959.0
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,38.416666666666664,3521981.0
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,0.0,0.0
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,0.0,0.0
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,55.00000000000001,1778742.0
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,72.5,5039769.0
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,92.5,15446970.0
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,0.0,0.0
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,20.083333333333332,3.333298081997782e-10
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,0.0,0.0
Serum_Institute,Td,2,0.0,0.0
