trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,79,0.34163242651356956,0.22566140062049966,0.4768447525524383,0.6583675734864305,8,6,10,10,8,10,10,10,7
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,81,0.34522874866025055,0.23456790123456794,0.5091766364149852,0.6547712513397494,8,7,9,10,9,10,10,10,8
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,76,0.35920976113520575,0.21769150653506997,0.506622808967035,0.6407902388647941,8,7,9,10,6,9,10,10,7
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,80,0.36428066553343863,0.2100468532716805,0.5191153984582163,0.6357193344665614,8,9,9,10,6,10,10,10,8
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,74,0.3812261013223181,0.23163642044759125,0.5101927480929535,0.618773898677682,6,6,8,9,8,9,10,10,8
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,78,0.35865474799426533,0.2515973275658615,0.4866643266696602,0.6413452520057348,8,8,9,9,7,10,10,10,7
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,75,0.37331830956639517,0.2317712329022743,0.5167676402459024,0.6266816904336048,8,6,9,10,7,9,10,10,6
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,73,0.44348264675823734,0.29250063613426625,0.5404985826883498,0.5565173532417627,8,6,9,9,7,8,10,9,7
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,78,0.36083655946912796,0.225790338861236,0.48316028822154844,0.639163440530872,7,6,10,10,7,10,10,10,8
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,78,0.3493257918900046,0.1923076923076923,0.47350187350734374,0.6506742081099953,8,7,9,10,8,9,10,10,7
1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json,76,0.3743106797606502,0.2735168427432213,0.4932882902904685,0.6256893202393499,7,7,10,10,6,10,10,9,7
