manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,22.583333333333332,16227000.0
AJ_Vaccines,IPV,2,2.4166666666666665,15098393.91323
BB_NCIPD,DT,1,32.166666666666664,9536850.338600002
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,6.166666666666667,936649.0
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,32.166666666666664,9644080.661399998
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,24.416666666666668,10830052.00205
Bharat_Biotech,OPV,2,0.6666666666666667,590200.0
Bharat_Biotech,Rotavirus,1,21.666666666666668,14191313.506769998
Bharat_Biotech,Rotavirus,2,5.083333333333333,5505400.0
Bilthoven,IPV,1,23.0,16527500.0
Bilthoven,IPV,2,2.0,1520399.9999999998
Biological_E,DTwP,1,66.0,23746403.614885624
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,9.25,4501387.0
Biological_E,Penta,2,77.66666666666666,128482496.45626
Biological_E,TT,1,3.0833333333333335,1352982.000000004
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,61.083333333333336,21142606.95231321
Biological_E,Td,2,0.08333333333333334,60000.0
China_National,HPV,1,6.75,2441358.125
China_National,HPV,2,0.0,0.0
China_National,OPV,1,20.666666666666668,10192820.0
China_National,OPV,2,0.8333333333333334,708320.0
GSK,HPV,1,0.5833333333333334,132400.0
GSK,HPV,2,0.0,0.0
GSK,OPV,1,32.58333333333333,10582984.37323
GSK,OPV,2,0.0,0.0
GSK,PCV,1,0.0,0.0
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,33.25,11884915.62677
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,24.833333333333332,2428692.0
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,2.833333333333333,1803000.000000002
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,3.25,1923200.0000000019
LG_Chem,IPV,2,87.16666666666667,382123088.14646
LG_Chem,Penta,1,2.666666666666667,1803000.0
LG_Chem,Penta,2,87.5,638136000.0
Merck_Sharp,HPV,1,16.25,3131723.3449999997
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,73.0,28948666.079649884
PT_Bio,DT,2,0.5,1.130418864701846e-09
PT_Bio,OPV,1,21.0,4691116.000000053
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,5.916666666666667,3205200.000000001
PT_Bio,Penta,2,85.0,152223599.99999997
PT_Bio,TT,1,33.33333333333333,10417139.92034999
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,78.58333333333334,30905781.278857123
PT_Bio,Td,2,0.5,1.10126082483985e-09
Panacea_Biotec,OPV,1,56.00000000000001,31321739.198120236
Panacea_Biotec,OPV,2,30.166666666666668,37425820.42050522
Panacea_Biotec,Penta,1,2.5,1803000.0
Panacea_Biotec,Penta,2,87.5,275740439.9931255
Pfizer,PCV,1,3.6666666666666665,2529220.0000000005
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,90.0,26941320.0
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,53.25,4183634.0000000005
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,46.166666666666664,3107986.0
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,14.583333333333334,1117174.8000000014
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,90.58333333333334,12369018.200000001
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,0.0,0.0
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,88.83333333333333,10351030.2
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,0.0,0.0
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,0.0,0.0
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,9.416666666666666,612677.7999999998
Serum_Institute,Td,2,0.0,0.0
