manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,22.583333333333332,1200,16227000.0,13522.5
AJ_Vaccines,2,2.4166666666666665,1200,15098393.91323,12581.994927691667
BB_NCIPD,1,23.5,3600,20117580.0,5588.216666666666
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,23.041666666666664,2400,25021365.508819997,10425.568962008332
Bharat_Biotech,2,2.875,2400,6095600.0,2539.8333333333335
Bilthoven,1,23.0,1200,16527500.0,13772.916666666666
Bilthoven,2,2.0,1200,1520399.9999999998,1266.9999999999998
Biological_E,1,34.85416666666667,4800,50743379.56719884,10571.537409833092
Biological_E,2,19.4375,4800,128542496.45626,26779.686761720834
China_National,1,13.708333333333334,2400,12634178.125,5264.240885416667
China_National,2,0.4166666666666667,2400,708320.0,295.1333333333333
GSK,1,16.604166666666668,4800,22600300.0,4708.395833333333
GSK,2,0.0,4800,0.0,0.0
Haffkine_Bio,1,24.833333333333332,1200,2428692.0,2023.91
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,2.9166666666666665,3600,5529200.000000004,1535.8888888888898
LG_Chem,2,58.22222222222222,3600,1020259088.1464599,283405.3022629055
Merck_Sharp,1,16.25,1200,3131723.3449999997,2609.7694541666665
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,42.36666666666667,6000,78167903.27885705,13027.983879809508
PT_Bio,2,17.2,6000,152223599.99999997,25370.599999999995
Panacea_Biotec,1,29.25,2400,33124739.198120236,13801.974665883432
Panacea_Biotec,2,58.833333333333336,2400,313166260.4136307,130485.9418390128
Pfizer,1,3.6666666666666665,1200,2529220.0000000005,2107.683333333334
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,63.138888888888886,3600,34232940.0,9509.15
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,22.60185185185185,10800,24449901.0,2263.8797222222224
Serum_Institute,2,0.0,10800,0.0,0.0
