vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,52.583333333333336,38485516.41824988,16035.63184093745
DT,2,0.25,1.130418864701846e-09,4.710078602924358e-13
DTwP,1,40.291666666666664,24863578.414885625,10359.824339535677
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,90.58333333333334,12369018.200000001,10307.515166666668
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,7.861111111111112,5705481.47,1584.8559638888887
HPV,2,0.0,0.0,0.0
HepB,1,1.4166666666666665,1803000.000000002,751.2500000000009
HepB,2,0.0,0.0,0.0
Hexa,1,90.0,26941320.0,22451.1
Hexa,2,0.0,0.0,0.0
IPV,1,25.520833333333332,38861334.0,8096.11125
IPV,2,22.895833333333336,398741882.05969,83071.22542910208
OPV,1,28.208333333333336,73155389.57340029,7620.3530805625305
OPV,2,3.958333333333333,38724340.42050522,4033.7854604692934
PCV,1,1.2222222222222223,2529220.0000000005,702.5611111111112
PCV,2,0.0,0.0,0.0
Penta,1,21.833333333333332,21663617.2,3610.6028666666666
Penta,2,67.53333333333333,1194582536.4493854,199097.0894082309
Rotavirus,1,18.305555555555557,26076229.133539997,7243.396981538888
Rotavirus,2,1.6944444444444446,5505400.0,1529.2777777777778
TT,1,10.645833333333334,12706770.920349993,2647.2439417395817
TT,2,0.0,0.0,0.0
Td,1,45.3125,62305146.69257033,12980.238894285485
Td,2,0.14583333333333334,60000.0000000011,12.50000000000023
