trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,48,0.3453638828696549,0.12226617550269459,0.5051283406946064,0.6546361171303452,5,4,5,6,4,6,7,6,5
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,49,0.3766827630103008,0.204081632653061,0.5102040816326531,0.6233172369896993,5,4,6,6,4,6,7,6,5
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,50,0.3456283651957423,0.11999999999999988,0.5151267786149388,0.6543716348042576,5,4,6,6,4,6,7,7,5
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,48,0.3686054286082021,0.23707285857085147,0.5257479931656645,0.6313945713917979,5,4,5,6,4,6,7,6,5
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,49,0.3896748097112862,0.17167491346718688,0.5918367346938775,0.6103251902887138,5,4,6,6,4,5,7,7,5
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,48,0.3755242631088607,0.19583355362873545,0.5051283406946064,0.6244757368911391,5,4,6,6,4,5,7,6,5
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,50,0.35189192882855835,0.1399999999999999,0.5353298295059831,0.6481080711714415,5,4,6,6,4,6,7,7,5
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,50,0.37335526023174903,0.15147186257614265,0.5353298295059831,0.626644739768251,5,4,6,6,4,6,7,7,5
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,49,0.4012863328647009,0.14285714285714257,0.5714285714285715,0.598713667135299,5,4,5,6,4,6,7,6,6
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,49,0.4267501145406539,0.2857142857142858,0.5102040816326531,0.5732498854593461,6,4,5,6,4,5,7,6,6
1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json,50,0.34423526902191515,0.11999999999999988,0.5353298295059831,0.6557647309780847,5,4,6,6,4,6,7,7,5
20,MVP_DE_results_T_10_delta_5_scen_1_trial_20_inv_1_cap._1_cap.inc._1.json,49,0.39365183780809887,0.22448979591836715,0.5306122448979592,0.606348162191901,5,4,6,6,4,6,7,6,5
21,MVP_DE_results_T_10_delta_5_scen_1_trial_21_inv_1_cap._1_cap.inc._1.json,49,0.39497376358551267,0.11106576079405417,0.5353298295059831,0.6050262364144873,5,4,5,6,4,6,7,6,6
22,MVP_DE_results_T_10_delta_5_scen_1_trial_22_inv_1_cap._1_cap.inc._1.json,49,0.38533992532902556,0.22448979591836715,0.5510204081632654,0.6146600746709745,5,4,6,6,4,6,7,6,5
23,MVP_DE_results_T_10_delta_5_scen_1_trial_23_inv_1_cap._1_cap.inc._1.json,49,0.4125537416617227,0.2576925110419096,0.5151267786149388,0.5874462583382773,6,4,6,5,4,6,7,6,5
24,MVP_DE_results_T_10_delta_5_scen_1_trial_24_inv_1_cap._1_cap.inc._1.json,49,0.415320030412321,0.14285714285714257,0.5918367346938775,0.584679969587679,5,4,5,6,4,6,7,6,6
25,MVP_DE_results_T_10_delta_5_scen_1_trial_25_inv_1_cap._1_cap.inc._1.json,49,0.3405547429957975,0.15147186257614265,0.4949237277238947,0.6594452570042025,5,4,6,6,4,6,7,6,5
26,MVP_DE_results_T_10_delta_5_scen_1_trial_26_inv_1_cap._1_cap.inc._1.json,49,0.3601749620796561,0.15147186257614265,0.5102040816326531,0.6398250379203438,5,4,6,6,4,6,7,6,5
27,MVP_DE_results_T_10_delta_5_scen_1_trial_27_inv_1_cap._1_cap.inc._1.json,49,0.39074475191988783,0.14285714285714257,0.5353298295059831,0.6092552480801122,5,4,5,6,4,6,7,6,6
28,MVP_DE_results_T_10_delta_5_scen_1_trial_28_inv_1_cap._1_cap.inc._1.json,49,0.4036021947607883,0.22448979591836715,0.5306122448979592,0.5963978052392117,5,4,6,6,4,6,7,6,5
29,MVP_DE_results_T_10_delta_5_scen_1_trial_29_inv_1_cap._1_cap.inc._1.json,49,0.4146589575782435,0.204081632653061,0.5510204081632654,0.5853410424217564,6,4,5,6,4,6,7,6,5
2,MVP_DE_results_T_10_delta_5_scen_1_trial_2_inv_1_cap._1_cap.inc._1.json,50,0.3553469887647632,0.1599999999999998,0.5151267786149389,0.6446530112352368,5,4,6,6,4,6,7,7,5
