manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,15.0,1200,10818000.0,9015.0
AJ_Vaccines,2,2.5,1200,16541911.62441,13784.926353675
BB_NCIPD,1,16.63888888888889,3600,11482507.03186,3189.585286627778
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,16.25,2400,16350760.0,6812.816666666667
Bharat_Biotech,2,2.9166666666666665,2400,6426000.0,2677.5
Bilthoven,1,15.166666666666668,1200,10883922.57441,9069.935478675001
Bilthoven,2,2.3333333333333335,1200,1773800.0,1478.1666666666667
Biological_E,1,20.416666666666668,4800,31702396.61488,6604.665961433333
Biological_E,2,11.458333333333332,4800,77754141.38512,16198.779455233334
China_National,1,9.791666666666666,2400,8909233.072294658,3712.180446789441
China_National,2,2.5,2400,4412400.0,1838.5
GSK,1,12.645833333333334,4800,20795560.0,4332.408333333334
GSK,2,0.0,4800,0.0,0.0
Haffkine_Bio,1,17.5,1200,2436000.0,2030.0
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,1.6666666666666667,3600,3606000.0,1001.6666666666666
LG_Chem,2,36.583333333333336,3600,609692270.61615,169358.96406004168
Merck_Sharp,1,10.0,1200,886143.3425439392,738.4527854532827
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,25.616666666666667,6000,49813228.47965,8302.204746608333
PT_Bio,2,10.5,6000,93852328.0,15642.054666666667
Panacea_Biotec,1,18.75,2400,19250940.0,8021.225
Panacea_Biotec,2,38.75,2400,204120720.0,85050.3
Pfizer,1,10.0,1200,83.87817705937756,0.06989848088281464
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,35.0,3600,21844830.0,6068.008333333333
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,15.018518518518517,10800,15154308.870000001,1403.1767472222223
Serum_Institute,2,0.0,10800,0.0,0.0
