manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,22.5,15145200.0
AJ_Vaccines,IPV,2,2.5892857142857144,20307560.0
BB_NCIPD,DT,1,32.767857142857146,12162528.0
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,7.857142857142857,597226.0
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,32.67857142857143,8343783.0
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,33.482142857142854,13922140.0
Bharat_Biotech,OPV,2,0.0,0.0
Bharat_Biotech,Rotavirus,1,26.25,17669400.0
Bharat_Biotech,Rotavirus,2,7.5,15163680.0
Bilthoven,IPV,1,22.5,15145200.0
Bilthoven,IPV,2,2.5,1773800.0000000002
Biological_E,DTwP,1,72.5,24051664.0
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,2.5,1519560.0
Biological_E,Penta,2,87.5,200003020.0
Biological_E,TT,1,0.08928571428571429,5.820766091346741e-11
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,25.0,2783592.0000000023
Biological_E,Td,2,0.0,0.0
China_National,HPV,1,42.232142857142854,25151191.68354001
China_National,HPV,2,5.446428571428571,5481636.174409999
China_National,OPV,1,42.142857142857146,18238218.14204999
China_National,OPV,2,0.5357142857142857,441240.0
GSK,HPV,1,51.33928571428571,28520498.48118001
GSK,HPV,2,22.5,32371000.0
GSK,OPV,1,33.30357142857142,16964744.556459974
GSK,OPV,2,0.0,0.0
GSK,PCV,1,34.10714285714286,20896729.416770007
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,59.375,26523587.54559001
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,25.0,2379160.0
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,2.6785714285714284,1682800.0000000002
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,2.5,1682800.0
LG_Chem,IPV,2,87.5,362436105.27210003
LG_Chem,Penta,1,2.5,1682800.0
LG_Chem,Penta,2,87.5,593887094.7279
Merck_Sharp,HPV,1,25.0,12755680.0
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,87.5,34729800.0
PT_Bio,DT,2,0.0,0.0
PT_Bio,OPV,1,16.785714285714285,5013420.07540996
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,2.5,1682800.0
PT_Bio,Penta,2,87.5,191517443.92458996
PT_Bio,TT,1,38.30357142857143,12351228.000000075
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,66.96428571428571,25876543.999999996
PT_Bio,Td,2,0.0,0.0
Panacea_Biotec,OPV,1,27.500000000000004,11166544.46581994
Panacea_Biotec,OPV,2,26.071428571428573,36086770.00000001
Panacea_Biotec,Penta,1,2.5,1682800.0
Panacea_Biotec,Penta,2,87.5,451196035.53418005
Pfizer,PCV,1,25.0,16699480.0
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,90.0,38354169.0
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,28.482142857142854,3206553.0
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,0.0,0.0
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,0.0,0.0
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,51.87500000000001,1556659.3
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,73.03571428571428,5421522.399999999
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,89.82142857142857,13707235.5
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,2.767857142857143,95698.4
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,19.375,3.23325366480276e-10
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,0.0,0.0
Serum_Institute,Td,2,0.0,0.0
