manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,22.5,1120,15145200.0,13522.5
AJ_Vaccines,2,2.5892857142857144,1120,20307560.0,18131.75
BB_NCIPD,1,24.43452380952381,3360,21103537.0,6280.814583333334
BB_NCIPD,2,0.0,3360,0.0,0.0
Bharat_Biotech,1,29.866071428571427,2240,31591540.0,14103.36607142857
Bharat_Biotech,2,3.75,2240,15163680.0,6769.5
Bilthoven,1,22.5,1120,15145200.0,13522.5
Bilthoven,2,2.5,1120,1773800.0000000002,1583.7500000000002
Biological_E,1,25.02232142857143,4480,28354816.000000004,6329.200000000001
Biological_E,2,21.875,4480,200003020.0,44643.53125
China_National,1,42.1875,2240,43389409.82559,19370.272243566964
China_National,2,2.991071428571429,2240,5922876.174409999,2644.141149290178
GSK,1,44.53125,4480,92905560.0,20737.848214285714
GSK,2,5.625,4480,32371000.0,7225.669642857143
Haffkine_Bio,1,25.0,1120,2379160.0,2124.25
Haffkine_Bio,2,0.0,1120,0.0,0.0
LG_Chem,1,2.5595238095238093,3360,5048400.0,1502.5
LG_Chem,2,58.333333333333336,3360,956323200.0,284620.0
Merck_Sharp,1,25.0,1120,12755680.0,11389.0
Merck_Sharp,2,0.0,1120,0.0,0.0
PT_Bio,1,42.410714285714285,5600,79653792.07541004,14223.891442037508
PT_Bio,2,17.5,5600,191517443.92458996,34199.54355796249
Panacea_Biotec,1,15.0,2240,12849344.46581994,5736.314493669616
Panacea_Biotec,2,56.785714285714285,2240,487282805.53418005,217536.96675633037
Pfizer,1,25.0,1120,16699480.0,14910.25
Pfizer,2,0.0,1120,0.0,0.0
Sanofi,1,39.49404761904762,3360,41560722.0,12369.2625
Sanofi,2,0.0,3360,0.0,0.0
Serum_Institute,1,26.319444444444446,10080,20781115.6,2061.6186111111115
Serum_Institute,2,0.0,10080,0.0,0.0
