vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,60.13392857142858,46892328.0,20934.075
DT,2,0.0,0.0,0.0
DTwP,1,36.25,24051664.0,10737.35
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,51.87500000000001,1556659.3,1389.874375
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,39.523809523809526,66427370.16472002,19770.05064426191
HPV,2,9.31547619047619,37852636.17441,11265.665528098214
HepB,1,1.3392857142857142,1682800.0000000002,751.2500000000001
HepB,2,0.0,0.0,0.0
Hexa,1,90.0,38354169.0,34244.79375
Hexa,2,0.0,0.0,0.0
IPV,1,18.99553571428571,35179753.0,7852.6234375
IPV,2,23.14732142857143,384517465.27210003,85829.79135537946
OPV,1,22.276785714285715,67684227.23973987,7554.043218720967
OPV,2,3.325892857142857,36528010.00000001,4076.7868303571436
PCV,1,44.047619047619044,43017731.81677001,12802.896374038693
PCV,2,0.0,0.0,0.0
Penta,1,19.964285714285715,20275195.5,3620.570625
Penta,2,70.0,1436603594.18667,256536.3561047625
Rotavirus,1,29.464285714285715,44288685.94559001,13181.156531425599
Rotavirus,2,2.5,15163680.0,4513.0
TT,1,16.40625,12948454.000000076,2890.279910714303
TT,2,0.0,0.0,0.0
Td,1,31.160714285714285,37003919.0,8259.803348214286
Td,2,0.0,0.0,0.0
