trial,filename,total_scheduled,avg_distance,min_distance,max_distance,avg_similarity,Diphtheria,HPV,Hepatitis_B,Hib,PCV,Pertussis,Polio,Rotavirus,Tetanus
10,MVP_DE_results_T_10_delta_5_scen_1_trial_10_inv_1_cap._1_cap.inc._1.json,52,0.42683062614268524,0.23076923076923073,0.6728556719561878,0.5731693738573148,5,5,6,6,5,6,7,7,5
11,MVP_DE_results_T_10_delta_5_scen_1_trial_11_inv_1_cap._1_cap.inc._1.json,54,0.5112325131168557,0.3583763473180622,0.6824046217731128,0.4887674868831443,6,5,6,6,5,5,7,8,6
12,MVP_DE_results_T_10_delta_5_scen_1_trial_12_inv_1_cap._1_cap.inc._1.json,51,0.4268758613573898,0.18442758075035193,0.6903099478692498,0.57312413864261,5,5,5,6,5,6,7,7,5
13,MVP_DE_results_T_10_delta_5_scen_1_trial_13_inv_1_cap._1_cap.inc._1.json,46,0.6238169603614654,0.20425507180422053,0.7289312617258028,0.37618303963853456,5,4,5,6,5,5,6,6,4
14,MVP_DE_results_T_10_delta_5_scen_1_trial_14_inv_1_cap._1_cap.inc._1.json,46,0.6213388687910822,0.21739130434782616,0.7289312617258028,0.3786611312089179,5,4,5,5,5,6,6,6,4
15,MVP_DE_results_T_10_delta_5_scen_1_trial_15_inv_1_cap._1_cap.inc._1.json,48,0.4925466499970723,0.2794233078771078,0.7263006256533813,0.5074533500029277,5,4,6,6,4,5,7,6,5
16,MVP_DE_results_T_10_delta_5_scen_1_trial_16_inv_1_cap._1_cap.inc._1.json,53,0.4557543065366099,0.20754716981132082,0.6759566360458471,0.5442456934633901,5,5,5,6,6,6,7,7,6
17,MVP_DE_results_T_10_delta_5_scen_1_trial_17_inv_1_cap._1_cap.inc._1.json,50,0.49558578610675,0.30597790621143295,0.7524589008978896,0.50441421389325,6,4,6,6,4,6,6,7,5
18,MVP_DE_results_T_10_delta_5_scen_1_trial_18_inv_1_cap._1_cap.inc._1.json,49,0.5159745769410216,0.27395130484264385,0.7261792242837625,0.4840254230589784,5,4,5,6,4,6,7,6,6
19,MVP_DE_results_T_10_delta_5_scen_1_trial_19_inv_1_cap._1_cap.inc._1.json,52,0.4983405518628404,0.3528167540439926,0.6434070167123527,0.5016594481371597,6,5,6,5,5,6,7,7,5
1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json,53,0.46975610276198887,0.20754716981132082,0.6759566360458471,0.5302438972380111,5,5,6,6,6,5,7,7,6
20,MVP_DE_results_T_10_delta_5_scen_1_trial_20_inv_1_cap._1_cap.inc._1.json,50,0.46204524727611834,0.21553545944726382,0.7289312617258028,0.5379547527238816,5,4,6,6,4,6,7,7,5
21,MVP_DE_results_T_10_delta_5_scen_1_trial_21_inv_1_cap._1_cap.inc._1.json,53,0.4665477261482536,0.1809152334085813,0.6962093462929817,0.5334522738517463,6,5,5,6,6,6,7,7,5
22,MVP_DE_results_T_10_delta_5_scen_1_trial_22_inv_1_cap._1_cap.inc._1.json,50,0.4689102521889962,0.2870937690567945,0.7112020510475379,0.5310897478110038,5,4,6,6,4,6,7,7,5
23,MVP_DE_results_T_10_delta_5_scen_1_trial_23_inv_1_cap._1_cap.inc._1.json,53,0.4606727430238493,0.1132075471698113,0.6794224401196556,0.5393272569761507,6,5,6,5,6,6,7,7,5
24,MVP_DE_results_T_10_delta_5_scen_1_trial_24_inv_1_cap._1_cap.inc._1.json,53,0.46345755698909974,0.1132075471698113,0.6994585376121771,0.5365424430109003,6,5,5,6,6,6,7,7,5
25,MVP_DE_results_T_10_delta_5_scen_1_trial_25_inv_1_cap._1_cap.inc._1.json,52,0.4434235718568304,0.28846153846153844,0.6728556719561878,0.5565764281431695,5,5,6,6,5,6,7,7,5
26,MVP_DE_results_T_10_delta_5_scen_1_trial_26_inv_1_cap._1_cap.inc._1.json,52,0.4289592169679399,0.21153846153846145,0.6965824772264744,0.5710407830320602,5,5,6,6,5,6,7,7,5
27,MVP_DE_results_T_10_delta_5_scen_1_trial_27_inv_1_cap._1_cap.inc._1.json,52,0.42879301099477546,0.22326436261938276,0.6728556719561878,0.5712069890052246,5,5,6,6,5,6,7,7,5
28,MVP_DE_results_T_10_delta_5_scen_1_trial_28_inv_1_cap._1_cap.inc._1.json,51,0.4823831851694269,0.2621011444884136,0.6527718676625915,0.5176168148305731,5,5,6,6,5,5,7,7,5
29,MVP_DE_results_T_10_delta_5_scen_1_trial_29_inv_1_cap._1_cap.inc._1.json,52,0.4712740648221407,0.1809152334085813,0.6965824772264744,0.5287259351778593,5,5,5,5,6,6,7,7,6
2,MVP_DE_results_T_10_delta_5_scen_1_trial_2_inv_1_cap._1_cap.inc._1.json,46,0.6245862855643523,0.21739130434782616,0.7497827031315103,0.3754137144356479,4,4,6,5,5,5,6,6,5
30,MVP_DE_results_T_10_delta_5_scen_1_trial_30_inv_1_cap._1_cap.inc._1.json,52,0.47146761756331534,0.3653846153846153,0.6524091514534495,0.5285323824366847,5,5,6,6,5,6,7,7,5
3,MVP_DE_results_T_10_delta_5_scen_1_trial_3_inv_1_cap._1_cap.inc._1.json,51,0.4548093092117218,0.2672908181972611,0.6903099478692498,0.5451906907882782,5,5,6,6,4,6,7,7,5
4,MVP_DE_results_T_10_delta_5_scen_1_trial_4_inv_1_cap._1_cap.inc._1.json,50,0.460640607411957,0.2870937690567945,0.7080798203200953,0.539359392588043,5,4,6,5,5,6,7,7,5
5,MVP_DE_results_T_10_delta_5_scen_1_trial_5_inv_1_cap._1_cap.inc._1.json,47,0.6279881106013884,0.20425507180422053,0.7524589008978896,0.3720118893986117,5,4,5,6,5,6,6,6,4
6,MVP_DE_results_T_10_delta_5_scen_1_trial_6_inv_1_cap._1_cap.inc._1.json,51,0.47718118341268356,0.31372549019607865,0.7344726046831582,0.5228188165873164,5,4,6,6,5,6,7,7,5
