manufacturer,vaccine,discount_level,participation_rate,total_quantity
AJ_Vaccines,IPV,1,15.0,10577601.00567399
AJ_Vaccines,IPV,2,2.3333333333333335,12743322.374758316
BB_NCIPD,DT,1,20.416666666666668,3970449.0000000023
BB_NCIPD,DT,2,0.0,0.0
BB_NCIPD,TT,1,7.666666666666666,1249730.9999999998
BB_NCIPD,TT,2,0.0,0.0
BB_NCIPD,Td,1,20.916666666666668,6542361.000000002
BB_NCIPD,Td,2,0.0,0.0
Bharat_Biotech,OPV,1,17.25,7101295.024409998
Bharat_Biotech,OPV,2,0.5,571200.0
Bharat_Biotech,Rotavirus,1,15.333333333333332,10395564.975589994
Bharat_Biotech,Rotavirus,2,2.5,2213399.9999999995
Bilthoven,IPV,1,15.666666666666668,10840733.918582235
Bilthoven,IPV,2,1.5833333333333335,1193599.9999999993
Biological_E,DTwP,1,30.25,10381125.648159195
Biological_E,DTwP,2,0.0,0.0
Biological_E,Penta,1,6.25,3236450.1000000057
Biological_E,Penta,2,44.416666666666664,76299758.44747841
Biological_E,TT,1,1.5833333333333335,388520.0
Biological_E,TT,2,0.0,0.0
Biological_E,Td,1,45.416666666666664,19453909.804362435
Biological_E,Td,2,0.33333333333333337,287303.0
China_National,HPV,1,5.25,1404484.3970840864
China_National,HPV,2,0.0,0.0
China_National,OPV,1,19.25,9433102.609908026
China_National,OPV,2,1.25,1029560.0000000003
GSK,HPV,1,0.0,0.0
GSK,HPV,2,0.0,0.0
GSK,OPV,1,23.0,9698900.26958225
GSK,OPV,2,0.0,0.0
GSK,PCV,1,0.0,0.0
GSK,PCV,2,0.0,0.0
GSK,Rotavirus,1,22.333333333333332,10815129.73041776
GSK,Rotavirus,2,0.0,0.0
Haffkine_Bio,OPV,1,17.25,2436000.000000001
Haffkine_Bio,OPV,2,0.0,0.0
LG_Chem,HepB,1,0.0,0.0
LG_Chem,HepB,2,0.0,0.0
LG_Chem,IPV,1,2.833333333333333,1919825.9788886062
LG_Chem,IPV,2,52.33333333333333,199308185.82595342
LG_Chem,Penta,1,2.5,1803000.0
LG_Chem,Penta,2,54.083333333333336,388943700.00000024
Merck_Sharp,HPV,1,11.583333333333332,692686.6122915115
Merck_Sharp,HPV,2,0.0,0.0
PT_Bio,DT,1,34.0,18374284.447730076
PT_Bio,DT,2,0.4166666666666667,180300.0000000012
PT_Bio,OPV,1,15.916666666666668,5505132.471006335
PT_Bio,OPV,2,0.0,0.0
PT_Bio,Penta,1,3.75,1849639.486260051
PT_Bio,Penta,2,54.083333333333336,110328237.31999996
PT_Bio,TT,1,34.0,11782364.599070022
PT_Bio,TT,2,0.0,0.0
PT_Bio,Td,1,50.0,23275373.07303989
PT_Bio,Td,2,1.0,120100.00000010342
Panacea_Biotec,OPV,1,10.833333333333334,5294560.5338586755
Panacea_Biotec,OPV,2,47.16666666666667,95904154.90722372
Panacea_Biotec,Penta,1,3.0,1803000.0000000051
Panacea_Biotec,Penta,2,54.333333333333336,192307120.3516795
Pfizer,PCV,1,12.416666666666666,104.62637115005585
Pfizer,PCV,2,0.0,0.0
Sanofi,Hexa,1,56.49999999999999,16710800.880000003
Sanofi,Hexa,2,0.0,0.0
Sanofi,IPV,1,0.0,0.0
Sanofi,IPV,2,0.0,0.0
Sanofi,OPV,1,46.75,4745123.120000002
Sanofi,OPV,2,0.0,0.0
Serum_Institute,DTwP,1,13.750000000000002,1138742.9686999938
Serum_Institute,DTwP,2,0.0,0.0
Serum_Institute,DTwP-Hib,1,54.083333333333336,8699988.731300002
Serum_Institute,DTwP-Hib,2,0.0,0.0
Serum_Institute,HepB,1,0.0,0.0
Serum_Institute,HepB,2,0.0,0.0
Serum_Institute,OPV,1,0.0,0.0
Serum_Institute,OPV,2,0.0,0.0
Serum_Institute,PCV,1,0.0,0.0
Serum_Institute,PCV,2,0.0,0.0
Serum_Institute,Penta,1,52.416666666666664,3893468.600000003
Serum_Institute,Penta,2,0.0,0.0
Serum_Institute,Rotavirus,1,0.0,0.0
Serum_Institute,Rotavirus,2,0.0,0.0
Serum_Institute,TT,1,0.08333333333333334,3.637978807091713e-12
Serum_Institute,TT,2,0.0,0.0
Serum_Institute,Td,1,13.916666666666666,1111973.799999998
Serum_Institute,Td,2,0.0,0.0
