manufacturer,discount_level,participation_rate,opportunities,total_quantity,avg_quantity
AJ_Vaccines,1,15.0,1200,10577601.00567399,8814.667504728324
AJ_Vaccines,2,2.3333333333333335,1200,12743322.374758316,10619.435312298598
BB_NCIPD,1,16.333333333333332,3600,11762541.000000004,3267.372500000001
BB_NCIPD,2,0.0,3600,0.0,0.0
Bharat_Biotech,1,16.291666666666664,2400,17496859.999999993,7290.35833333333
Bharat_Biotech,2,1.5,2400,2784599.9999999995,1160.2499999999998
Bilthoven,1,15.666666666666668,1200,10840733.918582235,9033.944932151862
Bilthoven,2,1.5833333333333335,1200,1193599.9999999993,994.6666666666661
Biological_E,1,20.875,4800,33460005.55252164,6970.834490108675
Biological_E,2,11.1875,4800,76587061.44747841,15955.637801558003
China_National,1,12.25,2400,10837587.006992113,4515.66125291338
China_National,2,0.625,2400,1029560.0000000003,428.98333333333346
GSK,1,11.333333333333332,4800,20514030.000000007,4273.756250000001
GSK,2,0.0,4800,0.0,0.0
Haffkine_Bio,1,17.25,1200,2436000.000000001,2030.0000000000007
Haffkine_Bio,2,0.0,1200,0.0,0.0
LG_Chem,1,1.7777777777777777,3600,3722825.978888606,1034.1183274690572
LG_Chem,2,35.47222222222222,3600,588251885.8259536,163403.30161832043
Merck_Sharp,1,11.583333333333332,1200,692686.6122915115,577.2388435762596
Merck_Sharp,2,0.0,1200,0.0,0.0
PT_Bio,1,27.53333333333333,6000,60786794.07710637,10131.132346184395
PT_Bio,2,11.1,6000,110628637.32000007,18438.106220000012
Panacea_Biotec,1,6.916666666666667,2400,7097560.53385868,2957.3168891077835
Panacea_Biotec,2,50.74999999999999,2400,288211275.2589032,120088.03135787633
Pfizer,1,12.416666666666666,1200,104.62637115005585,0.08718864262504654
Pfizer,2,0.0,1200,0.0,0.0
Sanofi,1,34.416666666666664,3600,21455924.000000004,5959.97888888889
Sanofi,2,0.0,3600,0.0,0.0
Serum_Institute,1,14.916666666666668,10800,14844174.099999996,1374.4605648148145
Serum_Institute,2,0.0,10800,0.0,0.0
