vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,27.208333333333336,22344733.44773008,9310.305603220866
DT,2,0.20833333333333334,180300.0000000012,75.1250000000005
DTwP,1,22.0,11519868.61685919,4799.945257024662
DTwP,2,0.0,0.0,0.0
DTwP-Hib,1,54.083333333333336,8699988.731300002,7249.990609416668
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,5.611111111111111,2097171.009375598,582.5475026043327
HPV,2,0.0,0.0,0.0
HepB,1,0.0,0.0,0.0
HepB,2,0.0,0.0,0.0
Hexa,1,56.49999999999999,16710800.880000003,13925.667400000002
Hexa,2,0.0,0.0,0.0
IPV,1,8.375,23338160.903144833,4862.11685482184
IPV,2,14.0625,213245108.20071173,44426.064208481606
OPV,1,18.78125,44214114.02876528,4605.636877996384
OPV,2,6.114583333333334,97504914.90722372,10156.76196950247
PCV,1,4.138888888888889,104.62637115005585,0.029062880875015514
PCV,2,0.0,0.0,0.0
Penta,1,13.583333333333334,12585558.186260065,2097.593031043344
Penta,2,41.38333333333333,767878816.1191581,127979.80268652635
Rotavirus,1,12.555555555555555,21210694.706007753,5891.859640557709
Rotavirus,2,0.8333333333333334,2213399.9999999995,614.8333333333333
TT,1,10.833333333333334,13420615.599070022,2795.9615831395877
TT,2,0.0,0.0,0.0
Td,1,32.5625,50383617.677402325,10496.587016125484
Td,2,0.33333333333333337,407403.00000010344,84.87562500002154
