model,dimension,category,mean,std,variance,ci95,min,max,n
SB-1,summary,avg_sim,0.5984667318823387,0.026658596233403598,0.0007106807531356405,0.009539656145525505,0.5504406632937422,0.6429505059930819,30
SB-1,summary,avg_dist,0.40153326811766127,0.026658596233403567,0.0007106807531356389,0.009539656145525495,0.3570494940069183,0.44955933670625775,30
SB-1,summary,total_active,78.2,2.212088003071608,4.8933333333333335,0.7915855256663329,74.0,83.0,30
SB-1,summary,total_overlap,95.46666666666667,9.898596982513341,97.98222222222223,3.5421674385837494,84.0,121.0,30
SB-1,slots_per_disease,Diphtheria,7.833333333333333,0.7340905181848415,0.5388888888888891,0.2626909182261894,7.0,9.0,30
SB-1,slots_per_disease,HPV,7.466666666666667,1.2036980056845192,1.4488888888888887,0.4307377994230967,6.0,10.0,30
SB-1,slots_per_disease,Hepatitis_B,9.066666666666666,0.7272474743090478,0.5288888888888891,0.26024216642424647,8.0,10.0,30
SB-1,slots_per_disease,Hib,9.033333333333333,0.6574360974438673,0.4322222222222223,0.23526048604960478,8.0,10.0,30
SB-1,slots_per_disease,PCV,8.1,0.7,0.49,0.25049178296569596,7.0,10.0,30
SB-1,slots_per_disease,Pertussis,9.166666666666666,0.6871842709362767,0.4722222222222221,0.24590573321829975,8.0,10.0,30
SB-1,slots_per_disease,Polio,9.9,0.3,0.09,0.10735362127101256,9.0,10.0,30
SB-1,slots_per_disease,Rotavirus,10.0,0.0,0.0,0.0,10.0,10.0,30
SB-1,slots_per_disease,Tetanus,7.633333333333334,0.706320670013903,0.4988888888888889,0.2527536056818679,6.0,9.0,30
SB-1,overlap_per_disease,Diphtheria,17.866666666666667,7.419493843173461,55.04888888888889,2.655031773542177,4.0,31.0,30
SB-1,overlap_per_disease,HPV,3.9,4.117847334065053,16.956666666666667,1.4735527438435614,0.0,14.0,30
SB-1,overlap_per_disease,Hepatitis_B,15.733333333333333,6.1640535003807,37.99555555555556,2.2057782165804296,4.0,26.0,30
SB-1,overlap_per_disease,Hib,17.8,6.331929669013494,40.09333333333334,2.265851932006542,8.0,35.0,30
SB-1,overlap_per_disease,PCV,3.2666666666666666,2.803965445975079,7.862222222222224,1.0033861484807147,0.0,11.0,30
SB-1,overlap_per_disease,Pertussis,18.966666666666665,6.210117193383354,38.56555555555555,2.2222618974236,9.0,35.0,30
SB-1,overlap_per_disease,Polio,0.03333333333333333,0.17950549357115014,0.03222222222222222,0.06423521590967811,0.0,1.0,30
SB-1,overlap_per_disease,Rotavirus,0.2,0.4000000000000001,0.16000000000000006,0.14313816169468344,0.0,1.0,30
SB-1,overlap_per_disease,Tetanus,17.7,7.26246055640465,52.74333333333334,2.5988381335597732,5.0,30.0,30
SB-with ROI,summary,avg_sim,0.6027832700758202,0.030667810622597966,0.0009405146083835326,0.010974335089298392,0.5209557828283709,0.6499525556113693,30
SB-with ROI,summary,avg_dist,0.3972167299241798,0.030667810622597973,0.000940514608383533,0.010974335089298395,0.35004744438863045,0.4790442171716291,30
SB-with ROI,summary,total_active,77.16666666666667,2.5309199030304286,6.405555555555553,0.9056780557906549,73.0,83.0,30
SB-with ROI,summary,total_overlap,92.1,7.5071077431103035,56.35666666666667,2.686384004981831,81.0,112.0,30
SB-with ROI,slots_per_disease,Diphtheria,7.566666666666666,0.7608474807008886,0.578888888888889,0.27226577429389076,6.0,9.0,30
SB-with ROI,slots_per_disease,HPV,6.733333333333333,0.9285592184789413,0.8622222222222222,0.3322806488943189,6.0,9.0,30
SB-with ROI,slots_per_disease,Hepatitis_B,9.333333333333334,0.7888106377466154,0.6222222222222221,0.28227226153065343,7.0,10.0,30
SB-with ROI,slots_per_disease,Hib,9.3,0.6403124237432849,0.41,0.2291328581122024,8.0,10.0,30
SB-with ROI,slots_per_disease,PCV,7.266666666666667,1.1527744310527055,1.328888888888889,0.4125150322737971,5.0,9.0,30
SB-with ROI,slots_per_disease,Pertussis,9.333333333333334,0.5962847939999438,0.3555555555555554,0.21337777314911235,8.0,10.0,30
SB-with ROI,slots_per_disease,Polio,9.966666666666667,0.1795054935711501,0.03222222222222221,0.06423521590967808,9.0,10.0,30
SB-with ROI,slots_per_disease,Rotavirus,9.866666666666667,0.339934634239519,0.11555555555555554,0.12164404660349833,9.0,10.0,30
SB-with ROI,slots_per_disease,Tetanus,7.8,0.7916228058025278,0.6266666666666666,0.283278582945403,6.0,10.0,30
SB-with ROI,overlap_per_disease,Diphtheria,16.033333333333335,5.974854716969182,35.69888888888889,2.138074301449442,8.0,33.0,30
SB-with ROI,overlap_per_disease,HPV,1.3333333333333333,2.022100118413747,4.0888888888888895,0.7235992342808634,0.0,9.0,30
SB-with ROI,overlap_per_disease,Hepatitis_B,17.366666666666667,7.110946178642865,50.56555555555557,2.544619409801934,6.0,33.0,30
SB-with ROI,overlap_per_disease,Hib,17.233333333333334,5.942408789558509,35.31222222222222,2.1264636754393345,4.0,29.0,30
SB-with ROI,overlap_per_disease,PCV,1.3666666666666667,1.7792008193443356,3.165555555555555,0.6366788364165568,0.0,7.0,30
SB-with ROI,overlap_per_disease,Pertussis,17.6,6.656325312562981,44.306666666666665,2.381935422205135,5.0,35.0,30
SB-with ROI,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-with ROI,overlap_per_disease,Rotavirus,0.43333333333333335,0.4955356249106168,0.2455555555555555,0.17732514600982963,0.0,1.0,30
SB-with ROI,overlap_per_disease,Tetanus,20.733333333333334,5.97736471104858,35.728888888888875,2.1389724912954153,5.0,31.0,30
