model,dimension,category,mean,std,variance,min,max,n
SB-1,total,total,71374263.82546465,1557471.8512349045,2425718567389.0806,68095306.50942375,74551372.18499991,30
SB-1,vaccine,DT,1427639.7352639996,79080.57893099311,6253737964.061032,1275892.25198,1598957.25198,30
SB-1,vaccine,DTwP,931624.1678833278,217979.22394692386,47514942072.50318,486141.89366001135,1274386.0,30
SB-1,vaccine,DTwP-Hib,370138.048503993,66955.91720254986,4483094848.434711,244447.00000000003,497735.70000000007,30
SB-1,vaccine,HPV,176938.42350000003,61922.84308907681,3834438496.234427,69900.0,364264.0,30
SB-1,vaccine,HepB,72627.7965977032,33404.04943001678,1115830518.323004,60100.0,180300.0,30
SB-1,vaccine,Hexa,897395.3333333334,2427.088424887363,5890758.222222221,888314.0,898044.0,30
SB-1,vaccine,IPV,14005270.033419333,507309.44327784056,257362871238.87253,13083581.0,14846457.0,30
SB-1,vaccine,OPV,6097092.730245734,1738785.7891625818,3023376020593.7427,3330335.0,8804641.999999994,30
SB-1,vaccine,PCV,76571.0,44992.02339304157,2024282168.9999998,60100.0,278500.0,30
SB-1,vaccine,Penta,43129647.51808782,394367.5896699436,155525795782.081,42505643.6,43892202.3,30
SB-1,vaccine,Rotavirus,1105799.689853,145169.14156074927,21074079661.48486,906200.0,1342720.0,30
SB-1,vaccine,TT,794540.8878539997,115379.90701030217,13312522941.705976,516980.0,1048734.6800000006,30
SB-1,vaccine,Td,2288978.460922429,220032.1883173641,48414163895.72799,1713007.0999999952,2748094.7299999995,30
SB-1,manufacturer,AJ_Vaccines,849514.8682723333,237177.21300651948,56253030369.53991,480800.0,1098800.0,30
SB-1,manufacturer,BB_NCIPD,662230.1,60362.11733107115,3643585208.69,527877.0,774858.0,30
SB-1,manufacturer,Bharat_Biotech,930123.4239618151,86868.719101597,7546174358.352163,843360.0,1117185.269999999,30
SB-1,manufacturer,Bilthoven,575139.6318136653,30220.618628795444,913285790.3070983,540900.0,604250.0,30
SB-1,manufacturer,Biological_E,6207441.2229113495,204367.3291803046,41766005236.290985,5727097.0,6546649.999999998,30
SB-1,manufacturer,China_National,464251.3478333334,76648.76301028261,5875032871.006467,354460.0,662665.2100000001,30
SB-1,manufacturer,GSK,806942.1866666668,164119.16848427878,26935101463.97108,578810.0,1168349.6300000001,30
SB-1,manufacturer,Haffkine_Bio,80794.0,2955.7246150478904,8736308.0,73080.0,89320.0,30
SB-1,manufacturer,LG_Chem,33827755.46326437,476260.78099951014,226824331518.26334,33046600.0,34334700.0,30
SB-1,manufacturer,Merck_Sharp,52349.13533333333,27698.351828487375,767198694.01467,9800.0,127065.0,30
SB-1,manufacturer,PT_Bio,9585477.543622,71186.8137500641,5067562451.886315,9273572.61,9673041.999999998,30
SB-1,manufacturer,Panacea_Biotec,15312441.468452467,1532688.3428230137,2349133556225.5557,12564420.0,17595870.0,30
SB-1,manufacturer,Pfizer,65651.0,16653.0,277322408.99999994,60100.0,115610.0,30
SB-1,manufacturer,Sanofi,1139155.7333333334,3051.625216539905,9312416.462222222,1131368.0,1142022.0,30
SB-1,manufacturer,Serum_Institute,814996.6999999998,4.2667975672220995e-10,1.820556147965243e-19,814996.6999999996,814996.7000000009,30
SB-with ROI,total,total,67088290.209794946,821398.7355213021,674695882715.994,65517798.031307265,68557960.63756728,30
SB-with ROI,vaccine,DT,1308708.3096288717,95605.3732130824,9140387387.212774,1105203.25198,1470986.0,30
SB-with ROI,vaccine,DTwP,885214.1429473069,214796.05244220592,46137344144.75488,433299.99999999907,1325974.4800000004,30
SB-with ROI,vaccine,DTwP-Hib,407550.36000000004,51012.69904211824,2602295463.5617313,300617.8,514899.0,30
SB-with ROI,vaccine,HPV,283103.86627241905,73099.06494095274,5343473295.241626,171162.02130729012,487498.01065364503,30
SB-with ROI,vaccine,HepB,62103.333333333336,10788.280163626125,116386988.88888893,60100.0,120200.0,30
SB-with ROI,vaccine,Hexa,903929.8333333334,14400.406860185894,207371717.73888895,898044.0,953533.0,30
SB-with ROI,vaccine,IPV,14767088.128837816,306643.31523247494,94030122776.76299,14058277.148819998,15049032.0,30
SB-with ROI,vaccine,OPV,3925935.71394615,712382.5948824716,507488961491.4836,2818318.78492289,5811197.34441,30
SB-with ROI,vaccine,PCV,351470.25999999995,114002.75284132898,12996627655.401144,60657.34,504180.0,30
SB-with ROI,vaccine,Penta,40503071.594497435,209257.57962871066,43788734632.066185,40015554.8,40924560.2,30
SB-with ROI,vaccine,Rotavirus,1046616.9633006008,140061.48499346574,19617219578.57483,710525.7855900011,1215471.78,30
SB-with ROI,vaccine,TT,614459.777235732,137886.68311746587,19012737381.13645,345953.0,1038001.6623599912,30
