model,variable,category,mean,std,variance,ci95,min,max,n
UG-3-buyer,I,TOTAL,1401732.5209547733,81209.49534700005,6594982134.514421,29060.444690306333,1205932.1792616576,1550604.2133022654,30
UG-3-buyer,I,DT,9564.039020766706,3971.1186328569606,15769783.196223736,1421.0465524466242,2348.02324100001,20224.526547999998,30
UG-3-buyer,I,DTwP,4904.596838233313,3373.7661001487545,11382297.698512936,1207.2866939078347,0.0,8736.294878000004,30
UG-3-buyer,I,DTwP-Hib,6916.4403631000005,2189.4040424536793,4793490.061112512,783.4681746093206,4847.299198,10214.698396,30
UG-3-buyer,I,HPV,192801.12484294028,9239.379563006562,85366134.70930333,3306.269514620466,177576.57544999983,217165.06846275725,30
UG-3-buyer,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-buyer,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-buyer,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-3-buyer,I,OPV,15947.249023100721,3551.6545316036404,12614249.911860673,1270.9432515708424,10469.216386597474,28221.781708449194,30
UG-3-buyer,I,PCV,1121880.8981311657,79452.07448794921,6312632140.43863,28431.559712585266,932886.1744386578,1274666.2180636679,30
UG-3-buyer,I,Penta,20926.210460299983,971.5285738028906,943867.7697154786,347.6570352200083,20590.018175999994,25206.918769999982,30
UG-3-buyer,I,Rotavirus,8476.32298923332,1943.5255158209065,3777291.4306469206,695.4816738532897,5406.789999999999,10438.789999999999,30
UG-3-buyer,I,TT,55.2826999999972,15.0770999999991,227.31894440997291,5.395270944216956,50.25699999999724,100.51399999999448,30
UG-3-buyer,I,Td,3808.3590479333348,2545.8941103939605,6481576.821338655,911.0365070777822,1712.899759,9146.135924999997,30
UG-3-buyer,S,TOTAL,4895877.599895995,599929.2783228041,359915138988.92053,214681.93511486065,3732224.5662699994,6082083.17253,30
UG-3-buyer,S,Diphtheria,1452502.7008459987,444611.21600088023,197679133393.7814,159102.0803180095,584758.6359299996,2280092.695929999,30
UG-3-buyer,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
