model,dimension,category,mean,std,variance,min,max,n
UG-3-buyer,total,total,40206914.487662844,2191933.818389079,4804573864197.728,33652985.71315846,41809253.039799556,30
UG-3-buyer,vaccine,DT,937134.3696723814,57201.05514367364,3271960709.5495925,737682.0,995356.0,30
UG-3-buyer,vaccine,DTwP,314184.66255033284,243623.23009959256,59352278244.15903,0.0,761650.0,30
UG-3-buyer,vaccine,DTwP-Hib,358002.1666666667,23185.15861218599,537551579.8722223,291256.0,390075.0,30
UG-3-buyer,vaccine,HPV,70154.72109387176,35340.437561900115,1248946527.0665605,1.4898953830812467,149244.30696093713,30
UG-3-buyer,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-3-buyer,vaccine,Hexa,599240.7420866665,37431.88013707677,1401145650.5964823,491351.0,627410.0,30
UG-3-buyer,vaccine,IPV,2478501.3382546664,111315.63552376667,12391170712.060066,2049319.36441,2522560.000000002,30
UG-3-buyer,vaccine,OPV,6210565.7831987385,388322.39321058575,150794281068.79678,5152169.333767755,6721083.919999995,30
UG-3-buyer,vaccine,PCV,5.155019456824992,0.7312085919086728,0.534666004881064,4.1928857204206675,6.707025711063974,30
UG-3-buyer,vaccine,Penta,26244953.74071267,1633949.3676218083,2669790535951.7075,21512269.7,27409424.7,30
UG-3-buyer,vaccine,Rotavirus,789697.2081706586,135914.97666603123,18472880882.12781,587880.0,1066700.0,30
UG-3-buyer,vaccine,TT,728411.1272981373,69227.68532833619,4792472415.919133,564560.0,795732.5599999989,30
UG-3-buyer,vaccine,Td,1476063.4729386088,202240.7006731852,40901301008.7809,1100250.0,1820091.5050399997,30
UG-3-buyer,manufacturer,AJ_Vaccines,1071551.4656969442,47350.202922909724,2242041716.8407283,880229.0682491595,1098800.0000000005,30
UG-3-buyer,manufacturer,BB_NCIPD,502380.67910979374,44798.23391806427,2006881762.1776037,385657.99999999953,592683.1706257438,30
UG-3-buyer,manufacturer,Bharat_Biotech,932231.3333333334,79974.6851086156,6395950258.22222,749640.0,1049600.0,30
UG-3-buyer,manufacturer,Bilthoven,578130.5392243894,37273.77949760187,1389334638.0358455,480800.2961608404,604250.0000000001,30
UG-3-buyer,manufacturer,Biological_E,3803771.6333333324,219625.55942641495,48235386353.36572,3153208.9999999995,4001767.0000000005,30
UG-3-buyer,manufacturer,China_National,445021.94657532685,59758.38063036704,3571064055.5638266,310920.04794140276,538201.7313186892,30
UG-3-buyer,manufacturer,GSK,848080.5618038811,102597.47842228711,10526242578.61167,688620.2552397847,1096380.3894970727,30
UG-3-buyer,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-3-buyer,manufacturer,LG_Chem,15479569.333333334,931527.7678056026,867743982192.8888,12721880.0,16057110.000000002,30
UG-3-buyer,manufacturer,Merck_Sharp,33027.577372363456,20261.17224167655,410515100.60688436,1.4419539803031565,87280.24303906865,30
UG-3-buyer,manufacturer,PT_Bio,6765899.862959332,410028.23390863504,168123152602.2343,5577302.0,7044282.0,30
UG-3-buyer,manufacturer,Panacea_Biotec,8326559.8149999995,419944.5394500634,176353416213.92587,7048390.0,8605960.0,30
UG-3-buyer,manufacturer,Pfizer,4.973254156279718,0.6698643103387766,0.44871819426564474,4.1928857204206675,6.342974169946726,30
UG-3-buyer,manufacturer,Sanofi,745877.3,44492.63627848995,1979594683.01,604996.0,771169.0000000002,30
UG-3-buyer,manufacturer,Serum_Institute,593607.4666666667,40988.661238309374,1680070350.1088855,476931.70000000007,642323.4999999999,30
UG-3-producer,total,total,11176760.309060248,436833.40984816774,190823427959.57727,10386909.519092683,12214561.38250135,30
UG-3-producer,vaccine,DT,148300.36663716834,37570.0462314423,1411508373.8327117,84212.23814000009,239065.0,30
UG-3-producer,vaccine,DTwP,73723.728588165,46566.04855717045,2168396878.228756,5390.7,171945.5,30
UG-3-producer,vaccine,DTwP-Hib,61240.97266666666,8191.17854278611,67095405.91979957,31717.699999999997,67613.0,30
UG-3-producer,vaccine,HPV,57681.2038586472,32682.973279331938,1068176742.3775256,0.5850648536786328,134192.07499999995,30
UG-3-producer,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,vaccine,Hexa,103357.33333333333,2439.9315336477966,5953265.888888889,94577.0,104307.0,30
UG-3-producer,vaccine,IPV,2622714.839557,363881.5095886421,132409753020.50902,1943292.5744100001,3617064.64882,30
UG-3-producer,vaccine,OPV,1735156.1,75084.59582468742,5637696530.156667,1624297.0,2099357.0,30
UG-3-producer,vaccine,PCV,3.1689779353811143,0.19704573949168994,0.03882702345182694,3.099682683817898,4.226926888928287,30
UG-3-producer,vaccine,Penta,4432114.8468808355,128856.84539775105,16604086605.859915,4054545.8459300003,4595618.5,30
UG-3-producer,vaccine,Rotavirus,1262311.6233333335,30840.886456128144,951160277.3997885,1167268.6,1382160.0,30
UG-3-producer,vaccine,TT,67900.29875949834,90334.07737700883,8160245535.555418,0.0,350497.85407000023,30
UG-3-producer,vaccine,Td,612255.8264676665,108801.10522059504,11837680497.222994,301498.96219,772834.36374,30
UG-3-producer,manufacturer,AJ_Vaccines,1963856.403760873,317191.48806330067,100610440099.81102,1381426.1114981363,2821496.44882,30
UG-3-producer,manufacturer,BB_NCIPD,198725.1,5001.028543209887,25010286.490000002,183365.0,203476.0,30
UG-3-producer,manufacturer,Bharat_Biotech,935764.6666666666,22555.45798446332,508748684.8888901,853580.0,950600.0,30
UG-3-producer,manufacturer,Bilthoven,310269.81246279314,90098.36109251523,8117714671.557262,160306.23142284498,542094.71,30
UG-3-producer,manufacturer,Biological_E,676581.0666666667,16543.051703425885,273672559.662222,616445.0,688736.0,30
UG-3-producer,manufacturer,China_National,739782.7509614374,40383.49699361337,1630826829.4331803,696640.0,914340.0,30
