model,dimension,category,mean,std,variance,min,max,n
UG-2,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG-2,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG-2,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG-2,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG-2,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG-2,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-2,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG-2,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG-2,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG-2,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-2,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG-2,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG-2,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG-2,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG-2,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG-2,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG-2,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG-2,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG-2,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG-2,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG-2,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG-2,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-2,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG-2,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
UG-2,manufacturer,PT_Bio,5730673.832622,220834.8698098696,48768039723.94205,5118156.0,5881718.000000001,30
UG-2,manufacturer,Panacea_Biotec,9864818.097627334,590735.6389036133,348968595070.8602,8153650.0,10462010.0,30
UG-2,manufacturer,Pfizer,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-2,manufacturer,Sanofi,713985.5333333333,27509.071574946975,756749018.9155556,639345.0,732753.0,30
UG-2,manufacturer,Serum_Institute,496123.3900000001,20614.754703130326,424968111.47023386,444165.39999999997,525301.0,30
SB-2,total,total,71374263.82546465,1557471.8512349045,2425718567389.0806,68095306.50942375,74551372.18499991,30
SB-2,vaccine,DT,1427639.7352639996,79080.57893099311,6253737964.061032,1275892.25198,1598957.25198,30
SB-2,vaccine,DTwP,931624.1678833278,217979.22394692386,47514942072.50318,486141.89366001135,1274386.0,30
SB-2,vaccine,DTwP-Hib,370138.048503993,66955.91720254986,4483094848.434711,244447.00000000003,497735.70000000007,30
SB-2,vaccine,HPV,176938.42350000003,61922.84308907681,3834438496.234427,69900.0,364264.0,30
SB-2,vaccine,HepB,72627.7965977032,33404.04943001678,1115830518.323004,60100.0,180300.0,30
SB-2,vaccine,Hexa,897395.3333333334,2427.088424887363,5890758.222222221,888314.0,898044.0,30
SB-2,vaccine,IPV,14005270.033419333,507309.44327784056,257362871238.87253,13083581.0,14846457.0,30
SB-2,vaccine,OPV,6097092.730245734,1738785.7891625818,3023376020593.7427,3330335.0,8804641.999999994,30
SB-2,vaccine,PCV,76571.0,44992.02339304157,2024282168.9999998,60100.0,278500.0,30
SB-2,vaccine,Penta,43129647.51808782,394367.5896699436,155525795782.081,42505643.6,43892202.3,30
SB-2,vaccine,Rotavirus,1105799.689853,145169.14156074927,21074079661.48486,906200.0,1342720.0,30
SB-2,vaccine,TT,794540.8878539997,115379.90701030217,13312522941.705976,516980.0,1048734.6800000006,30
SB-2,vaccine,Td,2288978.460922429,220032.1883173641,48414163895.72799,1713007.0999999952,2748094.7299999995,30
SB-2,manufacturer,AJ_Vaccines,849514.8682723333,237177.21300651948,56253030369.53991,480800.0,1098800.0,30
SB-2,manufacturer,BB_NCIPD,662230.1,60362.11733107115,3643585208.69,527877.0,774858.0,30
SB-2,manufacturer,Bharat_Biotech,930123.4239618151,86868.719101597,7546174358.352163,843360.0,1117185.269999999,30
SB-2,manufacturer,Bilthoven,575139.6318136653,30220.618628795444,913285790.3070983,540900.0,604250.0,30
SB-2,manufacturer,Biological_E,6207441.2229113495,204367.3291803046,41766005236.290985,5727097.0,6546649.999999998,30
SB-2,manufacturer,China_National,464251.3478333334,76648.76301028261,5875032871.006467,354460.0,662665.2100000001,30
SB-2,manufacturer,GSK,806942.1866666668,164119.16848427878,26935101463.97108,578810.0,1168349.6300000001,30
SB-2,manufacturer,Haffkine_Bio,80794.0,2955.7246150478904,8736308.0,73080.0,89320.0,30
SB-2,manufacturer,LG_Chem,33827755.46326437,476260.78099951014,226824331518.26334,33046600.0,34334700.0,30
SB-2,manufacturer,Merck_Sharp,52349.13533333333,27698.351828487375,767198694.01467,9800.0,127065.0,30
SB-2,manufacturer,PT_Bio,9585477.543622,71186.8137500641,5067562451.886315,9273572.61,9673041.999999998,30
SB-2,manufacturer,Panacea_Biotec,15312441.468452467,1532688.3428230137,2349133556225.5557,12564420.0,17595870.0,30
