model,variable,category,mean,std,variance,ci95,min,max,n
SB-1,I,TOTAL,1533794.9224114446,336516.8401254369,113243583688.00885,120421.00468714678,1251968.5676209996,3285268.836110001,30
SB-1,I,DT,20725.653375573696,10578.630431270694,111907421.80140638,3785.5142829488077,6964.923834999999,60481.41613200029,30
SB-1,I,DTwP,4273.369016933362,4152.772723305052,17245521.291426454,1486.050633874273,0.0,13058.551188000001,30
SB-1,I,DTwP-Hib,7182.546135466673,3968.308615662443,15747473.269140774,1420.04100070774,0.0,15738.127594000005,30
SB-1,I,HPV,215666.93933333334,16899.019605383564,285576863.6231381,6047.236501892544,151926.97599999997,245029.70749999993,30
SB-1,I,HepB,27886.754852000005,19746.0558187339,389906720.3965549,7066.035326535443,0.0,57041.08947000018,30
SB-1,I,Hexa,5873.7390376,4604.991047044049,21205942.54335585,1647.8748827359013,0.0,9627.398396,30
SB-1,I,IPV,19102.018485726312,10251.908303641934,105101623.86628245,3668.598271114417,6824.599141999997,39338.613185789225,30
SB-1,I,OPV,8206.659338966663,8438.961954874567,71216078.87582037,3019.843752080293,0.0,26311.204138999987,30
SB-1,I,PCV,1183323.5372666668,334848.6199934186,112123598311.49683,119824.03977964887,932888.6009999998,2939778.106000001,30
SB-1,I,Penta,27188.713906544705,11641.545814755336,135525588.9570475,4165.873668021286,10962.619779999997,56218.65872600004,30
SB-1,I,Rotavirus,9361.928974533317,1574.3469817482144,2478568.4189397125,563.3728320925318,6124.998999999999,12065.609000000011,30
SB-1,I,TT,336.8117666666651,657.4118265376073,432190.3096715131,235.25180081734302,0.0,2304.78,30
SB-1,I,Td,4666.250921433338,6196.5924309947195,38397757.75586105,2217.422123359434,0.0,26817.3,30
SB-1,S,TOTAL,2926922.7326113572,508498.43927605357,258570662746.18234,181963.82955647475,2030751.815929999,3832384.4918599995,30
SB-1,S,Diphtheria,782281.4075231788,410620.8672662288,168609496634.46988,146938.79023491146,0.0,1644324.6959299997,30
SB-1,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-1,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-1,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-1,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-1,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.093222715,2510.022739305525,0.0,29781.530000000035,30
SB-1,S,Polio,3894.435146999762,20972.175097290805,439832128.3114246,7504.796475413059,0.0,116833.05440999285,30
