model,dimension,category,mean,std,variance,ci95,min,max,n
UG,summary,avg_sim,0.5154687041976707,0.06553573848537571,0.0042949330188235555,0.023451662830250488,0.3464288862198783,0.5848329423587623,30
UG,summary,avg_dist,0.48453129580232923,0.06553573848537571,0.0042949330188235555,0.023451662830250488,0.41516705764123785,0.6535711137801218,30
UG,summary,total_active,50.63333333333333,2.0893911925619757,4.365555555555555,0.7476790359109587,46.0,55.0,30
UG,summary,total_overlap,21.9,4.459820624195552,19.89,1.595926314088467,12.0,27.0,30
UG,slots_per_disease,Diphtheria,5.133333333333334,0.49888765156985887,0.24888888888888888,0.17852465334471834,4.0,6.0,30
UG,slots_per_disease,HPV,4.533333333333333,0.5617433182117573,0.31555555555555564,0.20101726478275625,4.0,6.0,30
UG,slots_per_disease,Hepatitis_B,5.8,0.39999999999999997,0.15999999999999998,0.1431381616946834,5.0,6.0,30
UG,slots_per_disease,Hib,5.7,0.45825756949558405,0.21000000000000002,0.16398536520067883,5.0,6.0,30
UG,slots_per_disease,PCV,4.866666666666666,0.7630348761506398,0.5822222222222222,0.2730485237028325,4.0,7.0,30
UG,slots_per_disease,Pertussis,5.733333333333333,0.44221663871405337,0.1955555555555556,0.1582451918408289,5.0,6.0,30
UG,slots_per_disease,Polio,6.8,0.4,0.16,0.1431381616946834,6.0,7.0,30
UG,slots_per_disease,Rotavirus,6.866666666666666,0.42687494916218993,0.18222222222222223,0.15275523874146826,6.0,8.0,30
UG,slots_per_disease,Tetanus,5.2,0.5416025603090641,0.29333333333333333,0.19380998712943334,4.0,6.0,30
UG,overlap_per_disease,Diphtheria,2.966666666666667,1.7603661235347856,3.0988888888888884,0.6299389270809129,1.0,8.0,30
UG,overlap_per_disease,HPV,1.3333333333333333,0.8299933065325822,0.6888888888888889,0.2970092902899142,0.0,3.0,30
UG,overlap_per_disease,Hepatitis_B,3.9,2.180978373727412,4.756666666666667,0.7804530877780049,1.0,9.0,30
UG,overlap_per_disease,Hib,5.433333333333334,2.5519056060564274,6.512222222222222,0.9131876931731849,1.0,12.0,30
UG,overlap_per_disease,PCV,0.6,0.5537749241945383,0.30666666666666664,0.1981658116045472,0.0,2.0,30
UG,overlap_per_disease,Pertussis,4.466666666666667,1.910206504252587,3.648888888888889,0.6835586186898569,2.0,9.0,30
UG,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Rotavirus,0.03333333333333333,0.1795054935711501,0.03222222222222221,0.06423521590967808,0.0,1.0,30
UG,overlap_per_disease,Tetanus,3.1666666666666665,1.5933891203622825,2.5388888888888888,0.5701869738824143,1.0,7.0,30
SB,summary,avg_sim,0.5984667318823387,0.026658596233403598,0.0007106807531356405,0.009539656145525505,0.5504406632937422,0.6429505059930819,30
SB,summary,avg_dist,0.40153326811766127,0.026658596233403567,0.0007106807531356389,0.009539656145525495,0.3570494940069183,0.44955933670625775,30
SB,summary,total_active,78.2,2.212088003071608,4.8933333333333335,0.7915855256663329,74.0,83.0,30
SB,summary,total_overlap,95.46666666666667,9.898596982513341,97.98222222222223,3.5421674385837494,84.0,121.0,30
SB,slots_per_disease,Diphtheria,7.833333333333333,0.7340905181848415,0.5388888888888891,0.2626909182261894,7.0,9.0,30
SB,slots_per_disease,HPV,7.466666666666667,1.2036980056845192,1.4488888888888887,0.4307377994230967,6.0,10.0,30
SB,slots_per_disease,Hepatitis_B,9.066666666666666,0.7272474743090478,0.5288888888888891,0.26024216642424647,8.0,10.0,30
SB,slots_per_disease,Hib,9.033333333333333,0.6574360974438673,0.4322222222222223,0.23526048604960478,8.0,10.0,30
SB,slots_per_disease,PCV,8.1,0.7,0.49,0.25049178296569596,7.0,10.0,30
SB,slots_per_disease,Pertussis,9.166666666666666,0.6871842709362767,0.4722222222222221,0.24590573321829975,8.0,10.0,30
SB,slots_per_disease,Polio,9.9,0.3,0.09,0.10735362127101256,9.0,10.0,30
SB,slots_per_disease,Rotavirus,10.0,0.0,0.0,0.0,10.0,10.0,30
SB,slots_per_disease,Tetanus,7.633333333333334,0.706320670013903,0.4988888888888889,0.2527536056818679,6.0,9.0,30
SB,overlap_per_disease,Diphtheria,17.866666666666667,7.419493843173461,55.04888888888889,2.655031773542177,4.0,31.0,30
SB,overlap_per_disease,HPV,3.9,4.117847334065053,16.956666666666667,1.4735527438435614,0.0,14.0,30
SB,overlap_per_disease,Hepatitis_B,15.733333333333333,6.1640535003807,37.99555555555556,2.2057782165804296,4.0,26.0,30
SB,overlap_per_disease,Hib,17.8,6.331929669013494,40.09333333333334,2.265851932006542,8.0,35.0,30
SB,overlap_per_disease,PCV,3.2666666666666666,2.803965445975079,7.862222222222224,1.0033861484807147,0.0,11.0,30
SB,overlap_per_disease,Pertussis,18.966666666666665,6.210117193383354,38.56555555555555,2.2222618974236,9.0,35.0,30
SB,overlap_per_disease,Polio,0.03333333333333333,0.17950549357115014,0.03222222222222222,0.06423521590967811,0.0,1.0,30
SB,overlap_per_disease,Rotavirus,0.2,0.4000000000000001,0.16000000000000006,0.14313816169468344,0.0,1.0,30
SB,overlap_per_disease,Tetanus,17.7,7.26246055640465,52.74333333333334,2.5988381335597732,5.0,30.0,30
MP,summary,avg_sim,0.6355754376314561,0.02989995391995573,0.000894007244415476,0.010699561097145515,0.5670367272349932,0.6794724791959899,30
MP,summary,avg_dist,0.364424562368544,0.02989995391995568,0.000894007244415473,0.010699561097145498,0.32052752080401026,0.4329632727650067,30
MP,summary,total_active,82.9,1.2476644848141936,1.5566666666666669,0.4464710019201198,81.0,85.0,30
MP,summary,total_overlap,194.6,7.9061157761992495,62.50666666666666,2.8291671958762388,184.0,211.0,30
MP,slots_per_disease,Diphtheria,7.566666666666666,0.4955356249106168,0.2455555555555555,0.17732514600982963,7.0,8.0,30
MP,slots_per_disease,HPV,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,slots_per_disease,Hepatitis_B,9.833333333333334,0.37267799624996495,0.1388888888888889,0.13336110821819525,9.0,10.0,30
MP,slots_per_disease,Hib,9.6,0.4898979485566356,0.23999999999999996,0.1753077294359835,9.0,10.0,30
