model,variable,category,mean,std,variance,ci95,min,max,n
UG,I,TOTAL,1416121.2334673798,83462.95804709113,6966065365.970495,29866.835961152767,1231504.3132827058,1590221.4658751376,30
UG,I,DT,15929.643932599995,6432.29669701349,41374440.798410654,2301.7678117132373,6469.520834999996,30960.760821999982,30
UG,I,DTwP,1322.3177380000013,2900.877027079815,8415087.526239427,1038.0655123963577,0.0,13336.565724000018,30
UG,I,DTwP-Hib,10046.401071133332,3156.827685908378,9965561.038517646,1129.6562793695166,4847.299198,16102.197594000001,30
UG,I,HPV,188037.6023950112,12595.023710162914,158634622.25956598,4507.071350934176,163254.9764333331,217165.35593319088,30
UG,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG,I,OPV,13815.15995788616,2892.6743477391856,8367564.882068323,1035.130221291886,10714.127462000004,24342.978157064983,30
UG,I,PCV,1121881.822040549,79452.13276054795,6312641400.199737,28431.580565166914,932886.6897000298,1274666.9000257167,30
UG,I,Penta,28635.384964399993,7209.98597964732,51983897.82671093,2580.0603474278964,20590.018175999998,44757.87252799999,30
UG,I,Rotavirus,10029.462966666666,1430.099565740476,2045184.767931098,511.75455720114195,6202.789999999999,14800.256999999998,30
UG,I,TT,336.81176666666397,657.4118265376065,432190.3096715121,235.2518008173427,0.0,2304.78,30
UG,I,Td,9634.629096466664,7253.782074675217,52617354.3868795,2595.732578757143,2145.5997589999997,32822.17749799993,30
UG,S,TOTAL,3101436.873708,521326.910512215,271781747624.21103,186554.43903171792,2149060.81593,3937777.15186,30
UG,S,Diphtheria,768642.8422013334,410251.9274020837,168306643937.12457,146806.76680008744,0.0,1592841.69593,30
UG,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG,S,Polio,11124.835146999987,59909.070718797346,3589096754.3898616,21438.185628813593,0.0,333745.05440999963,30
UG,S,Rotavirus,1318271.9109606666,153525.83431003595,23570181800.59261,54938.51423945275,1046938.9099999999,1688155.24,30
UG,S,Tetanus,1001526.3973989997,410328.21485260373,168369243904.12454,146834.06591365696,0.0,1858572.3059300003,30
SB,I,TOTAL,1533794.9224114446,336516.8401254369,113243583688.00885,120421.00468714678,1251968.5676209996,3285268.836110001,30
SB,I,DT,20725.653375573696,10578.630431270694,111907421.80140638,3785.5142829488077,6964.923834999999,60481.41613200029,30
SB,I,DTwP,4273.369016933362,4152.772723305052,17245521.291426454,1486.050633874273,0.0,13058.551188000001,30
SB,I,DTwP-Hib,7182.546135466673,3968.308615662443,15747473.269140774,1420.04100070774,0.0,15738.127594000005,30
SB,I,HPV,215666.93933333334,16899.019605383564,285576863.6231381,6047.236501892544,151926.97599999997,245029.70749999993,30
SB,I,HepB,27886.754852000005,19746.0558187339,389906720.3965549,7066.035326535443,0.0,57041.08947000018,30
SB,I,Hexa,5873.7390376,4604.991047044049,21205942.54335585,1647.8748827359013,0.0,9627.398396,30
SB,I,IPV,19102.018485726312,10251.908303641934,105101623.86628245,3668.598271114417,6824.599141999997,39338.613185789225,30
SB,I,OPV,8206.659338966663,8438.961954874567,71216078.87582037,3019.843752080293,0.0,26311.204138999987,30
SB,I,PCV,1183323.5372666668,334848.6199934186,112123598311.49683,119824.03977964887,932888.6009999998,2939778.106000001,30
