model,variable,category,mean,std,variance,ci95,min,max,n
UG-OLD,I,TOTAL,1416121.2334673798,83462.95804709113,6966065365.970495,29866.835961152767,1231504.3132827058,1590221.4658751376,30
UG-OLD,I,DT,15929.643932599995,6432.29669701349,41374440.798410654,2301.7678117132373,6469.520834999996,30960.760821999982,30
UG-OLD,I,DTwP,1322.3177380000013,2900.877027079815,8415087.526239427,1038.0655123963577,0.0,13336.565724000018,30
UG-OLD,I,DTwP-Hib,10046.401071133332,3156.827685908378,9965561.038517646,1129.6562793695166,4847.299198,16102.197594000001,30
UG-OLD,I,HPV,188037.6023950112,12595.023710162914,158634622.25956598,4507.071350934176,163254.9764333331,217165.35593319088,30
UG-OLD,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-OLD,I,OPV,13815.15995788616,2892.6743477391856,8367564.882068323,1035.130221291886,10714.127462000004,24342.978157064983,30
UG-OLD,I,PCV,1121881.822040549,79452.13276054795,6312641400.199737,28431.580565166914,932886.6897000298,1274666.9000257167,30
UG-OLD,I,Penta,28635.384964399993,7209.98597964732,51983897.82671093,2580.0603474278964,20590.018175999998,44757.87252799999,30
UG-OLD,I,Rotavirus,10029.462966666666,1430.099565740476,2045184.767931098,511.75455720114195,6202.789999999999,14800.256999999998,30
UG-OLD,I,TT,336.81176666666397,657.4118265376065,432190.3096715121,235.2518008173427,0.0,2304.78,30
UG-OLD,I,Td,9634.629096466664,7253.782074675217,52617354.3868795,2595.732578757143,2145.5997589999997,32822.17749799993,30
UG-OLD,S,TOTAL,3101436.873708,521326.910512215,271781747624.21103,186554.43903171792,2149060.81593,3937777.15186,30
UG-OLD,S,Diphtheria,768642.8422013334,410251.9274020837,168306643937.12457,146806.76680008744,0.0,1592841.69593,30
UG-OLD,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG-OLD,S,Polio,11124.835146999987,59909.070718797346,3589096754.3898616,21438.185628813593,0.0,333745.05440999963,30
UG-OLD,S,Rotavirus,1318271.9109606666,153525.83431003595,23570181800.59261,54938.51423945275,1046938.9099999999,1688155.24,30
UG-OLD,S,Tetanus,1001526.3973989997,410328.21485260373,168369243904.12454,146834.06591365696,0.0,1858572.3059300003,30
UG_No_W,I,TOTAL,1832003.6770402729,93706.35700723005,8780881343.566452,33532.38920280156,1604058.667917413,2006612.5071236694,30
UG_No_W,I,DT,22872.7536091837,10787.24984185705,116364759.15064494,3860.167780261706,9875.663274000002,50513.157370000044,30
UG_No_W,I,DTwP,5708.356740299999,5434.890246502208,29538031.991524834,1944.8504972417272,0.0,22197.258442000188,30
UG_No_W,I,DTwP-Hib,13318.07149436667,3089.094192306345,9542502.92894079,1105.4181599711326,7189.00457200004,18599.063968000002,30
UG_No_W,I,HPV,190213.14776571913,10083.162656157621,101670169.1505316,3608.213416677207,173308.11969874386,211456.48962217467,30
UG_No_W,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,IPV,297522.2249008285,38046.0798680709,1447504193.3276296,13614.614830011928,240598.28759300002,404046.5921580853,30
UG_No_W,I,OPV,79136.23153998729,15811.629886109753,250007639.6553191,5658.119088236166,48493.064084000034,110486.29886779869,30
UG_No_W,I,PCV,1092388.1266203215,77363.3489254286,5985087756.957613,27684.118869325524,908361.6757276691,1241156.6957276692,30
UG_No_W,I,Penta,69112.90316596662,16831.27254839003,283291735.59818774,6022.993528896845,42485.91997799879,107426.88140600004,30
UG_No_W,I,Rotavirus,19005.1923944067,5771.503567736102,33310253.432390552,2065.306027250131,12374.91,32504.333999999995,30
UG_No_W,I,TT,19292.62497342601,14989.202699397134,224676197.5636143,5363.8172991517295,1323.0114399999804,54760.933000000005,30
UG_No_W,I,Td,23434.043835766664,18599.26046236061,345932489.7467306,6655.659878657262,1956.0367589999994,78781.59615899995,30
UG_No_W,S,TOTAL,1507552.5561562846,223770.30124828484,50073147720.748146,80075.17390636253,1119447.1749567643,1937386.2205101936,30
UG_No_W,S,Diphtheria,28628.33513533274,71710.78601661336,5142436831.12051,25661.37521024711,0.0,262519.59592999995,30
UG_No_W,S,HPV,54198.865991554085,28985.935236871836,840184441.5561283,10372.483712017456,0.0,123411.88458019406,30
UG_No_W,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Polio,257192.4158085807,87787.37160674353,7706622613.620481,31414.307479493287,22639.910000000003,381988.41567399167,30
UG_No_W,S,Rotavirus,1127772.926407818,152204.63359246904,23166250487.01775,54465.72863459719,849715.82,1528770.49,30
UG_No_W,S,Tetanus,39760.01281299945,115965.59081356903,13448018252.740124,41497.75372223034,0.0,473596.6459299998,30
