model,variable,category,mean,std,variance,ci95,min,max,n
UG-1,I,TOTAL,1519539.8526658516,91928.45735327606,8450841271.353095,32896.17598244009,1332113.464797942,1711877.549894942,30
UG-1,I,DT,19482.12550296666,11259.294782885863,126771719.00792083,4029.0868930020547,7311.620834999996,58288.78439199998,30
UG-1,I,DTwP,3198.9047230333335,5697.31813186741,32459433.89570515,2038.7591099632223,0.0,20227.9,30
UG-1,I,DTwP-Hib,16790.99056813333,4205.140379042355,17683205.607452475,1504.7901588105171,9334.555571999996,26952.532792000005,30
UG-1,I,HPV,184497.07355664085,12897.538815531905,166346507.49815214,4615.324991102653,163164.80444351447,217165.86238640136,30
UG-1,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,I,IPV,16646.678872730667,35931.67103185447,1291084983.1414096,12857.983345294393,0.0,149845.28261400005,30
UG-1,I,OPV,31613.104542172456,36335.452872207024,1320265135.4283779,13002.474821178796,7196.214627615979,145770.8931380799,30
UG-1,I,PCV,1121883.2589651414,79452.14884853907,6312643956.650409,28431.5863221806,932888.0756520577,1274668.5504313165,30
UG-1,I,Penta,75571.42731176667,20456.677400146167,418475650.2536509,7320.327993595245,41899.018176,131016.86470399998,30
UG-1,I,Rotavirus,15295.144299999998,4542.278693989931,20632295.733874872,1625.4335554066154,11568.789999999999,27722.499,30
UG-1,I,TT,6369.436974033329,12179.041073502045,148329041.47004983,4358.213876162816,50.25699999999724,50980.0,30
UG-1,I,Td,28191.707349233322,18704.589383330436,349861663.9989977,6693.351348959526,1080.899759,94110.99196099995,30
UG-1,S,TOTAL,2045757.698584333,424775.9059250822,180434570254.4743,152004.1057657751,1314355.8199999998,2860750.9118600003,30
UG-1,S,Diphtheria,468100.892507,308987.1083372973,95473033118.64467,110569.6166868918,0.0,1153873.69593,30
UG-1,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Pertussis,1224.9036666666661,6596.3081178633465,43511280.785789885,2360.458544906691,0.0,36747.109999999986,30
UG-1,S,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Rotavirus,909300.8736243334,155931.22894472379,24314548160.21187,55799.27365485143,649505.4099999999,1312175.24,30
UG-1,S,Tetanus,667131.0287863334,377892.90141797374,142803044942.09442,135227.23806609746,0.0,1574454.3059300003,30
UG-2,I,TOTAL,1416121.2334673798,83462.95804709113,6966065365.970495,29866.835961152767,1231504.3132827058,1590221.4658751376,30
UG-2,I,DT,15929.643932599995,6432.29669701349,41374440.798410654,2301.7678117132373,6469.520834999996,30960.760821999982,30
UG-2,I,DTwP,1322.3177380000013,2900.877027079815,8415087.526239427,1038.0655123963577,0.0,13336.565724000018,30
UG-2,I,DTwP-Hib,10046.401071133332,3156.827685908378,9965561.038517646,1129.6562793695166,4847.299198,16102.197594000001,30
UG-2,I,HPV,188037.6023950112,12595.023710162914,158634622.25956598,4507.071350934176,163254.9764333331,217165.35593319088,30
UG-2,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-2,I,OPV,13815.15995788616,2892.6743477391856,8367564.882068323,1035.130221291886,10714.127462000004,24342.978157064983,30
UG-2,I,PCV,1121881.822040549,79452.13276054795,6312641400.199737,28431.580565166914,932886.6897000298,1274666.9000257167,30
UG-2,I,Penta,28635.384964399993,7209.98597964732,51983897.82671093,2580.0603474278964,20590.018175999998,44757.87252799999,30
UG-2,I,Rotavirus,10029.462966666666,1430.099565740476,2045184.767931098,511.75455720114195,6202.789999999999,14800.256999999998,30
UG-2,I,TT,336.81176666666397,657.4118265376065,432190.3096715121,235.2518008173427,0.0,2304.78,30
UG-2,I,Td,9634.629096466664,7253.782074675217,52617354.3868795,2595.732578757143,2145.5997589999997,32822.17749799993,30
UG-2,S,TOTAL,3101436.873708,521326.910512215,271781747624.21103,186554.43903171792,2149060.81593,3937777.15186,30
UG-2,S,Diphtheria,768642.8422013334,410251.9274020837,168306643937.12457,146806.76680008744,0.0,1592841.69593,30
UG-2,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG-2,S,Polio,11124.835146999987,59909.070718797346,3589096754.3898616,21438.185628813593,0.0,333745.05440999963,30
UG-2,S,Rotavirus,1318271.9109606666,153525.83431003595,23570181800.59261,54938.51423945275,1046938.9099999999,1688155.24,30
UG-2,S,Tetanus,1001526.3973989997,410328.21485260373,168369243904.12454,146834.06591365696,0.0,1858572.3059300003,30
UG-Penta Hexa,I,TOTAL,1392380.6689599566,80538.67281190459,6486477818.30302,28820.393929064,1215156.6168751377,1561029.0418751377,30
UG-Penta Hexa,I,DT,15567.718742533334,6207.192447156542,38529238.07603722,2221.2152904277764,6483.520834999996,31376.00584400011,30
UG-Penta Hexa,I,DTwP,1886.0246600000003,3438.4747571072357,11823108.655263664,1230.442389414757,0.0,12230.930438999992,30
UG-Penta Hexa,I,DTwP-Hib,10323.32721036667,3524.0605286303994,12419002.609450769,1261.068864422374,4847.299198,17127.19596799998,30
UG-Penta Hexa,I,HPV,194297.1318190651,9420.648800490748,88748623.82218775,3371.135878183675,176192.4328913525,211456.20123137865,30
UG-Penta Hexa,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-Penta Hexa,I,OPV,14914.988658488332,2529.046760587212,6396077.517236669,905.0077603758689,10463.199598064983,22195.02115706498,30
UG-Penta Hexa,I,PCV,1092387.642820436,77363.34658527418,5985087394.873255,27684.118031912025,908361.1842924615,1241156.2042924617,30
UG-Penta Hexa,I,Penta,28149.722797,7957.610171462176,63323559.640958294,2847.594228565026,19855.818175999993,46721.617527999995,30
UG-Penta Hexa,I,Rotavirus,8366.669941199998,1893.6345279536365,3585851.7254581917,677.6284131321578,5908.789999999999,10301.29355899999,30
UG-Penta Hexa,I,TT,373.49738753333065,695.0645766834174,483114.76576009823,248.7256644138942,0.0,2485.46,30
UG-Penta Hexa,I,Td,9661.947385333344,6877.978098856604,47306582.728351116,2461.2528531165694,2769.799759,33952.277850000144,30
UG-Penta Hexa,S,TOTAL,3567710.6845233333,574844.949595732,330446716075.7197,205705.62336151506,2451550.29034,4568538.77627,30
UG-Penta Hexa,S,Diphtheria,870627.3443370003,413478.24921067426,170964262570.32443,147961.29123188023,58858.749999999956,1661861.5959299998,30
UG-Penta Hexa,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,S,Hib,501.3545419999898,2699.876835475383,7289334.926736567,966.1385175800139,0.0,15040.636259999694,30
UG-Penta Hexa,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,S,Pertussis,3914.400666666664,12628.494044291245,159478861.82669944,4519.048556180266,0.0,53512.21999999997,30
UG-Penta Hexa,S,Polio,165234.75335199988,212559.55173131588,45181563032.21795,76063.45871366629,0.0,948843.37441,30
UG-Penta Hexa,S,Rotavirus,1419481.7263623334,188235.88248878773,35432747456.3327,67359.3454610538,1149519.74,1845360.4899999998,30
UG-Penta Hexa,S,Tetanus,1107951.1052633335,405387.51187157666,164339034781.4277,145066.0580581978,169938.10592999985,2013014.6459299996,30
UG-No Penta Hexa,I,TOTAL,1320787.7582112425,79971.41400272983,6395427057.596011,28617.40297118803,1121716.294252128,1455408.7685778048,30
UG-No Penta Hexa,I,DT,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,I,DTwP,6.063298011819522e-15,3.26518590684191e-14,1.0661439006239023e-27,1.1684317707418468e-14,0.0,1.8189894035458566e-13,30
UG-No Penta Hexa,I,DTwP-Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,I,HPV,195932.63723882826,8457.387069095696,71527396.03650707,3026.4370945268606,180197.90746234296,211456.06701715206,30
UG-No Penta Hexa,I,HepB,949.5325500000588,1007.531740759389,1015120.2086376447,360.54060305335815,387.64382999999725,4136.938980001618,30
UG-No Penta Hexa,I,IPV,6921.899141999999,1.8189894035458565e-12,3.308722450212111e-24,6.509169984141563e-13,6921.8991419999975,6921.8991419999975,30
UG-No Penta Hexa,I,OPV,16072.002238319508,2301.016352683535,5294676.255317037,823.4081268813162,12699.899598064982,21220.322761065025,30
UG-No Penta Hexa,I,PCV,1092387.6408924614,77363.34783450933,5985087588.1632805,27684.118478945078,908361.1842924615,1241156.2042924617,30
UG-No Penta Hexa,I,Rotavirus,8524.046149633334,1746.8694885965376,3051553.010189529,625.1092182956003,5908.79,10074.789999999999,30
UG-No Penta Hexa,I,TT,-4.975890607892005e-10,2.679599098577114e-09,7.180251329095282e-18,9.588822226226471e-10,-1.4927671823676014e-08,0.0,30
UG-No Penta Hexa,I,Td,2.4253192047278088e-14,1.306074362736764e-13,1.7058302409982437e-26,4.673727082967387e-14,0.0,7.275957614183426e-13,30
UG-No Penta Hexa,S,TOTAL,17437605.2243853,628365.9101948215,394843717094.96655,224857.85314223322,16207466.145399999,18595859.865399994,30
UG-No Penta Hexa,S,Diphtheria,4318409.637356662,436356.3585856792,190406871678.15387,156148.1175293505,3463745.85769,5124235.687689999,30
UG-No Penta Hexa,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,S,Hib,4214739.712353333,205431.73654896184,42202198381.522064,73512.80280841225,3840313.43802,4602656.228019999,30
UG-No Penta Hexa,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,S,Pertussis,2971640.51963,225543.77606397637,50869994921.19712,80709.8037186873,2435675.5736299995,3445323.14363,30
UG-No Penta Hexa,S,Polio,27814.21989133323,114041.01613098255,13005353360.187023,40809.05351695645,0.0,597817.3583699982,30
UG-No Penta Hexa,S,Rotavirus,1243285.8714639978,218941.63273004888,47935438542.49961,78347.2570685293,877481.6783699999,1657792.328369999,30
UG-No Penta Hexa,S,Tetanus,4661715.263689975,407251.937476679,165854140578.50885,145733.23419252492,3713455.1976899975,5556531.737689999,30
UG-3,I,TOTAL,1401732.5209547733,81209.49534700005,6594982134.514421,29060.444690306333,1205932.1792616576,1550604.2133022654,30
UG-3,I,DT,9564.039020766706,3971.1186328569606,15769783.196223736,1421.0465524466242,2348.02324100001,20224.526547999998,30
UG-3,I,DTwP,4904.596838233313,3373.7661001487545,11382297.698512936,1207.2866939078347,0.0,8736.294878000004,30
UG-3,I,DTwP-Hib,6916.4403631000005,2189.4040424536793,4793490.061112512,783.4681746093206,4847.299198,10214.698396,30
UG-3,I,HPV,192801.12484294028,9239.379563006562,85366134.70930333,3306.269514620466,177576.57544999983,217165.06846275725,30
UG-3,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-3,I,OPV,15947.249023100721,3551.6545316036404,12614249.911860673,1270.9432515708424,10469.216386597474,28221.781708449194,30
UG-3,I,PCV,1121880.8981311657,79452.07448794921,6312632140.43863,28431.559712585266,932886.1744386578,1274666.2180636679,30
UG-3,I,Penta,20926.210460299983,971.5285738028906,943867.7697154786,347.6570352200083,20590.018175999994,25206.918769999982,30
UG-3,I,Rotavirus,8476.32298923332,1943.5255158209065,3777291.4306469206,695.4816738532897,5406.789999999999,10438.789999999999,30
UG-3,I,TT,55.2826999999972,15.0770999999991,227.31894440997291,5.395270944216956,50.25699999999724,100.51399999999448,30
UG-3,I,Td,3808.3590479333348,2545.8941103939605,6481576.821338655,911.0365070777822,1712.899759,9146.135924999997,30
UG-3,S,TOTAL,4895877.599895995,599929.2783228041,359915138988.92053,214681.93511486065,3732224.5662699994,6082083.17253,30
UG-3,S,Diphtheria,1452502.7008459987,444611.21600088023,197679133393.7814,159102.0803180095,584758.6359299996,2280092.695929999,30
UG-3,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3,S,Hib,170673.76004866618,170145.5848120406,28949520031.031296,60885.815576155845,0.0,537271.0662599998,30
UG-3,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3,S,Pertussis,4827.891999999998,15122.7475426816,228697493.23968238,5411.6057075805875,0.0,75484.04999999994,30
UG-3,S,Polio,156633.05153833225,226625.972004203,51359331186.84981,81097.06256238102,0.0,983103.0544099987,30
UG-3,S,Rotavirus,1384533.042617,220810.66018581623,48757347651.69601,79016.07995396788,984177.8944099962,1823944.029999999,30
UG-3,S,Tetanus,1726707.1528459983,422410.6428656605,178430751206.18054,151157.70725015018,751023.7059299995,2654510.3059299993,30
UG-2-Prod,I,TOTAL,1414872.7214290455,84838.80570886677,7197622954.106846,30359.176723849003,1227456.3424681379,1590221.4658751376,30
UG-2-Prod,I,DT,15910.746076338452,6440.328335449516,41477829.06839393,2304.64189661606,6483.520834999996,30960.760821999993,30
UG-2-Prod,I,DTwP,1346.1691006128558,2892.837219367189,8368507.177756089,1035.1885041554476,0.0,13336.565724000047,30
UG-2-Prod,I,DTwP-Hib,10046.401071133334,3156.827685908379,9965561.03851765,1129.6562793695168,4847.299198,16102.197594000001,30
UG-2-Prod,I,HPV,187226.7696048067,13200.696059569358,174258376.45712999,4723.808417642523,163254.9963956761,217165.4701850745,30
UG-2-Prod,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,I,IPV,16451.997537999996,1.3284020375799108e-12,1.764651973446459e-24,4.753625641266504e-13,16451.997537999996,16451.997538000003,30
UG-2-Prod,I,OPV,14079.347055557502,3107.579199681776,9657048.482294828,1112.0329349077124,10714.127462000004,24342.97563984061,30
UG-2-Prod,I,PCV,1121881.736298138,79452.17057486442,6312647409.057352,28431.594096846275,932886.9832924617,1274666.9000257167,30
UG-2-Prod,I,Penta,28513.318381640813,7072.098580626915,50014578.334105216,2530.7179753862906,20590.018175999994,44601.84252800005,30
UG-2-Prod,I,Rotavirus,9751.456766666664,1250.5785243268208,1563946.6455074486,447.51377756747763,6202.79,11286.609000000011,30
UG-2-Prod,I,TT,336.8117666666646,657.4118265376077,432190.3096715135,235.25180081734314,0.0,2304.78,30
UG-2-Prod,I,Td,9327.967769484672,7126.101415075237,50781321.377937295,2550.042641509379,2145.5997589999997,32495.277497999945,30
UG-2-Prod,S,TOTAL,3112496.6826718342,532973.6178895233,284060877366.2476,190722.1597411775,2136360.81593,4088489.15186,30
UG-2-Prod,S,Diphtheria,772973.4735929039,408888.03280056,167189423367.51184,146318.70338506892,0.0,1592841.69593,30
UG-2-Prod,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG-2-Prod,S,Polio,11124.835488617839,59909.072558465756,3589096974.815515,21438.18628713048,0.0,333745.0646585352,30
UG-2-Prod,S,Rotavirus,1317200.0901330744,154343.1801081833,23821817245.907104,55230.99767699196,1034238.9099999999,1688155.2399999998,30
UG-2-Prod,S,Tetanus,1009327.3954572377,420383.5222428437,176722305773.29944,150432.31145144175,0.0,1928326.955929995,30
UG-2-Prod Penta Hexa,I,TOTAL,1392378.1262920345,80537.56594786492,6486299528.806691,28819.997842854296,1215156.6168751377,1561029.0418751377,30
UG-2-Prod Penta Hexa,I,DT,15569.118742533326,6207.631015593554,38534682.82575906,2221.372230127405,6483.520834999996,31376.005843999978,30
UG-2-Prod Penta Hexa,I,DTwP,1886.0246600000007,3438.474757107237,11823108.655263674,1230.4423894147574,0.0,12230.930438999992,30
UG-2-Prod Penta Hexa,I,DTwP-Hib,10323.327210366668,3524.060528630402,12419002.60945079,1261.0688644223749,4847.299198,17127.19596799999,30
UG-2-Prod Penta Hexa,I,HPV,194297.13248447658,9420.649209516141,88748631.52875711,3371.136024551532,176192.4328913525,211456.20123137865,30
UG-2-Prod Penta Hexa,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod Penta Hexa,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod Penta Hexa,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-2-Prod Penta Hexa,I,OPV,14914.988658488328,2529.0467605872095,6396077.517236658,905.0077603758681,10463.199598064983,22195.02115706498,30
