model,dimension,category,mean,std,variance,ci95,min,max,n
UG,summary,avg_sim,0.6169453801860668,0.022330616602328105,0.0004986564378401717,0.007990908524915056,0.571322590008825,0.6573705313570591,30
UG,summary,avg_dist,0.3830546198139332,0.022330616602328122,0.0004986564378401724,0.00799090852491506,0.3426294686429409,0.42867740999117493,30
UG,summary,total_active,49.166666666666664,0.582141639885766,0.33888888888888885,0.20831671044794234,48.0,50.0,30
UG,summary,total_overlap,23.333333333333332,2.6499475885802384,7.022222222222221,0.9482715660415864,19.0,27.0,30
UG,slots_per_disease,Diphtheria,5.2,0.4,0.16,0.1431381616946834,5.0,6.0,30
UG,slots_per_disease,HPV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG,slots_per_disease,Hepatitis_B,5.833333333333333,0.3726779962499649,0.13888888888888887,0.13336110821819522,5.0,6.0,30
UG,slots_per_disease,Hib,5.833333333333333,0.3726779962499649,0.13888888888888887,0.13336110821819522,5.0,6.0,30
UG,slots_per_disease,PCV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG,slots_per_disease,Pertussis,5.733333333333333,0.4422166387140533,0.19555555555555554,0.15824519184082889,5.0,6.0,30
UG,slots_per_disease,Polio,7.0,0.0,0.0,0.0,7.0,7.0,30
UG,slots_per_disease,Rotavirus,6.333333333333333,0.4714045207910317,0.2222222222222222,0.1686899413014786,6.0,7.0,30
UG,slots_per_disease,Tetanus,5.233333333333333,0.42295258468165065,0.17888888888888885,0.15135163863836595,5.0,6.0,30
UG,overlap_per_disease,Diphtheria,3.5,2.1563858652847827,4.65,0.7716527716531575,1.0,8.0,30
UG,overlap_per_disease,HPV,1.6,0.48989794855663565,0.24000000000000005,0.17530772943598352,1.0,2.0,30
UG,overlap_per_disease,Hepatitis_B,5.1,2.1809783737274118,4.756666666666665,0.7804530877780048,2.0,11.0,30
UG,overlap_per_disease,Hib,4.766666666666667,1.6868774571839993,2.8455555555555554,0.6036413455637992,2.0,9.0,30
UG,overlap_per_disease,PCV,0.03333333333333333,0.1795054935711501,0.03222222222222221,0.06423521590967808,0.0,1.0,30
UG,overlap_per_disease,Pertussis,4.8,1.8330302779823362,3.3600000000000003,0.6559414608027153,1.0,9.0,30
UG,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Rotavirus,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Tetanus,3.533333333333333,1.9447936194419764,3.782222222222223,0.6959354589061855,1.0,7.0,30
SB,summary,avg_sim,0.614671028633925,0.038158476802798214,0.0014560693519096893,0.014393460477921604,0.5320606450886035,0.660027915813522,27
SB,summary,avg_dist,0.3853289713660749,0.03815847680279823,0.0014560693519096903,0.014393460477921609,0.33997208418647795,0.46793935491139654,27
SB,summary,total_active,76.48148148148148,2.455083469507637,6.027434842249655,0.9260628266421131,72.0,81.0,27
SB,summary,total_overlap,92.48148148148148,6.03919525157898,36.471879286694104,2.2779975894027182,80.0,106.0,27
SB,slots_per_disease,Diphtheria,7.481481481481482,0.738886568268889,0.5459533607681756,0.27870962127255267,6.0,8.0,27
SB,slots_per_disease,HPV,7.111111111111111,0.9558139185602919,0.9135802469135803,0.360535089808304,6.0,9.0,27
SB,slots_per_disease,Hepatitis_B,9.185185185185185,0.6108304630544682,0.3731138545953361,0.23040657975216436,8.0,10.0,27
SB,slots_per_disease,Hib,9.407407407407407,0.6809176411426013,0.4636488340192045,0.25684361582763526,8.0,10.0,27
SB,slots_per_disease,PCV,7.0,1.0540925533894598,1.1111111111111112,0.3976060047074539,5.0,9.0,27
SB,slots_per_disease,Pertussis,9.25925925925926,0.6436350813697321,0.4142661179698217,0.242780553159285,8.0,10.0,27
SB,slots_per_disease,Polio,10.0,0.0,0.0,0.0,10.0,10.0,27
SB,slots_per_disease,Rotavirus,9.851851851851851,0.3552467795046459,0.1262002743484225,0.1339998582001599,9.0,10.0,27
SB,slots_per_disease,Tetanus,7.185185185185185,0.6108304630544682,0.3731138545953361,0.23040657975216436,6.0,8.0,27
SB,overlap_per_disease,Diphtheria,19.40740740740741,7.114196861358797,50.61179698216736,2.683490535676015,6.0,31.0,27
SB,overlap_per_disease,HPV,2.7777777777777777,3.269764215458258,10.691358024691356,1.2333621766545346,0.0,13.0,27
SB,overlap_per_disease,Hepatitis_B,17.0,6.638830776128736,44.074074074074076,2.5041814139921676,7.0,32.0,27
SB,overlap_per_disease,Hib,15.851851851851851,7.9521890939199595,63.23731138545954,2.99958302916071,4.0,35.0,27
