model,variable,category,mean,std,variance,ci95,min,max,n
UG,I,TOTAL,1416121.2334673798,83462.95804709113,6966065365.970495,29866.835961152767,1231504.3132827058,1590221.4658751376,30
UG,I,DT,15929.643932599995,6432.29669701349,41374440.798410654,2301.7678117132373,6469.520834999996,30960.760821999982,30
UG,I,DTwP,1322.3177380000013,2900.877027079815,8415087.526239427,1038.0655123963577,0.0,13336.565724000018,30
UG,I,DTwP-Hib,10046.401071133332,3156.827685908378,9965561.038517646,1129.6562793695166,4847.299198,16102.197594000001,30
UG,I,HPV,188037.6023950112,12595.023710162914,158634622.25956598,4507.071350934176,163254.9764333331,217165.35593319088,30
UG,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG,I,OPV,13815.15995788616,2892.6743477391856,8367564.882068323,1035.130221291886,10714.127462000004,24342.978157064983,30
UG,I,PCV,1121881.822040549,79452.13276054795,6312641400.199737,28431.580565166914,932886.6897000298,1274666.9000257167,30
UG,I,Penta,28635.384964399993,7209.98597964732,51983897.82671093,2580.0603474278964,20590.018175999998,44757.87252799999,30
UG,I,Rotavirus,10029.462966666666,1430.099565740476,2045184.767931098,511.75455720114195,6202.789999999999,14800.256999999998,30
UG,I,TT,336.81176666666397,657.4118265376065,432190.3096715121,235.2518008173427,0.0,2304.78,30
UG,I,Td,9634.629096466664,7253.782074675217,52617354.3868795,2595.732578757143,2145.5997589999997,32822.17749799993,30
UG,S,TOTAL,3101436.873708,521326.910512215,271781747624.21103,186554.43903171792,2149060.81593,3937777.15186,30
UG,S,Diphtheria,768642.8422013334,410251.9274020837,168306643937.12457,146806.76680008744,0.0,1592841.69593,30
UG,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG,S,Polio,11124.835146999987,59909.070718797346,3589096754.3898616,21438.185628813593,0.0,333745.05440999963,30
UG,S,Rotavirus,1318271.9109606666,153525.83431003595,23570181800.59261,54938.51423945275,1046938.9099999999,1688155.24,30
UG,S,Tetanus,1001526.3973989997,410328.21485260373,168369243904.12454,146834.06591365696,0.0,1858572.3059300003,30
UG _ Penta Hexa,I,TOTAL,1392380.6689599566,80538.67281190459,6486477818.30302,28820.393929064,1215156.6168751377,1561029.0418751377,30
UG _ Penta Hexa,I,DT,15567.718742533334,6207.192447156542,38529238.07603722,2221.2152904277764,6483.520834999996,31376.00584400011,30
UG _ Penta Hexa,I,DTwP,1886.0246600000003,3438.4747571072357,11823108.655263664,1230.442389414757,0.0,12230.930438999992,30
UG _ Penta Hexa,I,DTwP-Hib,10323.32721036667,3524.0605286303994,12419002.609450769,1261.068864422374,4847.299198,17127.19596799998,30
UG _ Penta Hexa,I,HPV,194297.1318190651,9420.648800490748,88748623.82218775,3371.135878183675,176192.4328913525,211456.20123137865,30
UG _ Penta Hexa,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG _ Penta Hexa,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG _ Penta Hexa,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG _ Penta Hexa,I,OPV,14914.988658488332,2529.046760587212,6396077.517236669,905.0077603758689,10463.199598064983,22195.02115706498,30
