model,dimension,category,mean,std,variance,ci95,min,max,n
UG,summary,avg_sim,0.9888496140778739,1.2161883888976234e-16,1.479114197289397e-32,4.352074256530614e-17,0.9888496140778736,0.9888496140778738,30
UG,summary,avg_dist,0.011150385922126345,2.6870487741064045e-17,7.220231114426731e-34,9.615480547738584e-18,0.011150385922126287,0.01115038592212638,30
UG,summary,total_active,69.5,0.5,0.25,0.17892270211835426,69.0,70.0,30
UG,summary,total_overlap,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,slots_per_disease,Diphtheria,10.0,0.0,0.0,0.0,10.0,10.0,30
UG,slots_per_disease,HPV,5.0,0.0,0.0,0.0,5.0,5.0,30
UG,slots_per_disease,Hepatitis_B,9.0,0.0,0.0,0.0,9.0,9.0,30
UG,slots_per_disease,Hib,3.0,0.0,0.0,0.0,3.0,3.0,30
UG,slots_per_disease,PCV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG,slots_per_disease,Pertussis,9.0,0.0,0.0,0.0,9.0,9.0,30
UG,slots_per_disease,Polio,10.0,0.0,0.0,0.0,10.0,10.0,30
UG,slots_per_disease,Rotavirus,9.5,0.5,0.25,0.17892270211835426,9.0,10.0,30
UG,slots_per_disease,Tetanus,10.0,0.0,0.0,0.0,10.0,10.0,30
UG,overlap_per_disease,Diphtheria,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Rotavirus,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Tetanus,0.0,0.0,0.0,0.0,0.0,0.0,30
SB,summary,avg_sim,0.8874758434187111,0.016170969259701982,0.00026150024679822645,0.005786707031637444,0.8425745096780614,0.9108431567741012,30
SB,summary,avg_dist,0.1125241565812889,0.01617096925970196,0.00026150024679822586,0.005786707031637436,0.089156843225899,0.15742549032193856,30
SB,summary,total_active,81.83333333333333,1.572330188676101,2.472222222222223,0.5626511319603795,77.0,84.0,30
SB,summary,total_overlap,10.066666666666666,8.358362412711129,69.86222222222221,2.991001576333524,2.0,36.0,30
SB,slots_per_disease,Diphtheria,10.0,0.0,0.0,0.0,10.0,10.0,30
SB,slots_per_disease,HPV,6.733333333333333,0.771722460186015,0.5955555555555555,0.27615733572381174,6.0,8.0,30
SB,slots_per_disease,Hepatitis_B,9.566666666666666,0.4955356249106168,0.2455555555555555,0.17732514600982963,9.0,10.0,30
SB,slots_per_disease,Hib,8.166666666666666,1.5073892072793347,2.2722222222222213,0.5394123002209251,5.0,10.0,30
SB,slots_per_disease,PCV,7.6,0.6633249580710799,0.44,0.23736778776124332,6.0,9.0,30
SB,slots_per_disease,Pertussis,9.9,0.3,0.08999999999999998,0.10735362127101256,9.0,10.0,30
SB,slots_per_disease,Polio,10.0,0.0,0.0,0.0,10.0,10.0,30
SB,slots_per_disease,Rotavirus,9.866666666666667,0.339934634239519,0.11555555555555554,0.12164404660349833,9.0,10.0,30
SB,slots_per_disease,Tetanus,10.0,0.0,0.0,0.0,10.0,10.0,30
SB,overlap_per_disease,Diphtheria,0.0,0.0,0.0,0.0,0.0,0.0,30
SB,overlap_per_disease,HPV,2.1,2.844292530665579,8.090000000000002,1.0178170104034747,0.0,12.0,30
SB,overlap_per_disease,Hepatitis_B,0.5666666666666667,0.4955356249106168,0.2455555555555555,0.17732514600982963,0.0,1.0,30
SB,overlap_per_disease,Hib,5.733333333333333,6.454627969311804,41.66222222222222,2.3097589548759476,1.0,28.0,30
SB,overlap_per_disease,PCV,0.7333333333333333,1.4590712418826193,2.1288888888888886,0.5221219383616421,0.0,7.0,30
SB,overlap_per_disease,Pertussis,0.4666666666666667,0.49888765156985887,0.2488888888888889,0.17852465334471834,0.0,1.0,30
SB,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
SB,overlap_per_disease,Rotavirus,0.4666666666666667,0.49888765156985887,0.24888888888888888,0.17852465334471834,0.0,1.0,30
SB,overlap_per_disease,Tetanus,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,summary,avg_sim,0.9524469436469016,0.023019808644170307,0.000529911590014218,0.0082375327297248,0.8710330612134525,0.9677993740957194,30
MP,summary,avg_dist,0.04755305635309804,0.023019808644170338,0.0005299115900142194,0.008237532729724812,0.032200625904280626,0.1289669387865474,30
MP,summary,total_active,87.0,1.5275252316519468,2.3333333333333335,0.5466178840022627,84.0,90.0,30
MP,summary,total_overlap,161.3,7.690470293378248,59.143333333333324,2.7519994509043375,152.0,184.0,30
MP,slots_per_disease,Diphtheria,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,slots_per_disease,HPV,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,slots_per_disease,Hepatitis_B,9.466666666666667,0.4988876515698589,0.24888888888888897,0.17852465334471834,9.0,10.0,30
MP,slots_per_disease,Hib,9.433333333333334,0.4955356249106168,0.2455555555555555,0.17732514600982963,9.0,10.0,30
MP,slots_per_disease,PCV,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,slots_per_disease,Pertussis,9.7,0.4582575694955841,0.21000000000000008,0.16398536520067883,9.0,10.0,30
MP,slots_per_disease,Polio,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,slots_per_disease,Rotavirus,8.4,0.8,0.64,0.2862763233893668,7.0,10.0,30
MP,slots_per_disease,Tetanus,10.0,0.0,0.0,0.0,10.0,10.0,30
MP,overlap_per_disease,Diphtheria,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,overlap_per_disease,HPV,66.8,1.6000000000000005,2.5600000000000014,0.5725526467787339,66.0,70.0,30
MP,overlap_per_disease,Hepatitis_B,0.6666666666666666,0.9775252199076785,0.9555555555555552,0.3498029074694406,0.0,5.0,30
MP,overlap_per_disease,Hib,50.333333333333336,4.982190504408902,24.82222222222223,1.7828539750344943,40.0,60.0,30
MP,overlap_per_disease,PCV,39.6,0.8000000000000003,0.6400000000000003,0.2862763233893669,38.0,40.0,30
MP,overlap_per_disease,Pertussis,0.7,0.45825756949558394,0.20999999999999996,0.16398536520067877,0.0,1.0,30
MP,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
MP,overlap_per_disease,Rotavirus,3.2,2.521904042583698,6.3599999999999985,0.9024517715645528,1.0,10.0,30
MP,overlap_per_disease,Tetanus,0.0,0.0,0.0,0.0,0.0,0.0,30
