model,dimension,category,mean,std,variance,min,max,n
UG,total,total,8848789.480658254,396959.763355615,157577053723.3459,8017243.914688946,9276047.674964434,30
UG,vaccine,DT,358875.0,0.0,0.0,358875.0,358875.0,30
UG,vaccine,DTwP,697202.3999999998,2.3283064365386963e-10,5.421010862427522e-20,697202.4,697202.4,30
UG,vaccine,DTwP-Hib,150829.0,0.0,0.0,150829.0,150829.0,30
UG,vaccine,HPV,57681.24540376155,32682.96087790323,1068175931.7465532,0.9613026535354373,134192.23037357838,30
UG,vaccine,HepB,916229.5080666638,75075.20633339642,5636286606.002045,772398.1233999899,1064511.903399999,30
UG,vaccine,IPV,2897710.925518333,291708.1027961159,85093617236.90932,2238863.558369995,3104007.0,30
UG,vaccine,OPV,2109188.7500264505,229100.22009562896,52486910847.86563,1871196.9999999988,2463017.6524770055,30
UG,vaccine,PCV,2.8078123639434365,0.04697732040307041,0.0022068686322527357,2.7952571468725647,2.9835854018556485,30
UG,vaccine,Rotavirus,891158.8438306825,157354.10838461143,24760315425.51604,612580.3851160207,1053900.3851160207,30
UG,vaccine,TT,0.0,0.0,0.0,0.0,0.0,30
UG,vaccine,Td,769911.0,2.1254432601278573e-11,4.517509052022935e-22,769911.0,769911.0000000001,30
UG,manufacturer,AJ_Vaccines,1045596.3571776665,110749.11554079325,12265366593.067972,683980.5583699949,1098800.0,30
UG,manufacturer,BB_NCIPD,183365.0,0.0,0.0,183365.0,183365.0,30
UG,manufacturer,Bharat_Biotech,926029.9999999998,75249.99999999977,5662562499.999965,850779.9999999994,1001280.0,30
UG,manufacturer,Bilthoven,604026.6666666666,835.6368163795134,698288.8888888888,600900.0,604250.0,30
UG,manufacturer,Biological_E,729317.0,2.1254432601278573e-11,4.517509052022935e-22,729317.0,729317.0000000001,30
UG,manufacturer,China_National,465874.12398785196,19781.151182072233,391293942.08799773,441440.0319609352,503404.0532682253,30
UG,manufacturer,GSK,819300.2775267405,0.15885534970404416,0.025235022129594165,819300.0,819300.3851160208,30
UG,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG,manufacturer,LG_Chem,2143237.609740663,241900.03654559207,58515627680.75878,1736030.0633999985,2444111.903399999,30
UG,manufacturer,Merck_Sharp,33247.450301519464,14275.558221053143,203791562.522678,0.9613026535354373,72228.05369270989,30
UG,manufacturer,PT_Bio,828010.0,0.0,0.0,828010.0,828010.0,30
UG,manufacturer,Panacea_Biotec,637800.0,2.1254432601278573e-11,4.517509052022935e-22,637800.0,637800.0000000001,30
UG,manufacturer,Pfizer,2.7952571469512986,3.1682874977191696e-11,1.0038045668203596e-21,2.7952571468725647,2.795257146973576,30
UG,manufacturer,Sanofi,115656.8,423.4299942139196,179292.95999999996,115010.0,115934.0,30
UG,manufacturer,Serum_Institute,236125.40000000005,5.820766091346741e-11,3.3881317890172014e-21,236125.4,236125.4,30
SB,total,total,9012488.585507996,292423.9522250818,85511767834.93694,8445220.973399993,9756823.3,30
SB,vaccine,DT,505491.56666666665,47871.10211229271,2291642417.4455557,386084.0,593812.0,30
SB,vaccine,DTwP,634472.3100000002,60871.485289404874,3705337721.3382344,552166.1,731529.0,30
SB,vaccine,DTwP-Hib,129678.26666666666,30443.50259517164,926806850.2622224,78015.0,208040.0,30
SB,vaccine,HPV,190432.51933333333,26463.90410055782,700338220.243521,158100.0,269692.07499999995,30
SB,vaccine,HepB,959884.1238266631,117077.56414960205,13707156027.204184,772398.1233999953,1289720.0,30
SB,vaccine,IPV,2996031.423565333,195406.40341671032,38183662496.254135,2577684.0000000005,3147064.0,30
SB,vaccine,OPV,1842726.6743949992,120409.84917333863,14498531777.946157,1530441.0,2120866.0,30
