model,variable,category,mean,std,variance,ci95,min,max,n
UG-OLD,I,TOTAL,1416121.2334673798,83462.95804709113,6966065365.970495,29866.835961152767,1231504.3132827058,1590221.4658751376,30
UG-OLD,I,DT,15929.643932599995,6432.29669701349,41374440.798410654,2301.7678117132373,6469.520834999996,30960.760821999982,30
UG-OLD,I,DTwP,1322.3177380000013,2900.877027079815,8415087.526239427,1038.0655123963577,0.0,13336.565724000018,30
UG-OLD,I,DTwP-Hib,10046.401071133332,3156.827685908378,9965561.038517646,1129.6562793695166,4847.299198,16102.197594000001,30
UG-OLD,I,HPV,188037.6023950112,12595.023710162914,158634622.25956598,4507.071350934176,163254.9764333331,217165.35593319088,30
UG-OLD,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-OLD,I,OPV,13815.15995788616,2892.6743477391856,8367564.882068323,1035.130221291886,10714.127462000004,24342.978157064983,30
UG-OLD,I,PCV,1121881.822040549,79452.13276054795,6312641400.199737,28431.580565166914,932886.6897000298,1274666.9000257167,30
UG-OLD,I,Penta,28635.384964399993,7209.98597964732,51983897.82671093,2580.0603474278964,20590.018175999998,44757.87252799999,30
UG-OLD,I,Rotavirus,10029.462966666666,1430.099565740476,2045184.767931098,511.75455720114195,6202.789999999999,14800.256999999998,30
UG-OLD,I,TT,336.81176666666397,657.4118265376065,432190.3096715121,235.2518008173427,0.0,2304.78,30
UG-OLD,I,Td,9634.629096466664,7253.782074675217,52617354.3868795,2595.732578757143,2145.5997589999997,32822.17749799993,30
UG-OLD,S,TOTAL,3101436.873708,521326.910512215,271781747624.21103,186554.43903171792,2149060.81593,3937777.15186,30
UG-OLD,S,Diphtheria,768642.8422013334,410251.9274020837,168306643937.12457,146806.76680008744,0.0,1592841.69593,30
UG-OLD,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,S,Pertussis,1870.8880000000004,7014.265684533393,49199923.09322271,2510.022739305525,0.0,29781.530000000028,30
UG-OLD,S,Polio,11124.835146999987,59909.070718797346,3589096754.3898616,21438.185628813593,0.0,333745.05440999963,30
UG-OLD,S,Rotavirus,1318271.9109606666,153525.83431003595,23570181800.59261,54938.51423945275,1046938.9099999999,1688155.24,30
UG-OLD,S,Tetanus,1001526.3973989997,410328.21485260373,168369243904.12454,146834.06591365696,0.0,1858572.3059300003,30
UG_No_W,I,TOTAL,1306241.3405860723,81496.68960296203,6641710416.241538,29163.215834925508,1107747.187032,1444809.301532,30
UG_No_W,I,DT,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,DTwP,3029.039439,0.0,0.0,0.0,3029.039439,3029.039439,30
UG_No_W,I,DTwP-Hib,4327.199198000001,1.3179830372054711e-12,1.7370792863613582e-24,4.716341727259166e-13,4327.199198,4327.199198000003,30
UG_No_W,I,HPV,187775.65695407247,12339.423678795562,152261376.72482058,4415.606054386611,166665.13349999994,211456.48962217467,30
UG_No_W,I,HepB,655.79766,0.0,0.0,0.0,655.79766,655.79766,30
UG_No_W,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,IPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,OPV,245.86355899999762,0.0,0.0,0.0,245.86355899999762,245.86355899999762,30
UG_No_W,I,PCV,1092389.2586,77363.34783450939,5985087588.163289,27684.1184789451,908362.8019999999,1241157.8220000002,30
UG_No_W,I,Penta,16393.735175999995,2.895185119102176e-12,8.38209687387068e-24,1.0360286892852212e-12,16393.735175999995,16393.735176,30
UG_No_W,I,Rotavirus,1424.7900000000002,2.2737367544323206e-13,5.169878828456423e-26,8.136462480176954e-14,1424.79,1424.79,30
UG_No_W,I,TT,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,I,Td,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,TOTAL,10045453.642608661,655157.3773761744,429231189130.427,234445.05654583895,8924388.147529999,11098911.287529998,30
UG_No_W,S,Diphtheria,1817467.0657213326,451346.4840852957,203713648696.15808,161512.26504831976,946867.2659299994,2758614.2259299997,30
UG_No_W,S,HPV,57681.15533333321,32683.05891950039,1068182340.3355339,11695.482430740778,0.0,134192.07499999984,30
UG_No_W,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Hib,125058.48075599982,155714.5016092302,24247006011.410957,55721.718773872584,0.0,464431.87626,30
UG_No_W,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,S,Polio,3993793.7304099975,355619.0609403359,126464916504.08633,127256.64661647318,3312137.5744099985,4964768.374409998,30
UG_No_W,S,Rotavirus,1890680.5183333335,151751.59572717032,23028546805.74254,54303.61111655483,1642162.3199999991,2287410.4899999998,30
UG_No_W,S,Tetanus,2160772.692054666,426532.79428989586,181930224604.7466,152632.80019288062,1162262.6059299996,3078822.14593,30
