model,dimension,category,mean,std,variance,ci95,min,max,n
UG,summary,avg_sim,0.5154687041976707,0.06553573848537571,0.0042949330188235555,0.023451662830250488,0.3464288862198783,0.5848329423587623,30
UG,summary,avg_dist,0.48453129580232923,0.06553573848537571,0.0042949330188235555,0.023451662830250488,0.41516705764123785,0.6535711137801218,30
UG,summary,total_active,50.63333333333333,2.0893911925619757,4.365555555555555,0.7476790359109587,46.0,55.0,30
UG,summary,total_overlap,21.9,4.459820624195552,19.89,1.595926314088467,12.0,27.0,30
UG,slots_per_disease,Diphtheria,5.133333333333334,0.49888765156985887,0.24888888888888888,0.17852465334471834,4.0,6.0,30
UG,slots_per_disease,HPV,4.533333333333333,0.5617433182117573,0.31555555555555564,0.20101726478275625,4.0,6.0,30
UG,slots_per_disease,Hepatitis_B,5.8,0.39999999999999997,0.15999999999999998,0.1431381616946834,5.0,6.0,30
UG,slots_per_disease,Hib,5.7,0.45825756949558405,0.21000000000000002,0.16398536520067883,5.0,6.0,30
UG,slots_per_disease,PCV,4.866666666666666,0.7630348761506398,0.5822222222222222,0.2730485237028325,4.0,7.0,30
UG,slots_per_disease,Pertussis,5.733333333333333,0.44221663871405337,0.1955555555555556,0.1582451918408289,5.0,6.0,30
UG,slots_per_disease,Polio,6.8,0.4,0.16,0.1431381616946834,6.0,7.0,30
UG,slots_per_disease,Rotavirus,6.866666666666666,0.42687494916218993,0.18222222222222223,0.15275523874146826,6.0,8.0,30
UG,slots_per_disease,Tetanus,5.2,0.5416025603090641,0.29333333333333333,0.19380998712943334,4.0,6.0,30
UG,overlap_per_disease,Diphtheria,2.966666666666667,1.7603661235347856,3.0988888888888884,0.6299389270809129,1.0,8.0,30
UG,overlap_per_disease,HPV,1.3333333333333333,0.8299933065325822,0.6888888888888889,0.2970092902899142,0.0,3.0,30
UG,overlap_per_disease,Hepatitis_B,3.9,2.180978373727412,4.756666666666667,0.7804530877780049,1.0,9.0,30
UG,overlap_per_disease,Hib,5.433333333333334,2.5519056060564274,6.512222222222222,0.9131876931731849,1.0,12.0,30
UG,overlap_per_disease,PCV,0.6,0.5537749241945383,0.30666666666666664,0.1981658116045472,0.0,2.0,30
UG,overlap_per_disease,Pertussis,4.466666666666667,1.910206504252587,3.648888888888889,0.6835586186898569,2.0,9.0,30
UG,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,overlap_per_disease,Rotavirus,0.03333333333333333,0.1795054935711501,0.03222222222222221,0.06423521590967808,0.0,1.0,30
UG,overlap_per_disease,Tetanus,3.1666666666666665,1.5933891203622825,2.5388888888888888,0.5701869738824143,1.0,7.0,30
UG _ Penta Hexa,summary,avg_sim,0.6169453801860668,0.022330616602328105,0.0004986564378401717,0.007990908524915056,0.571322590008825,0.6573705313570591,30
UG _ Penta Hexa,summary,avg_dist,0.3830546198139332,0.022330616602328122,0.0004986564378401724,0.00799090852491506,0.3426294686429409,0.42867740999117493,30
UG _ Penta Hexa,summary,total_active,49.166666666666664,0.582141639885766,0.33888888888888885,0.20831671044794234,48.0,50.0,30
UG _ Penta Hexa,summary,total_overlap,23.333333333333332,2.6499475885802384,7.022222222222221,0.9482715660415864,19.0,27.0,30
UG _ Penta Hexa,slots_per_disease,Diphtheria,5.2,0.4,0.16,0.1431381616946834,5.0,6.0,30
UG _ Penta Hexa,slots_per_disease,HPV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG _ Penta Hexa,slots_per_disease,Hepatitis_B,5.833333333333333,0.3726779962499649,0.13888888888888887,0.13336110821819522,5.0,6.0,30
UG _ Penta Hexa,slots_per_disease,Hib,5.833333333333333,0.3726779962499649,0.13888888888888887,0.13336110821819522,5.0,6.0,30
UG _ Penta Hexa,slots_per_disease,PCV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG _ Penta Hexa,slots_per_disease,Pertussis,5.733333333333333,0.4422166387140533,0.19555555555555554,0.15824519184082889,5.0,6.0,30
UG _ Penta Hexa,slots_per_disease,Polio,7.0,0.0,0.0,0.0,7.0,7.0,30
UG _ Penta Hexa,slots_per_disease,Rotavirus,6.333333333333333,0.4714045207910317,0.2222222222222222,0.1686899413014786,6.0,7.0,30
UG _ Penta Hexa,slots_per_disease,Tetanus,5.233333333333333,0.42295258468165065,0.17888888888888885,0.15135163863836595,5.0,6.0,30
UG _ Penta Hexa,overlap_per_disease,Diphtheria,3.5,2.1563858652847827,4.65,0.7716527716531575,1.0,8.0,30
UG _ Penta Hexa,overlap_per_disease,HPV,1.6,0.48989794855663565,0.24000000000000005,0.17530772943598352,1.0,2.0,30
UG _ Penta Hexa,overlap_per_disease,Hepatitis_B,5.1,2.1809783737274118,4.756666666666665,0.7804530877780048,2.0,11.0,30
UG _ Penta Hexa,overlap_per_disease,Hib,4.766666666666667,1.6868774571839993,2.8455555555555554,0.6036413455637992,2.0,9.0,30
UG _ Penta Hexa,overlap_per_disease,PCV,0.03333333333333333,0.1795054935711501,0.03222222222222221,0.06423521590967808,0.0,1.0,30
UG _ Penta Hexa,overlap_per_disease,Pertussis,4.8,1.8330302779823362,3.3600000000000003,0.6559414608027153,1.0,9.0,30
UG _ Penta Hexa,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG _ Penta Hexa,overlap_per_disease,Rotavirus,0.0,0.0,0.0,0.0,0.0,0.0,30
UG _ Penta Hexa,overlap_per_disease,Tetanus,3.533333333333333,1.9447936194419764,3.782222222222223,0.6959354589061855,1.0,7.0,30
UG No Penta Hexa,summary,avg_sim,0.9888496140778739,1.2161883888976234e-16,1.479114197289397e-32,4.352074256530614e-17,0.9888496140778736,0.9888496140778738,30
UG No Penta Hexa,summary,avg_dist,0.011150385922126345,2.6870487741064045e-17,7.220231114426731e-34,9.615480547738584e-18,0.011150385922126287,0.01115038592212638,30
UG No Penta Hexa,summary,total_active,69.5,0.5,0.25,0.17892270211835426,69.0,70.0,30
UG No Penta Hexa,summary,total_overlap,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,slots_per_disease,Diphtheria,10.0,0.0,0.0,0.0,10.0,10.0,30
