model,dimension,category,mean,std,variance,min,max,n
UG,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
UG,manufacturer,PT_Bio,5730673.832622,220834.8698098696,48768039723.94205,5118156.0,5881718.000000001,30
UG,manufacturer,Panacea_Biotec,9864818.097627334,590735.6389036133,348968595070.8602,8153650.0,10462010.0,30
UG,manufacturer,Pfizer,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG,manufacturer,Sanofi,713985.5333333333,27509.071574946975,756749018.9155556,639345.0,732753.0,30
UG,manufacturer,Serum_Institute,496123.3900000001,20614.754703130326,424968111.47023386,444165.39999999997,525301.0,30
UG _ Penta Hexa,total,total,41278775.23735551,688437.7735718164,473946568080.51953,39985378.21532077,42166352.501373425,30
UG _ Penta Hexa,vaccine,DT,644243.6781033332,39107.36116523316,1529385697.3079867,538684.4068199997,692005.0,30
UG _ Penta Hexa,vaccine,DTwP,383389.0568266667,123877.43720389843,15345619448.205797,196744.42439000003,661393.6,30
UG _ Penta Hexa,vaccine,DTwP-Hib,307777.4823333333,15986.104172434185,255555526.61191767,280213.1200000001,343266.0,30
UG _ Penta Hexa,vaccine,HPV,57681.21311771023,32682.96595494562,1068176263.6121345,0.7815364926806744,134192.08565364507,30
UG _ Penta Hexa,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
