model,variable,category,mean,std,variance,ci95,min,max,n
UG,I,TOTAL,1320787.7582112425,79971.41400272983,6395427057.596011,28617.40297118803,1121716.294252128,1455408.7685778048,30
UG,I,DT,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,DTwP,6.063298011819522e-15,3.26518590684191e-14,1.0661439006239023e-27,1.1684317707418468e-14,0.0,1.8189894035458566e-13,30
UG,I,DTwP-Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,I,HPV,195932.63723882826,8457.387069095696,71527396.03650707,3026.4370945268606,180197.90746234296,211456.06701715206,30
UG,I,HepB,949.5325500000588,1007.531740759389,1015120.2086376447,360.54060305335815,387.64382999999725,4136.938980001618,30
UG,I,IPV,6921.899141999999,1.8189894035458565e-12,3.308722450212111e-24,6.509169984141563e-13,6921.8991419999975,6921.8991419999975,30
UG,I,OPV,16072.002238319508,2301.016352683535,5294676.255317037,823.4081268813162,12699.899598064982,21220.322761065025,30
UG,I,PCV,1092387.6408924614,77363.34783450933,5985087588.1632805,27684.118478945078,908361.1842924615,1241156.2042924617,30
UG,I,Rotavirus,8524.046149633334,1746.8694885965376,3051553.010189529,625.1092182956003,5908.79,10074.789999999999,30
UG,I,TT,-4.975890607892005e-10,2.679599098577114e-09,7.180251329095282e-18,9.588822226226471e-10,-1.4927671823676014e-08,0.0,30
UG,I,Td,2.4253192047278088e-14,1.306074362736764e-13,1.7058302409982437e-26,4.673727082967387e-14,0.0,7.275957614183426e-13,30
UG,S,TOTAL,17437605.2243853,628365.9101948215,394843717094.96655,224857.85314223322,16207466.145399999,18595859.865399994,30
UG,S,Diphtheria,4318409.637356662,436356.3585856792,190406871678.15387,156148.1175293505,3463745.85769,5124235.687689999,30
UG,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Hib,4214739.712353333,205431.73654896184,42202198381.522064,73512.80280841225,3840313.43802,4602656.228019999,30
UG,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG,S,Pertussis,2971640.51963,225543.77606397637,50869994921.19712,80709.8037186873,2435675.5736299995,3445323.14363,30
UG,S,Polio,27814.21989133323,114041.01613098255,13005353360.187023,40809.05351695645,0.0,597817.3583699982,30
UG,S,Rotavirus,1243285.8714639978,218941.63273004888,47935438542.49961,78347.2570685293,877481.6783699999,1657792.328369999,30
UG,S,Tetanus,4661715.263689975,407251.937476679,165854140578.50885,145733.23419252492,3713455.1976899975,5556531.737689999,30
SB,I,TOTAL,1285341.1175729332,96647.96069771254,9340828307.026588,34585.02856452646,1097852.5219929998,1470298.2688230001,30
SB,I,DT,0.0,0.0,0.0,0.0,0.0,0.0,30
