model,variable,category,mean,std,variance,ci95,min,max,n
UG-1,I,TOTAL,1392380.6689599566,80538.67281190459,6486477818.30302,28820.393929064,1215156.6168751377,1561029.0418751377,30
UG-1,I,DT,15567.718742533334,6207.192447156542,38529238.07603722,2221.2152904277764,6483.520834999996,31376.00584400011,30
UG-1,I,DTwP,1886.0246600000003,3438.4747571072357,11823108.655263664,1230.442389414757,0.0,12230.930438999992,30
UG-1,I,DTwP-Hib,10323.32721036667,3524.0605286303994,12419002.609450769,1261.068864422374,4847.299198,17127.19596799998,30
UG-1,I,HPV,194297.1318190651,9420.648800490748,88748623.82218775,3371.135878183675,176192.4328913525,211456.20123137865,30
UG-1,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-1,I,OPV,14914.988658488332,2529.046760587212,6396077.517236669,905.0077603758689,10463.199598064983,22195.02115706498,30
UG-1,I,PCV,1092387.642820436,77363.34658527418,5985087394.873255,27684.118031912025,908361.1842924615,1241156.2042924617,30
UG-1,I,Penta,28149.722797,7957.610171462176,63323559.640958294,2847.594228565026,19855.818175999993,46721.617527999995,30
UG-1,I,Rotavirus,8366.669941199998,1893.6345279536365,3585851.7254581917,677.6284131321578,5908.789999999999,10301.29355899999,30
UG-1,I,TT,373.49738753333065,695.0645766834174,483114.76576009823,248.7256644138942,0.0,2485.46,30
UG-1,I,Td,9661.947385333344,6877.978098856604,47306582.728351116,2461.2528531165694,2769.799759,33952.277850000144,30
UG-1,S,TOTAL,3567710.6845233333,574844.949595732,330446716075.7197,205705.62336151506,2451550.29034,4568538.77627,30
UG-1,S,Diphtheria,870627.3443370003,413478.24921067426,170964262570.32443,147961.29123188023,58858.749999999956,1661861.5959299998,30
UG-1,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Hib,501.3545419999898,2699.876835475383,7289334.926736567,966.1385175800139,0.0,15040.636259999694,30
UG-1,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-1,S,Pertussis,3914.400666666664,12628.494044291245,159478861.82669944,4519.048556180266,0.0,53512.21999999997,30
UG-1,S,Polio,165234.75335199988,212559.55173131588,45181563032.21795,76063.45871366629,0.0,948843.37441,30
UG-1,S,Rotavirus,1419481.7263623334,188235.88248878773,35432747456.3327,67359.3454610538,1149519.74,1845360.4899999998,30
UG-1,S,Tetanus,1107951.1052633335,405387.51187157666,164339034781.4277,145066.0580581978,169938.10592999985,2013014.6459299996,30
UG-2,I,TOTAL,1392378.1262920345,80537.56594786492,6486299528.806691,28819.997842854296,1215156.6168751377,1561029.0418751377,30
UG-2,I,DT,15569.118742533326,6207.631015593554,38534682.82575906,2221.372230127405,6483.520834999996,31376.005843999978,30
UG-2,I,DTwP,1886.0246600000007,3438.474757107237,11823108.655263674,1230.4423894147574,0.0,12230.930438999992,30
UG-2,I,DTwP-Hib,10323.327210366668,3524.060528630402,12419002.60945079,1261.0688644223749,4847.299198,17127.19596799999,30
UG-2,I,HPV,194297.13248447658,9420.649209516141,88748631.52875711,3371.136024551532,176192.4328913525,211456.20123137865,30
UG-2,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,I,IPV,16451.997537999996,0.0,0.0,0.0,16451.997537999996,16451.997537999996,30
UG-2,I,OPV,14914.988658488328,2529.0467605872095,6396077.517236658,905.0077603758681,10463.199598064983,22195.02115706498,30
UG-2,I,PCV,1092387.642820436,77363.34658527416,5985087394.873251,27684.118031912018,908361.1842924615,1241156.2042924617,30
