model,dimension,category,mean,std,variance,min,max,n
UG-buyer,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG-buyer,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG-buyer,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG-buyer,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG-buyer,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG-buyer,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-buyer,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG-buyer,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG-buyer,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG-buyer,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-buyer,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG-buyer,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG-buyer,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG-buyer,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG-buyer,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG-buyer,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG-buyer,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG-buyer,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG-buyer,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG-buyer,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG-buyer,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG-buyer,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-buyer,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG-buyer,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
UG-buyer,manufacturer,PT_Bio,5730673.832622,220834.8698098696,48768039723.94205,5118156.0,5881718.000000001,30
UG-buyer,manufacturer,Panacea_Biotec,9864818.097627334,590735.6389036133,348968595070.8602,8153650.0,10462010.0,30
UG-buyer,manufacturer,Pfizer,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-buyer,manufacturer,Sanofi,713985.5333333333,27509.071574946975,756749018.9155556,639345.0,732753.0,30
UG-buyer,manufacturer,Serum_Institute,496123.3900000001,20614.754703130326,424968111.47023386,444165.39999999997,525301.0,30
UG-prod,total,total,43598512.35464599,1764357.5659266992,3112957620442.7866,38609228.95624441,46025726.17418594,30
UG-prod,vaccine,DT,750834.4482576693,79868.96402527913,6379051414.471333,542558.0,847672.0,30
UG-prod,vaccine,DTwP,383995.620561973,97759.88132188711,9556994396.069452,146090.0,574674.8,30
UG-prod,vaccine,DTwP-Hib,289999.62437666673,22181.04193833278,491998621.4700776,239246.0,340665.5,30
UG-prod,vaccine,HPV,69905.70031251994,35000.489588995835,1225034271.469406,0.7815364926806744,149244.285653645,30
UG-prod,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-prod,vaccine,Hexa,557026.6960000001,21948.696518577868,481745278.86463225,501326.0,567490.0000000021,30
UG-prod,vaccine,IPV,7886108.970128551,460455.83613309276,212019577029.02557,6510674.180754556,8848010.0,30
UG-prod,vaccine,OPV,4723967.631199634,758379.69323458,575139759110.5757,2821684.91,5744003.326238503,30
UG-prod,vaccine,PCV,3.4875457050018612,0.471354870900661,0.22217541432177884,2.7952571468725647,4.232464787630359,30
UG-prod,vaccine,Penta,26015479.143513937,1127613.455240907,1271512104440.3367,23111438.0,27011837.5,30
UG-prod,vaccine,Rotavirus,780803.1568669251,95035.72047596094,9031788166.384983,536750.0,998300.0,30
UG-prod,vaccine,TT,447353.8533023341,105588.15042201117,11148857509.541256,243675.0,897067.3399999999,30
UG-prod,vaccine,Td,1693034.022580081,118384.05387472306,14014784211.813334,1359514.3599999999,1944557.57374,30
UG-prod,manufacturer,AJ_Vaccines,777364.1126810766,176171.72281971798,31036475921.267544,300501.00567399675,918500.0,30
UG-prod,manufacturer,BB_NCIPD,392084.7000000001,29617.353243382982,877187613.1433284,327551.0,447174.0,30
UG-prod,manufacturer,Bharat_Biotech,676048.6666666664,65096.67389011187,4237576951.5555725,603640.0,888340.0,30
UG-prod,manufacturer,Bilthoven,401144.46395274106,36446.837538376356,1328371966.5487998,300500.1974405602,423950.00000000035,30
UG-prod,manufacturer,Biological_E,3668235.5666666683,155822.08783175083,24280523056.245872,3262783.0,3832601.0,30
UG-prod,manufacturer,China_National,395571.5668997371,56227.186099283535,3161496456.6434636,283940.01065364503,518100.01065364503,30
UG-prod,manufacturer,GSK,683801.0000000002,90572.26817482983,8203335762.333293,607869.9999999999,1015750.0,30
UG-prod,manufacturer,Haffkine_Bio,81200.00000000003,1.6195612656922912e-10,2.6229786933308166e-20,81200.0,81200.0000000009,30
UG-prod,manufacturer,LG_Chem,19732490.39349474,775728.7478068002,601755090173.9062,17578872.97764,20747660.0,30
UG-prod,manufacturer,Merck_Sharp,23089.553743050383,12054.743959586325,145316851.93118298,0.7708828476188766,49000.19962342987,30
UG-prod,manufacturer,PT_Bio,5713847.7132368805,246099.16974151976,60564801347.465355,5067504.0,5881718.000000004,30
UG-prod,manufacturer,Panacea_Biotec,9843627.859758731,573420.6919979666,328811290011.4269,8585070.0,10462010.0,30
UG-prod,manufacturer,Pfizer,3.4875457050018612,0.471354870900661,0.22217541432177884,2.7952571468725647,4.232464787630359,30
UG-prod,manufacturer,Sanofi,715197.4666666668,30505.539430004505,930587935.9155596,636573.0,732753.0000000038,30
UG-prod,manufacturer,Serum_Institute,494805.80333333334,22965.22082926681,527401367.73699015,439484.5,528421.6000000001,30
