model,dimension,category,mean,std,variance,min,max,n
UG-buyer,total,total,8848789.312603133,396959.8089577427,157577089927.76758,8017243.6529855775,9276047.674964435,30
UG-buyer,vaccine,DT,358875.0,4.7526356119646576e-11,2.2587545260114674e-21,358874.99999999977,358875.0000000001,30
UG-buyer,vaccine,DTwP,697202.3999999998,2.3379875861406433e-10,5.466185952947751e-20,697202.3999999994,697202.4,30
UG-buyer,vaccine,DTwP-Hib,150829.0,0.0,0.0,150829.0,150829.0,30
UG-buyer,vaccine,HPV,57681.27399262671,32682.94995385051,1068175217.6858971,0.9719562985972351,134192.23037357838,30
UG-buyer,vaccine,HepB,916229.5080666635,75075.20633339637,5636286606.00204,772398.1233999894,1064511.9033999983,30
UG-buyer,vaccine,IPV,2897710.9255183325,291708.1027961165,85093617236.90968,2238863.5583699998,3104007.0,30
UG-buyer,vaccine,OPV,2109188.6304056686,229100.17886098492,52486891954.13528,1871196.9999999977,2463017.3262385027,30
UG-buyer,vaccine,PCV,2.807812363947805,0.046977320405969594,0.002206868632525127,2.7952571468725647,2.9835854018556485,30
UG-buyer,vaccine,Rotavirus,891158.7668074765,157353.996269334,24760280141.929573,612580.3851160198,1053900.3851160207,30
UG-buyer,vaccine,TT,7.761021455128988e-12,4.179437960757644e-11,1.746770166782201e-21,0.0,2.3283064365386963e-10,30
UG-buyer,vaccine,Td,769911.0,5.206251464550825e-11,2.7105054312137612e-21,769910.9999999999,769911.0000000002,30
UG-buyer,manufacturer,AJ_Vaccines,1052159.9104879436,103071.88395910306,10623813262.878805,687230.55837,1098800.0,30
UG-buyer,manufacturer,BB_NCIPD,183365.0,0.0,0.0,183365.0,183365.0,30
UG-buyer,manufacturer,Bharat_Biotech,926029.9999999998,75250.00000000004,5662562500.000006,850779.9999999967,1001280.0,30
UG-buyer,manufacturer,Bilthoven,597339.9133563892,18881.294901684236,356503297.16436714,540900.1974405572,604250.0,30
UG-buyer,manufacturer,Biological_E,729317.0,1.2752659560767144e-10,1.6263032587282566e-20,729316.9999999993,729317.0,30
UG-buyer,manufacturer,China_National,465558.6300158032,18924.23365562321,358126619.4526223,441440.0319609352,503404.05326822493,30
UG-buyer,manufacturer,GSK,819300.225186065,0.15789431952628674,0.024930616138669134,819300.0,819300.3851160207,30
UG-buyer,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-buyer,manufacturer,LG_Chem,2143237.6097406633,241900.03654559157,58515627680.75854,1736030.0633999994,2444111.903399999,30
UG-buyer,manufacturer,Merck_Sharp,33562.82855912037,14849.939392937184,220520699.9739076,0.9613026535354373,72228.0536927103,30
UG-buyer,manufacturer,PT_Bio,828010.0,2.1254432601278573e-11,4.517509052022935e-22,828009.9999999999,828010.0,30
UG-buyer,manufacturer,Panacea_Biotec,637799.9999999999,6.269156941136466e-10,3.9302328752599536e-19,637799.9999999965,637800.0,30
UG-buyer,manufacturer,Pfizer,2.795257146955667,2.9596919056046177e-11,8.759776176101492e-22,2.7952571468725647,2.7952571469735767,30
UG-buyer,manufacturer,Sanofi,115780.0,344.3544685349676,118580.0,115010.0,115934.0,30
UG-buyer,manufacturer,Serum_Institute,236125.40000000005,5.820766091346741e-11,3.3881317890172014e-21,236125.4,236125.4,30
UG-prod,total,total,41283582.84964986,683701.8084496639,467448162877.34094,39985378.21532077,42166352.501373425,30
UG-prod,vaccine,DT,645393.3114366666,38028.00125258338,1446128879.2664833,538684.4068199998,692005.0,30
UG-prod,vaccine,DTwP,384469.22349333327,123832.35595923007,15334452382.413465,196744.42439000003,661393.6,30
UG-prod,vaccine,DTwP-Hib,307777.4823333333,15986.104172434185,255555526.61191767,280213.1200000001,343266.0,30
UG-prod,vaccine,HPV,57681.21382795322,32682.966314284273,1068176287.1006404,0.7815364926806744,134192.08565364507,30
UG-prod,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-prod,vaccine,Hexa,566400.8,1333.9921139197188,1779534.9600000002,564767.0,567490.0,30
UG-prod,vaccine,IPV,8535096.827165667,335426.0769090836,112510653070.61847,7683922.57441,8848010.0,30
UG-prod,vaccine,OPV,3187480.274695667,424450.11840018054,180157903009.92728,2670523.0,3975034.34441,30
UG-prod,vaccine,PCV,2.795939235312584,0.003673158118593883,1.3492090564192155e-05,2.7952571469735754,2.8157197971438777,30
UG-prod,vaccine,Penta,25032606.485254664,151310.47159431595,22894858814.09429,24668324.5,25250658.0,30
UG-prod,vaccine,Rotavirus,648615.4586376667,90383.7219975559,8169217202.131471,517530.0,786740.0,30
UG-prod,vaccine,TT,298589.9546596667,82263.25224784222,6767242670.3921175,221736.0,463032.0,30
UG-prod,vaccine,Td,1619469.022206,97315.61757952897,9470329424.885128,1380602.0,1806238.3499999999,30
UG-prod,manufacturer,AJ_Vaccines,911997.054147,24133.71244184107,582436076.2254745,820334.9699999997,918500.0,30
UG-prod,manufacturer,BB_NCIPD,382750.23439533333,30000.304912845124,900018294.8636793,333606.0,441189.0,30
UG-prod,manufacturer,Bharat_Biotech,759225.3333333334,77701.00607385265,6037446344.888887,647940.0,825820.0,30
UG-prod,manufacturer,Bilthoven,421924.08581366664,10322.850617766038,106561244.87671266,366422.57441000006,423950.0,30
UG-prod,manufacturer,Biological_E,3648551.2666666666,44497.13337728129,1979994878.7955606,3523691.0,3688462.0000000014,30
UG-prod,manufacturer,China_National,444054.43574315525,25422.81748862058,646319649.0597125,414460.01065364503,498234.01065364503,30
UG-prod,manufacturer,GSK,693185.3333333334,41036.252162637305,1683973991.555555,659930.0,769340.0,30
UG-prod,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-prod,manufacturer,LG_Chem,20443275.687204998,315285.6029828784,99405011448.2772,19736510.0,20747660.0,30
UG-prod,manufacturer,Merck_Sharp,29538.111418131306,10750.024751871873,115563032.16585793,0.7708828476188766,50418.07500000001,30
UG-prod,manufacturer,PT_Bio,4788851.882654999,71130.66938469613,5059572127.114947,4637334.0,4877178.0,30
UG-prod,manufacturer,Panacea_Biotec,7445722.0,220517.7635837984,48628084056.0,7265670.0,7715800.0,30
UG-prod,manufacturer,Pfizer,2.795939235312584,0.003673158118593883,1.3492090564192155e-05,2.7952571469735754,2.8157197971438777,30
UG-prod,manufacturer,Sanofi,728161.0,5624.028449430177,31629696.0,721273.0,732753.0,30
UG-prod,manufacturer,Serum_Institute,505143.6290000001,15430.938241791626,238113855.02198723,487853.8000000001,525301.0000000001,30
