manufacturer,capacity_scenario,capacity_scenario_probability,capacity
AJ_Vaccines,base_capacity,0.8418,"[7620215.704973192, 7802935.587913055, 7851893.268971843, 7853447.388638081, 7663400.950345121, 7683731.941687304, 7823092.29319333, 7598579.058418096, 7669979.004517764, 7567819.974760712]"
BB_NCIPD,base_capacity,0.8418,"[39759132.94554055, 39660680.88477277, 38719494.43456263, 38927665.68126459, 39410243.0468644, 39882882.33648778, 39946919.98962016, 38654099.62771993, 39908452.7504944, 39083683.85099006]"
Bharat_Biotech,base_capacity,0.8418,"[61532479.59635442, 61358368.2218503, 61420741.06266866, 60619195.97122516, 61027114.44487116, 60101716.78531525, 61282707.08456299, 61764071.85115716, 60833303.34234381, 62223422.59548671]"
Bilthoven,base_capacity,0.8418,"[11903110.93922455, 12006526.93667252, 12108235.59300208, 12060546.54896397, 12209695.31610606, 11848126.06611898, 11924280.80002378, 11907553.30486242, 11820080.48130279, 11809767.00427664]"
Biological_E,base_capacity,0.8418,"[163807666.8919225, 162808827.6898424, 164217948.9076924, 166338933.1362258, 161798804.721978, 162976673.616884, 167014804.7242852, 166651936.8866628, 165505010.5191056, 162755333.3381861]"
China_National,base_capacity,0.8418,"[12711912.96331138, 12624885.57657137, 12773420.61864044, 12691769.67517787, 12796785.81449791, 12796638.194295, 12846646.2244352, 12800724.83106601, 12883988.68732749, 12614302.02047835]"
GSK,base_capacity,0.8418,"[224161612.2398056, 222696933.7718041, 225408325.5185306, 225741639.282914, 223673501.4979614, 223514473.9477278, 231283046.345877, 230153134.4159896, 223644837.2771209, 224979694.862742]"
Haffkine_Bio,base_capacity,0.8418,"[79653722.61398418, 80390612.12197603, 81229705.74359778, 80668626.09803079, 81154685.94786373, 80407722.25160055, 81984606.14285845, 81790061.29727194, 79511918.17703122, 80344167.46261129]"
LG_Chem,base_capacity,0.8418,"[43533760.61321444, 42988521.7492258, 44145635.21075818, 43793049.88510311, 43021098.77153908, 44081912.07348263, 43214119.35423781, 43419690.09749644, 43970005.3199041, 44507766.32115886]"
Merck_Sharp,base_capacity,0.8418,"[57989742.55929393, 56716822.00958489, 57461128.50582311, 55966062.78012036, 56798083.04081602, 57855872.44290297, 56822934.39939601, 56650384.64069951, 56373998.62638348, 57777742.41397434]"
PT_Bio,base_capacity,0.8418,"[45648696.30862694, 46315906.94420123, 46117055.56142201, 45677279.11471789, 45189992.05191091, 46548017.62759361, 46779815.23678906, 45951370.70472106, 46695352.10830707, 45442628.23009655]"
Panacea_Biotec,base_capacity,0.8418,"[10784481.77381673, 10701895.15848076, 10694602.02029345, 10662372.61964647, 10883252.02861343, 10920368.72082577, 10723483.4730964, 10666692.11403822, 11059488.57645708, 10907865.95793475]"
Pfizer,base_capacity,0.8418,"[85296098.14018217, 84304409.22157314, 83067111.71528314, 82631673.57418957, 85571897.81285922, 83226820.38816859, 85472366.48979136, 84337562.11045884, 82993651.41593108, 82741793.30570343]"
Sanofi,base_capacity,0.8418,"[89102264.64667915, 86710688.39397292, 86038835.31579535, 88687571.5032439, 86032436.37139942, 87494803.51381539, 87143677.44861315, 86579633.21095653, 87975998.83012879, 87259566.5826469]"
Serum_Institute,base_capacity,0.8418,"[575482069.6891615, 582671825.4965776, 592096618.8069054, 586782487.4111907, 583983979.7891499, 588997697.7229121, 589318602.4866157, 578623601.6930429, 579719678.2669103, 584292750.2206743]"
AJ_Vaccines,IPV_Shortage,0.0173,"[7827037.02947809, 7627946.464924768, 6992326.318983857, 7023793.784002246, 7417451.032033432, 7811207.143700792, 7784229.9597349, 7673825.142662552, 7590223.836672239, 7854315.538493917]"
BB_NCIPD,IPV_Shortage,0.0173,"[39635968.49250057, 38794974.07290675, 39267196.18134416, 38677918.18363398, 39618746.52701432, 38529341.40175528, 38553741.14948488, 39656384.88089644, 38515609.50072723, 39560005.86588199]"
Bharat_Biotech,IPV_Shortage,0.0173,"[60221433.84107106, 59852483.67796195, 60769119.48680671, 60394088.46019485, 60971669.47606641, 61466119.95124754, 60536464.58575397, 59857511.90162904, 60863901.42858738, 62042528.69826727]"
Bilthoven,IPV_Shortage,0.0173,"[12056186.53014887, 12195794.53734378, 10907530.08928302, 11026421.50667277, 11567507.31456758, 11822179.4960717, 12132708.74357823, 12045925.64258707, 12134212.16985459, 12275813.68548564]"
Biological_E,IPV_Shortage,0.0173,"[166213461.841638, 165125773.5262246, 166190496.7053928, 164946145.8506044, 166712293.5231683, 163002862.9989671, 166154660.322347, 161648863.1268153, 164681276.3128729, 165434209.6276196]"
China_National,IPV_Shortage,0.0173,"[12810560.25163633, 12689657.55742956, 12915166.44977672, 12637319.01785289, 12905346.38994589, 12908387.91193027, 12741256.0171981, 12587478.67976516, 13052714.68439814, 13004770.60539388]"
