unit,values,type,pair_idx,pair,pair_probability
Diphtheria,"[570550200 619539900 626455400 594496900 595980200 587103300 593084700
 587954100 594707400 600159000]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
HPV,"[18988200 18779800 27460000 72849500 92670600 64703800 42237000 42368400
 33730500 35038500]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Hepatitis_B,"[312284600 343008200 351717800 334973600 334455600 328430100 332308900
 328200500 332214900 335525400]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Hib,"[259536200 282777100 287252900 274027900 274339400 270041300 273119600
 270415600 273713400 276715500]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Measles,"[420097000 358616900 394831600 346093200 377569100 407486200 271512200
 386591100 290515900 326808200]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Mumps,"[26052200 26626400 25785400 25268100 23536200 16205400 18650400 8909600
 10718500 12977700]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
PCV,"[160800200 186996100 209165500 205938500 220998700 219106600 222271100
 217335600 218764600 220234300]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Pertussis,"[320662700 347414000 352464600 335977000 334855300 328035800 331237500
 328308900 331462200 334312000]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Polio,"[522182000 582182300 608631800 590689600 591743500 572503000 130824100
 128516200 130807300 132956000]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Rotavirus,"[142479000 166422100 173751400 186328400 197668300 205652300 209552800
 207355600 209606300 211802800]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Rubella,"[357331300 254011400 304621400 276893800 291347300 386542700 259074600
 385691400 289592400 325856600]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
Tetanus,"[577730200 626351000 633278500 601333100 598872900 590040100 596064300
 590973100 597764600 603248400]",antigen,1,Demand: 1 - Capacity: base_capacity,0.67344
