antigen,demands,prob,demand_SID
Diphtheria,"[711050900, 679613900, 917355100, 836818100, 746278900, 922058400, 1426859000, 1175127700, 973057200, 683673500]",0.128,2
Diphtheria,"[698092700, 777470800, 820389200, 835304100, 942971100, 833464100, 1345958700, 1491305500, 1224775600, 2147483648]",0.30200000000000005,3
Diphtheria,"[670487400, 735223400, 677717200, 802467500, 967639900, 1081033700, 1100762400, 1063053300, 2147483648, 1209481000]",0.128,4
Diphtheria,"[581444300, 522983000, 801296600, 736455500, 916074700, 1022240500, 1063939700, 1058865900, 1526287500, 1601795000]",0.3740000000000001,5
Diphtheria,"[642408300, 714535200, 897608600, 818289200, 963049500, 931640500, 1276827300, 1526507500, 2147483648, 2147483648]",0.068,6
HPV,"[29266600, 35276000, 39728900, 46412200, 53476900, 58358000, 66330900, 72908300, 75298300, 90917800]",0.30800000000000005,2
HPV,"[28964500, 35811700, 38689000, 46939600, 51718400, 58695200, 66608700, 67270900, 90442800, 82309200]",0.2280000000000001,3
HPV,"[30334800, 35937000, 39631100, 46530800, 51332300, 61773100, 70626000, 77523300, 90316100, 96557800]",0.14400000000000002,4
HPV,"[30633600, 37216400, 42703400, 48271500, 52131400, 55329100, 66802400, 74145900, 74147500, 78883700]",0.17800000000000005,5
HPV,"[28844100, 35384600, 42445700, 44137400, 55775600, 54943000, 64653400, 72277000, 81321500, 102766700]",0.14200000000000002,6
Hepatitis_B,"[313064100, 382531200, 437092100, 429619500, 393742900, 369097400, 442800200, 528674500, 443817200, 451808800]",0.17600000000000005,2
Hepatitis_B,"[367794100, 400191400, 379740400, 437196300, 360947900, 378720600, 362889600, 417680100, 270106000, 367548300]",0.27,3
Hepatitis_B,"[370407500, 444508300, 399556600, 426122800, 423485500, 418566300, 307698900, 354228100, 613698000, 433404100]",0.18800000000000006,4
Hepatitis_B,"[415970900, 388180600, 350262100, 375166800, 420410400, 487360500, 434906700, 467342200, 409724600, 533443100]",0.21200000000000008,5
