antigen,demands,prob,demand_SID
Diphtheria,"[615789800, 593042000, 732724600, 840734000, 1150334300, 1020340700, 1108513000, 1129157100, 882386700, 599797200]",0.16400000000000003,2
Diphtheria,"[657471400, 565698400, 805844900, 913074600, 1045223900, 1145683200, 1122591400, 959879000, 1160044700, 2147483648]",0.28200000000000003,3
Diphtheria,"[657354000, 751729500, 827191800, 881049800, 883533800, 881777100, 1154502600, 915878500, 2147483648, 1305123800]",0.126,4
Diphtheria,"[616553900, 640760900, 700442900, 866066000, 965264700, 891623800, 1026705300, 1296552500, 2147483648, 2147483648]",0.08,5
Diphtheria,"[717865300, 656149100, 654878500, 942713700, 998850100, 1168595800, 1377208200, 1251190600, 1617420300, 1511729000]",0.3480000000000001,6
HPV,"[29292500, 36880800, 40197100, 46650800, 53164100, 55212900, 67692900, 72888300, 83313700, 88850000]",0.20400000000000007,2
HPV,"[29131100, 33500400, 40186900, 45377800, 52756200, 62627100, 66964100, 68157100, 75292000, 85520800]",0.21800000000000008,3
HPV,"[27340000, 35973200, 41902900, 49597700, 54454400, 57482100, 65511700, 74418200, 76832600, 98091000]",0.21000000000000008,4
HPV,"[30386700, 35654500, 39937000, 44206400, 53173300, 60200500, 68410000, 75974900, 86746900, 81418100]",0.2480000000000001,5
HPV,"[28199700, 36608000, 40372400, 49543800, 52345500, 63517100, 68900100, 74689700, 88553000, 99744700]",0.12000000000000001,6
Hepatitis_B,"[383991100, 383443300, 370860900, 387054500, 429262900, 373312000, 435596400, 444867300, 495027200, 435859200]",0.28200000000000003,2
Hepatitis_B,"[408956300, 384544100, 426543600, 427577500, 423788500, 408853800, 381572400, 418310900, 342448400, 451419600]",0.2480000000000001,3
Hepatitis_B,"[386971200, 341644400, 323790700, 394259000, 318048300, 499576500, 497360000, 406522600, 505389500, 127703700]",0.134,4
Hepatitis_B,"[367533900, 433348400, 377514800, 384417500, 482827500, 424022900, 480439900, 527436600, 437392700, 546835700]",0.19200000000000006,5
Hepatitis_B,"[404432300, 357860500, 293340900, 412175100, 336497600, 429372100, 385799200, 257474300, 386198500, 545535600]",0.14400000000000002,6
Hib,"[312089800, 301290800, 313250800, 349146500, 358693000, 370924000, 353584000, 343265300, 408781100, 420842000]",0.264,2
Hib,"[296018300, 309323900, 331063000, 355933700, 343975600, 357643900, 388073700, 399050100, 433453400, 355724100]",0.21600000000000008,3
Hib,"[304354400, 308656200, 347768600, 332411700, 377596100, 382701200, 363195000, 428430000, 349618400, 383072200]",0.19200000000000006,4
Hib,"[312987500, 279922300, 321564900, 330759600, 300469400, 361976300, 416621000, 396357200, 383402900, 466611800]",0.15800000000000003,5
Hib,"[275814700, 299746000, 311891600, 336110800, 329114200, 323686000, 359514900, 365710500, 366824300, 407400600]",0.17000000000000004,6
