unit,values,type,pair_idx,pair,pair_probability
Measles,"[420097004.28939533 368299543.3821963 405492086.93502706 355437672.1480285
 387763440.53392655 418488316.4612758 278842997.107723 397029089.4291264
 298359781.39149034 335631994.04001856]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Mumps,"[357331305.3951636 260869729.0725358 312846193.9051979 284369932.411924
 299213686.82466215 396979348.5165761 266069612.36597544 396105087.8736147
 297411369.3627394 334654742.7247464]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Rubella,"[331279149.4189564 233524417.62887722 286364562.4296617 258419593.155864
 275041967.2127786 380336386.3026387 246915621.14448732 386954898.42531806
 286403511.07822484 321326687.20403224]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Diphtheria,"[570550152.3038142 636267493.3239245 643369696.6070285 610548331.2189047
 612071667.3667012 602955044.4984419 609098005.830808 604125486.3658876
 611064389.6977195 616666144.0423414]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Tetanus,"[577730183.053466 643262431.1829407 650376997.457045 617569069.3380963
 615042447.4861296 605971200.9508419 612158027.728013 607226022.6514009
 614204184.1536994 619839029.9086429]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Pertussis,"[320662741.753207 356794202.2936529 361981121.23909605 345048428.60892624
 343896351.26947916 336892783.44739443 340180910.30911165 337469874.2925558
 340711626.78069687 343641293.0270527]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Hepatitis_B,"[59502552.14408625 68629024.71901894 72865268.80804664 68936698.3000516
 68116933.6264009 66375003.21328669 67235123.37105815 65839715.532202356
 66632012.575853065 67012501.776094265]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Hib,"[522182008.8920537 597901203.8830113 625064822.6212021 606638204.7128298
 607720572.8583848 587960566.202015 134356377.91094553 132282803.91718172
 134638983.21643308 136848675.98947772]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Polio,"[522182008.8920537 597901203.8830113 625064822.6212021 606638204.7128298
 607720572.8583848 587960566.202015 134356377.91094553 132282803.91718172
 134638983.21643308 136848675.98947772]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
HPV,"[18988209.72133722 19286890.403623413 28201395.981749475 74816423.55173364
 95172711.54246174 66450775.624775775 43377372.99142657 43512381.92054419
 34641189.472128965 35984585.712862946]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Rotavirus,"[142479003.3677863 170915478.97005376 178442683.0763382 191359235.90420714
 203005331.3863934 211204939.45211437 215210771.23504257 212954149.96250454
 215265657.58980373 217521514.4431669]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
PCV,"[160800233.02991807 192044991.15730911 214812933.47590438 211498789.45455238
 226965632.48700902 225022459.42204043 228272436.549378 223203631.93549865
 224671214.18606165 226180575.91757733]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
AJ_Vaccines,"[4458000.0, 6120000.0, 7140000.0, 7140000.0, 7080000.0, 7020000.0, 7140000.0, 7020000.0, 7140000.0, 7260000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
BB_NCIPD,"[31200000.0, 34680000.0, 34920000.0, 33000000.0, 32880000.0, 32700000.0, 32940000.0, 32700000.0, 33120000.0, 33480000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Bharat_Biotech,"[45660000.0, 50520000.0, 51420000.0, 49800000.0, 50100000.0, 48420000.0, 3240000.0, 3204000.0, 3240000.0, 3276000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Bilthoven,"[6960000.0, 9540000.0, 11160000.0, 11100000.0, 11100000.0, 10920000.0, 11160000.0, 10980000.0, 11160000.0, 11340000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Biological_E,"[100200000.0, 111600000.0, 112800000.0, 107400000.0, 106200000.0, 103800000.0, 405000000.0, 403200000.0, 405000000.0, 406200000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
China_National,"[8340000.0, 9120000.0, 9480000.0, 10200000.0, 10620000.0, 9660000.0, 954000.0, 954000.0, 762000.0, 792000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
GSK,"[192600000.0, 202200000.0, 221400000.0, 224400000.0, 238200000.0, 256800000.0, 215400000.0, 235800000.0, 220800000.0, 228000000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Haffkine_Bio,"[61200000.0, 67200000.0, 68400000.0, 66000000.0, 66000000.0, 63600000.0, 0.0, 0.0, 0.0, 0.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
LG_Chem,"[47580000.0, 54300000.0, 56400000.0, 53700000.0, 53460000.0, 52440000.0, 53100000.0, 52320000.0, 52980000.0, 53520000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Merck_Sharp,"[18590000.0, 18810000.0, 27500000.000000004, 73040000.0, 92950000.00000001, 64900000.00000001, 42350000.0, 42460000.0, 33770000.0, 35090000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
PT_Bio,"[8400000.0, 9360000.0, 9540000.0, 9120000.0, 9120000.0, 8940000.0, 8280000.0, 8220000.0, 8340000.0, 8400000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Panacea_Biotec,"[54360000.0, 64800000.0, 72600000.0, 71400000.0, 76800000.0, 76200000.0, 77400000.0, 75600000.0, 76200000.0, 76200000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Pfizer,"[37320000.0, 44880000.0, 43860000.0, 40140000.0, 41880000.0, 35220000.0, 26400000.0, 25080000.0, 25440000.0, 25680000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Sanofi,"[54300000.0, 70200000.0, 78600000.0, 78000000.0, 78000000.0, 76800000.0, 59940000.0, 58980000.0, 60000000.0, 61200000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Serum_Institute,"[478200000.0, 490800000.0, 512400000.0, 474600000.0, 490200000.0, 490800000.0, 323400000.0, 372000000.0, 330600000.0, 348600000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
