unit,values,type,pair_idx,pair,pair_probability
Measles,"[462106704.7183349 405129497.72041595 446041295.6285298 390981439.36283135
 426539784.58731925 460337148.10740346 306727296.81849533 436731998.3720391
 328195759.5306394 369195193.44402045]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Mumps,"[393064435.93468 286956701.97978944 344130813.2957177 312806925.6531164
 329135055.5071284 436677283.36823374 292676573.602573 435715596.66097623
 327152506.2990134 368120216.99722105]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Rubella,"[364407064.36085206 256876859.39176497 315001018.67262787 284261552.47145045
 302546163.9340565 418370024.93290263 271607183.25893605 425650388.2678499
 315043862.1860474 353459355.9244355]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Diphtheria,"[627605167.5341957 699894242.656317 707706666.2677314 671603164.3407953
 673278834.1033714 663250548.9482862 670007806.4138889 664538035.0024765
 672170828.6674914 678332758.4465755]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Tetanus,"[635503201.3588126 707588674.3012348 715414697.2027495 679325976.2719059
 676546692.2347426 666568321.0459261 673373830.5008144 667948624.9165411
 675624602.5690694 681822932.8995073]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Pertussis,"[352729015.9285278 392473622.52301824 398179233.3630057 379553271.4698189
 378285986.3964271 370582061.7921339 374199001.34002286 371216861.7218114
 374782789.4587666 378005422.329758]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Hepatitis_B,"[65452807.35849488 75491927.19092083 80151795.68885131 75830368.13005677
 74928626.989041 73012503.53461537 73958635.70816398 72423687.08542259
 73295213.83343838 73713751.9537037]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Hib,"[574400209.7812592 657691324.2713125 687571304.8833224 667302025.1841129
 668492630.1442233 646756622.8222166 147792015.7020401 145511084.3088999
 148102881.5380764 150533543.58842552]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Polio,"[574400209.7812592 657691324.2713125 687571304.8833224 667302025.1841129
 668492630.1442233 646756622.8222166 147792015.7020401 145511084.3088999
 148102881.5380764 150533543.58842552]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
HPV,"[20887030.693470944 21215579.443985756 31021535.579924423 82298065.906907
 104689982.69670792 73095853.18725336 47715110.29056923 47863620.11259861
 38105308.41934186 39583044.284149244]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
Rotavirus,"[156726903.70456493 188007026.86705914 196286951.38397205 210495159.49462786
 223305864.52503276 232325433.39732584 236731848.35854685 234249564.95875502
 236792223.34878412 239273665.88748363]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
PCV,"[176880256.33290988 211249490.27304006 236294226.82349482 232648668.40000764
 249662195.73570994 247524705.3642445 251099680.20431584 245523995.12904853
 247138335.60466784 248798633.50933507]",antigen,1,Demand: 10 - Capacity: base_capacity,1.0
AJ_Vaccines,"[7430000, 10200000, 11900000, 11900000, 11800000, 11700000, 11900000, 11700000, 11900000, 12100000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
BB_NCIPD,"[52000000, 57800000, 58200000, 55000000, 54800000, 54500000, 54900000, 54500000, 55200000, 55800000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Bharat_Biotech,"[76100000, 84200000, 85700000, 83000000, 83500000, 80700000, 5400000, 5340000, 5400000, 5460000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Bilthoven,"[11600000, 15900000, 18600000, 18500000, 18500000, 18200000, 18600000, 18300000, 18600000, 18900000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Biological_E,"[167000000, 186000000, 188000000, 179000000, 177000000, 173000000, 675000000, 672000000, 675000000, 677000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
China_National,"[13900000, 15200000, 15800000, 17000000, 17700000, 16100000, 1590000, 1590000, 1270000, 1320000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
GSK,"[321000000, 337000000, 369000000, 374000000, 397000000, 428000000, 359000000, 393000000, 368000000, 380000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Haffkine_Bio,"[102000000, 112000000, 114000000, 110000000, 110000000, 106000000, 0, 0, 0, 0]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
LG_Chem,"[79300000, 90500000, 94000000, 89500000, 89100000, 87400000, 88500000, 87200000, 88300000, 89200000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Merck_Sharp,"[16900000, 17100000, 25000000, 66400000, 84500000, 59000000, 38500000, 38600000, 30700000, 31900000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
PT_Bio,"[14000000, 15600000, 15900000, 15200000, 15200000, 14900000, 13800000, 13700000, 13900000, 14000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Panacea_Biotec,"[90600000, 108000000, 121000000, 119000000, 128000000, 127000000, 129000000, 126000000, 127000000, 127000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Pfizer,"[62200000, 74800000, 73100000, 66900000, 69800000, 58700000, 44000000, 41800000, 42400000, 42800000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Sanofi,"[90500000, 117000000, 131000000, 130000000, 130000000, 128000000, 99900000, 98300000, 100000000, 102000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
Serum_Institute,"[797000000, 818000000, 854000000, 791000000, 817000000, 818000000, 539000000, 620000000, 551000000, 581000000]",manufacturer,1,Demand: 10 - Capacity: base_capacity,1.0
