manufacturer,capacity_scenario,capacity_scenario_probability,capacity
AJ_Vaccines,base_capacity,1,"[4458000.0, 6120000.0, 7140000.0, 7140000.0, 7080000.0, 7020000.0, 7140000.0, 7020000.0, 7140000.0, 7260000.0]"
BB_NCIPD,base_capacity,1,"[31200000.0, 34680000.0, 34920000.0, 33000000.0, 32880000.0, 32700000.0, 32940000.0, 32700000.0, 33120000.0, 33480000.0]"
Bharat_Biotech,base_capacity,1,"[45660000.0, 50520000.0, 51420000.0, 49800000.0, 50100000.0, 48420000.0, 3240000.0, 3204000.0, 3240000.0, 3276000.0]"
Bilthoven,base_capacity,1,"[6960000.0, 9540000.0, 11160000.0, 11100000.0, 11100000.0, 10920000.0, 11160000.0, 10980000.0, 11160000.0, 11340000.0]"
Biological_E,base_capacity,1,"[100200000.0, 111600000.0, 112800000.0, 107400000.0, 106200000.0, 103800000.0, 405000000.0, 403200000.0, 405000000.0, 406200000.0]"
China_National,base_capacity,1,"[8340000.0, 9120000.0, 9480000.0, 10200000.0, 10620000.0, 9660000.0, 954000.0, 954000.0, 762000.0, 792000.0]"
GSK,base_capacity,1,"[192600000.0, 202200000.0, 221400000.0, 224400000.0, 238200000.0, 256800000.0, 215400000.0, 235800000.0, 220800000.0, 228000000.0]"
Haffkine_Bio,base_capacity,1,"[61200000.0, 67200000.0, 68400000.0, 66000000.0, 66000000.0, 63600000.0, 0.0, 0.0, 0.0, 0.0]"
LG_Chem,base_capacity,1,"[47580000.0, 54300000.0, 56400000.0, 53700000.0, 53460000.0, 52440000.0, 53100000.0, 52320000.0, 52980000.0, 53520000.0]"
Merck_Sharp,base_capacity,1,"[18590000.0, 18810000.0, 27500000.000000004, 73040000.0, 92950000.00000001, 64900000.00000001, 42350000.0, 42460000.0, 33770000.0, 35090000.0]"
PT_Bio,base_capacity,1,"[8400000.0, 9360000.0, 9540000.0, 9120000.0, 9120000.0, 8940000.0, 8280000.0, 8220000.0, 8340000.0, 8400000.0]"
Panacea_Biotec,base_capacity,1,"[54360000.0, 64800000.0, 72600000.0, 71400000.0, 76800000.0, 76200000.0, 77400000.0, 75600000.0, 76200000.0, 76200000.0]"
Pfizer,base_capacity,1,"[37320000.0, 44880000.0, 43860000.0, 40140000.0, 41880000.0, 35220000.0, 26400000.0, 25080000.0, 25440000.0, 25680000.0]"
Sanofi,base_capacity,1,"[54300000.0, 70200000.0, 78600000.0, 78000000.0, 78000000.0, 76800000.0, 59940000.0, 58980000.0, 60000000.0, 61200000.0]"
Serum_Institute,base_capacity,1,"[478200000.0, 490800000.0, 512400000.0, 474600000.0, 490200000.0, 490800000.0, 323400000.0, 372000000.0, 330600000.0, 348600000.0]"
